original;second_part;bert;bert_related;blob;blob_related;manual_sentiment
klimamafia;mafia;negative;negative;0.0;-0.07692307692307693;negative
klimamanipulation;manipulation;negative;negative;0.0;0.0;negative
klimamisere;misere;negative;negative;0.0;-0.18076923076923077;negative
klimamonster;monster;negative;negative;0.0;-0.058823529411764705;negative
klimamärchenonkel;märchenonkel;negative;negative;0.0;0.0;negative
klimanonsens;nonsens;negative;negative;0.0;-0.02857142857142857;negative
klimanotfall;notfall;negative;negative;0.0;0.0;negative
klimanotlage;notlage;negative;negative;0.0;-0.09642857142857143;negative
klimapanik;panik;negative;negative;0.0;-0.042857142857142864;negative
klimapanikmache;panikmache;negative;negative;0.0;0.0;negative
klimaquatsch;quatsch;negative;negative;0.0;-0.06;negative
klimascharade;scharade;negative;positive;0.0;0.0;negative
klimaschmerz;schmerz;negative;negative;0.0;-0.25;negative
klimaschrecken;schrecken;negative;negative;-1.0;-0.5285714285714286;negative
klimaschuld;schuld;negative;negative;0.0;0.0;negative
klimaschwachsinn;schwachsinn;negative;negative;0.0;-0.05555555555555555;negative
klimaschwindel;schwindel;negative;negative;0.0;0.0;negative
klimaschwindler;schwindler;negative;negative;0.0;0.04666666666666666;negative
klimaschänder;schänder;negative;negative;0.0;0.0;negative
klimaschändung;schändung;negative;negative;0.0;0.0;negative
klimaskepsis;skepsis;negative;negative;0.0;-0.14285714285714285;negative
klimaskeptiker;skeptiker;negative;negative;0.0;0.0;negative
klimaskeptikerin;skeptikerin;negative;negative;0.0;0.0;negative
klimasozialismus;sozialismus;negative;negative;0.0;0.0;negative
klimaspinner;spinner;negative;negative;0.0;-0.16666666666666666;negative
klimastopp;stopp;negative;negative;0.0;0.0;negative
klimastreit;streit;negative;negative;0.0;0.0;negative
klimastreiter;streiter;negative;negative;0.0;0.0;negative
klimateufel;teufel;negative;negative;0.0;-0.013043478260869568;negative
klimatod;tod;negative;positive;0.0;-0.03043478260869565;negative
klimatrash;trash;negative;negative;0.0;0.0;negative
klimaunfug;unfug;negative;negative;0.0;-0.06;negative
klimaunfähigkeit;unfähigkeit;negative;negative;0.0;0.0;negative
klimaungerechtigkeit;ungerechtigkeit;negative;negative;0.0;-0.14285714285714285;negative
klimaunsinn;unsinn;negative;negative;0.0;-0.057692307692307696;negative
klimauntergang;untergang;negative;negative;0.0;-0.03571428571428571;negative
klimaverblödung;verblödung;negative;negative;0.0;0.0;negative
klimaverbrechen;verbrechen;negative;negative;0.0;-0.25;negative
klimaverbrecher;verbrecher;negative;negative;0.0;-0.10526315789473684;negative
klimaverdummung;verdummung;negative;negative;0.0;0.0;negative
klimaverleugnung;verleugnung;negative;negative;0.0;-0.09999999999999999;negative
klimaverweigerung;verweigerung;negative;negative;0.0;0.0;negative
klimaverwirrung;verwirrung;negative;negative;0.0;0.0;negative
klimavirus;virus;negative;negative;0.0;0.0;negative
klimawarner;warner;negative;negative;0.0;0.0;negative
klimazerrüttung;zerrüttung;negative;negative;0.0;0.0;negative
klimazerstörer;zerstörer;negative;positive;0.0;0.0;negative
klimazerstörung;zerstörung;negative;negative;0.0;-0.05555555555555555;negative
klimazwang;zwang;negative;negative;-1.0;25;negative
klimaüberhitzung;überhitzung;negative;negative;0.0;0.0;negative
klimadramatik;dramatik;neutral;neutral;0.0;0.0;negative
klimanotstandsregierung;notstandsregierung;neutral;neutral;0.0;0.0;negative
klimaskeptizismus;skeptizismus;neutral;neutral;0.0;0.0;negative
klimaapokalypse;apokalypse;positive;negative;0.0;-0.05;negative
klimafanatiker;fanatiker;positive;positive;0.0;0.0;negative
klimafluch;fluch;positive;negative;0.0;-0.09090909090909091;negative
klimagefahr;gefahr;positive;negative;0.0;0.0;negative
klimagefasel;gefasel;positive;negative;0.0;-0.07352941176470588;negative
klimaleugner;leugner;positive;positive;0.0;0.0;negative
klimasekte;sekte;positive;negative;0.0;0.0;negative
klimataliban;taliban;positive;positive;0.0;0.0;negative
klimatraumatisierung;traumatisierung;positive;positive;0.0;0.0;negative
klimatyrannei;tyrannei;positive;negative;0.0;0.0;negative
klimaverrücktheit;verrücktheit;positive;negative;0.0;0.0;negative
klimawahn;wahn;positive;negative;0.0;0.07777777777777778;negative
klimawahnsinn;wahnsinn;positive;negative;0.0;0.0;negative
klimaweltuntergang;weltuntergang;positive;positive;0.0;0.0;negative
klimaanbeter;anbeter;negative;positive;0.0;0.0;neutral
klimaargument;argument;negative;negative;0.0;0.0;neutral
klimabefürworter;befürworter;negative;negative;0.0;0.0;neutral
klimabewegtheit;bewegtheit;negative;negative;0.0;0.0;neutral
klimabigotterie;bigotterie;negative;negative;0.0;0.0;neutral
klimadampfer;dampfer;negative;negative;0.0;-0.06999999999999999;neutral
klimademagoge;demagoge;negative;negative;0.0;0.0;neutral
klimadialektik;dialektik;negative;negative;0.0;0.0;neutral
klimadiplomatie;diplomatie;negative;neutral;0.0;0.0;neutral
klimadogma;dogma;negative;negative;0.0;0.0;neutral
klimadonna;donna;negative;negative;0.0;0.0;neutral
klimaernsthaftigkeit;ernsthaftigkeit;negative;negative;0.0;0.0;neutral
klimaestablishment;establishment;negative;positive;0.0;0.03333333333333332;neutral
klimaflüsterer;flüsterer;negative;negative;0.0;0.0;neutral
klimaführerin;führerin;negative;negative;0.0;0.0;neutral
klimaglaube;glaube;negative;neutral;0.0;0.0;neutral
klimagläubigkeit;gläubigkeit;negative;negative;0.0;0.0;neutral
klimagott;gott;negative;negative;0.0;0.058823529411764705;neutral
klimahose;hose;negative;negative;0.0;0.0;neutral
klimahüpfer;hüpfer;negative;positive;0.0;0.0;neutral
klimajünger;jünger;negative;positive;0.0;0.0;neutral
klimakanzlerin;kanzlerin;negative;negative;0.0;0.0;neutral
klimakatechismus;katechismus;negative;negative;0.0;0.0;neutral
klimakommissar;kommissar;negative;negative;0.0;0.0;neutral
klimakompetenz;kompetenz;negative;negative;0.0;0.018918918918918916;neutral
klimakonklave;konklave;negative;negative;0.0;0.0;neutral
klimakonsens;konsens;negative;negative;0.0;0.041176470588235294;neutral
klimakonsortium;konsortium;negative;negative;0.0;0.0;neutral
klimakreationismus;kreationismus;negative;negative;0.0;0.0;neutral
klimalobby;lobby;negative;negative;0.0;0.0;neutral
klimamantra;mantra;negative;negative;0.0;-0.041176470588235294;neutral
klimamilliardär;milliardär;negative;negative;0.0;0.09333333333333332;neutral
klimamutti;mutti;negative;negative;0.0;0.0;neutral
klimanationalismus;nationalismus;negative;neutral;0.0;0.0;neutral
klimaorthodoxie;orthodoxie;negative;neutral;0.0;0.25;neutral
klimapflicht;pflicht;negative;negative;0.0;0.0;neutral
klimapolemik;polemik;negative;negative;0.0;0.0;neutral
klimapopulismus;populismus;negative;neutral;0.0;0.25;neutral
klimaprediger;prediger;negative;positive;0.0;0.0;neutral
klimapresse;presse;negative;negative;0.0;0.0;neutral
klimaprofiteur;profiteur;negative;negative;0.0;0.0;neutral
klimapropaganda;propaganda;negative;negative;0.0;0.0;neutral
klimapropagandafilm;propagandafilm;negative;negative;0.0;0.0;neutral
klimapropagandist;propagandist;negative;negative;0.0;0.0;neutral
klimaprotestler;protestler;negative;negative;0.0;0.0;neutral
klimapseudowissenschaft;pseudowissenschaft;negative;negative;0.0;0.0;neutral
klimapäckchen;päckchen;negative;negative;0.0;0.0;neutral
klimarealismus;realismus;negative;negative;0.0;0.0;neutral
klimasektierer;sektierer;negative;negative;0.0;-0.06666666666666667;neutral
klimastaat;staat;negative;negative;0.0;0.0;neutral
klimateppich;teppich;negative;negative;0.0;0.0;neutral
klimaverstand;verstand;negative;negative;0.0;0.0;neutral
klimaverteidigung;verteidigung;negative;negative;0.0;0.0;neutral
klimawendehals;wendehals;negative;negative;0.0;0.0;neutral
klimazar;zar;negative;positive;0.0;0.0;neutral
klimazeugs;zeugs;negative;negative;0.0;0.0;neutral
klimazunft;zunft;negative;negative;0.0;0.0;neutral
klimaerzählung;erzählung;neutral;neutral;0.0;0.0;neutral
klimaethik;ethik;neutral;neutral;0.0;0.16666666666666666;neutral
klimafachkraft;fachkraft;neutral;positive;0.0;0.0;neutral
klimafestung;festung;neutral;positive;0.0;0.0;neutral
klimagesinnung;gesinnung;neutral;negative;0.0;0.0;neutral
klimaglaubensbekenntnis;glaubensbekenntnis;neutral;positive;0.0;0.0;neutral
klimaglaubenslehre;glaubenslehre;neutral;neutral;0.0;0.0;neutral
klimahypothese;hypothese;neutral;negative;0.0;0.0;neutral
klimaideologie;ideologie;neutral;neutral;0.0;0.0;neutral
klimakirche;kirche;neutral;neutral;0.0;0.0;neutral
klimakolonialismus;kolonialismus;neutral;neutral;0.0;0.0;neutral
klimaleidenschaftlichkeit;leidenschaftlichkeit;neutral;negative;0.0;0.0;neutral
klimamahnwache;mahnwache;neutral;neutral;0.0;0.0;neutral
klimaplanwirtschaft;planwirtschaft;neutral;neutral;0.0;0.0;neutral
klimaprofessor;professor;neutral;neutral;0.0;0.0;neutral
klimareligion;religion;neutral;neutral;0.0;0.0;neutral
klimatheater;theater;neutral;negative;0.0;-0.014492753623188406;neutral
klimatheologie;theologie;neutral;neutral;0.0;0.0;neutral
klimavatikan;vatikan;neutral;neutral;0.0;0.0;neutral
klimavernunft;vernunft;neutral;negative;0.0;0.08695652173913043;neutral
klimawirklichkeit;wirklichkeit;neutral;neutral;0.0;0.0;neutral
klimaapostel;apostel;positive;positive;0.0;0.0;neutral
klimaasyl;asyl;positive;positive;0.0;0.0;neutral
klimabibel;bibel;positive;neutral;0.0;0.0;neutral
klimaelite;elite;positive;positive;0.0;0.08333333333333333;neutral
klimafront;front;positive;negative;0.0;0.0;neutral
klimagarde;garde;positive;positive;0.0;0.0;neutral
klimagerechtigkeit;gerechtigkeit;positive;positive;0.0;0.5;neutral
klimageschäft;geschäft;positive;positive;0.0;0.0;neutral
klimagnom;gnom;positive;negative;0.0;0.0;neutral
klimahoax;hoax;positive;positive;0.0;0.0;neutral
klimaikone;ikone;positive;positive;0.0;0.0;neutral
klimainsider;insider;positive;negative;0.0;0.09999999999999999;neutral
klimaintelligenz;intelligenz;positive;negative;0.0;0.0;neutral
klimakabarett;kabarett;positive;negative;0.0;0.0;neutral
klimakaiserin;kaiserin;positive;positive;0.0;0.0;neutral
klimakanzler;kanzler;positive;negative;0.0;0.0;neutral
klimakarawane;karawane;positive;positive;0.0;0.0;neutral
klimaklempner;klempner;positive;positive;0.0;0.0;neutral
klimakollekte;kollekte;positive;positive;0.0;0.0;neutral
klimakontrolle;kontrolle;positive;negative;0.0;0.0;neutral
klimakult;kult;positive;negative;0.0;0.0;neutral
klimakönigin;königin;positive;positive;0.0;0.0;neutral
klimamacher;macher;positive;negative;0.0;0.0;neutral
klimapapst;papst;positive;neutral;0.0;0.0;neutral
klimapäpstin;päpstin;positive;positive;0.0;0.0;neutral
klimarealist;realist;positive;positive;0.0;0.0;neutral
klimaschiff;schiff;positive;positive;0.0;0.0;neutral
klimashow;show;positive;positive;0.0;0.0;neutral
klimatrip;trip;positive;positive;0.0;0.0;neutral
klimawandler;wandler;positive;negative;0.0;0.0;neutral
klimazipfel;zipfel;positive;negative;0.0;0.029411764705882353;neutral
klimazirkus;zirkus;positive;negative;0.0;0.0;neutral
klimahype;hype;negative;negative;0.0;0.0;positive
klimaaktivismus;aktivismus;positive;positive;0.0;0.0;positive
klimaaktivist;aktivist;positive;positive;0.0;0.6666666666666666;positive
klimaaktivistin;aktivistin;positive;positive;0.0;0.0;positive
klimafreund;freund;positive;positive;0.0;0.018518518518518517;positive
klimafreundin;freundin;positive;positive;0.0;0.04482758620689655;positive
klimafreundlichkeit;freundlichkeit;positive;positive;0.0;0.084375;positive
klimagunst;gunst;positive;positive;0.0;0.0625;positive
klimagöttin;göttin;positive;positive;0.0;0.0;positive
klimaparadies;paradies;positive;positive;0.0;0.058823529411764705;positive
klimaretter;retter;positive;negative;0.0;0.0;positive
klimaretterin;retterin;positive;positive;0.0;0.0;positive
klimarettung;rettung;positive;positive;0.0;0.0;positive
klimaklamauk;klamauk;positive;negative;0.0;-0.07692307692307693;related
