,original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,bert,blob,bert_related,blob_related,manual,Notes,blob_label,blob_related_label
118,klimatraumatisierung,traumatisierung,"['traumatisierung', 'traumatisierungen']",traumatisierung,f,"['klimatraumatisierung', 'klimatraumatisierungen']",[],[],[],,,[],[],[],traumatisierung,traumatisierung,traumatisierung,traumatisier,,,,,,[],positive,0.0,positive,0.0,negative,,neutral,neutral
123,klimaweltuntergang,weltuntergang,"['weltuntergangs', 'weltuntergang', 'weltuntergange', 'weltuntergängen', 'weltuntergänge', 'weltunterganges']",weltuntergang,m,"['klimaweltuntergangs', 'klimaweltuntergang', 'klimaweltuntergange', 'klimaweltuntergängen', 'klimaweltuntergänge', 'klimaweltunterganges']","['Tag des jüngsten Gerichts', 'Offenbarung', 'Ragnarök', 'Götterdämmerung', 'Ende der Welt', 'Apokalypse', 'Weltende', 'Weltuntergang']","['Hausnummer', 'Anhaltspunkt', 'Größenordnung', 'Zwielicht', 'grobe Schätzung', 'Dämmerung', 'Bereich', 'ungefähre Größe', 'Halbdunkel']","['Zwielicht', 'Halbdunkel', 'Dämmerung', 'Heilanzeige', 'Indikation']","['disaster', 'catastrophe', 'cataclysm', 'tragedy', 'calamity', 'bad luck', 'misfortune', 'trouble', 'occurrence', 'occurrent', 'natural event', 'happening', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['ein kosmischer Kataklysmus, bei dem Gott die herrschenden Mächte des Bösen vernichtet']",[],[],weltuntergang,weltuntergang,weltuntergang,weltuntergang,,,,,,[],positive,0.0,positive,0.0,negative,,neutral,neutral
124,klimaanbeter,anbeter,"['anbeters', 'anbetern', 'anbeter']",anbeter,m,"['klimaanbeters', 'klimaanbetern', 'klimaanbeter']","['Lover', 'Verehrer', 'Bewunderer', 'Liebhaber', 'Anbeter']","['Diplomat', 'diplomatischer Vertreter', 'Repräsentant', 'Konsul', 'Botschafter', 'Missionschef', 'Auslandsvertreter', 'Geschäftsträger']","['jemand', 'irgendjemand', 'jeder beliebige']","['follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'follower', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein leidenschaftlicher Anhänger und Verehrer'],[],['sektierer'],anb,anbet,anbet,anbet,,,,,,['sektierer'],negative,0.0,positive,0.0,neutral,,neutral,neutral
125,klimaargument,argument,"['argumenten', 'arguments', 'argument', 'argumente', 'argumentes']",argument,n,"['klimaargumenten', 'klimaarguments', 'klimaargument', 'klimaargumente', 'klimaargumentes']","['Prämisse', 'Beweisgrund', 'Beleg', 'Begründung', 'Beweis', 'Argument', 'Grund']",[],[],"['rational motive', 'motive', 'motivation', 'need', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,['ein rationaler Beweggrund für eine Überzeugung oder eine Handlung'],[],[],argum,argument,argu,argument,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
126,klimabefürworter,befürworter,"['befürwortern', 'befürworters', 'befürworter']",befürworter,m,"['klimabefürwortern', 'klimabefürworters', 'klimabefürworter']","['Befürworter', 'Fürsprecher', 'Vertreter', 'Verteidiger', 'Apologet', 'Verfechter', 'Anwalt']","['jeder beliebige', 'irgendjemand', 'jemand']","['jemand', 'irgendjemand', 'jeder beliebige']","['fighter', 'scrapper', 'combatant', 'belligerent', 'battler', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'fighter', 'scrapper', 'combatant', 'belligerent', 'battler', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['ein Kämpfer, der einem Angriff standhält']",[],[],befurwor,befürwort,befürwort,befurwort,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
127,klimabewegtheit,bewegtheit,['bewegtheit'],bewegtheit,f,['klimabewegtheit'],[],[],[],,,[],[],[],bewegthei,bewegtheit,bewegtheit,bewegt,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
128,klimabigotterie,bigotterie,"['bigotterie', 'bigotterien']",bigotterie,f,"['klimabigotterie', 'klimabigotterien']","['Pharisäertum', 'Hypokrisie', 'Doppelmoral', 'Doppelzüngigkeit', 'Scheinheiligkeit', 'Bigotterie', 'Heuchelei', 'Verlogenheit', 'Hinterfotzigkeit', 'Unaufrichtigkeit']",[],[],"['hypocrisy', 'hollowness', 'falseness', 'insincerity', 'untruthfulness', 'dishonesty', 'unrighteousness', 'immorality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,['selbstgefällige Ernsthaftigkeit'],[],[],bigotterie,bigotteri,bigottery,bigotteri,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
129,klimadampfer,dampfer,"['dampfers', 'dampfer', 'dampfern']",dampfer,m,"['klimadampfers', 'klimadampfer', 'klimadampfern']","['Ernüchterung', 'Schlag ins Kontor', 'Dampfer', 'Katzenjammer', 'Entmutigung', 'Dampfschiff', 'Dämpfer', 'lange Gesichter', 'kalte Dusche', 'Enttäuschung']","['sich kümmern um', 'jemandem behilflich sein', 'abfertigen', 'bedienen', 'sich einer Person annehmen', 'sich Zeit nehmen für', 'jemandem zu Diensten sein', 'verarzten']","['Gruppierung', 'Clusterung', 'Bündelung']","['discontent', 'discontentedness', 'discontentment', 'yearning', 'hungriness', 'longing', 'desire', 'feeling', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['ein Gefühl der Unzufriedenheit', 'ein Schiff, das von einer oder mehreren Dampfmaschinen angetrieben wird']",[],[],dampf,dampfer,dampf,dampf,,,,,,[],negative,0.0,negative,-0.0699999999999999,neutral,,neutral,negative
130,klimademagoge,demagoge,"['demagoge', 'demagogen']",demagoge,m,"['klimademagoge', 'klimademagogen']","['(geistiger) Brandstifter', 'Provokateur', 'Volksaufwiegler', 'Einpeitscher', 'Scharfmacher', 'Seelenvergifter', 'Aufhetzer', 'Hetzer', 'Volksverführer', 'Demagoge', 'Volksverhetzer', 'Aufwiegler', 'Aufrührer', 'Hassprediger', 'Brunnenvergifter', 'Agitator']","['Pfarrer', 'Mann Gottes', 'Gottesmann', 'Priester', 'Pfaffe', 'Schwarzrock', 'Prediger', 'Pastor', 'Volksvertreter', 'Politiker']","['Mann Gottes', 'Schwarzrock', 'Pfaffe', 'Gottesmann', 'Prediger', 'Priester', 'Pastor', 'Pfarrer', 'jemand', 'irgendjemand', 'jeder beliebige']","['knocker', 'depreciator', 'disparager', 'detractor', 'cynic', 'faultfinder', 'unpleasant person', 'disagreeable person', 'persona non grata', 'unwelcome person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'knocker', 'depreciator', 'disparager', 'detractor', 'cynic', 'faultfinder', 'unpleasant person', 'disagreeable person', 'persona non grata', 'unwelcome person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['jemand, der Hass gegen andere erregt']",[],"['aktivist', 'macher', 'prediger']",demagog,demagog,demagog,demagog,,,,,,"['aktivist', 'macher', 'prediger']",negative,0.0,negative,0.0,neutral,,neutral,neutral
131,klimadialektik,dialektik,['dialektik'],dialektik,f,['klimadialektik'],"['Zweiheit', 'Polarität', 'Dichotomie', 'Dualismus', 'Kunst der Gesprächsführung', 'Logik', 'Dialektik', 'Kunst der Unterredung', 'Analytik']","['Forschung', 'Grundprinzip', 'Wissenschaft', 'logische Grundlage']","['Forschung', 'Wissenschaft', 'Grundprinzip', 'logische Grundlage', 'Grundprinzip', 'logische Grundlage', 'Grundprinzip', 'logische Grundlage']","['principle', 'rationale', 'explanation', 'thought process', 'mentation', 'intellection', 'cerebration', 'thought', 'thinking', 'higher cognitive process', 'operation', 'process', 'cognitive operation', 'cognitive process', 'mental process', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,"['Die Lehre von den Gesetzen abgeleiteten Wissens.', 'jedes formale System der Argumentation, das durch den Austausch logischer Argumente zur Wahrheit gelangt', 'eine Beziehung zwischen zwei entgegengesetzten Eigenschaften oder Tendenzen']",[],[],dialektik,dialektik,dialektik,dialekt,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
133,klimadogma,dogma,"['dogmata', 'dogmen', 'dogmas', 'dogma']",dogma,n,"['klimadogmata', 'klimadogmen', 'klimadogmas', 'klimadogma']","['Lehre', 'Doktrin', 'Evangelium', 'Glaubenssatz', 'Lehrmeinung', 'Dogma']",[],[],"['philosophy', 'ism', 'school of thought', 'doctrine', 'philosophical system', 'belief', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,"['eine Doktrin, die gelehrt wird']",[],[],dogma,dogma,dogm,dogma,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
134,klimadonna,donna,"['donna', 'donnas', 'donnen']",donna,f,"['klimadonna', 'klimadonnas', 'klimadonnen']",[],[],[],,,[],[],[],donna,donna,donn,donna,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
135,klimaernsthaftigkeit,ernsthaftigkeit,['ernsthaftigkeit'],ernsthaftigkeit,f,['klimaernsthaftigkeit'],"['Humorlosigkeit', 'Schwere', 'Seriosität', 'Authentizität', 'Schärfegrad', 'Aufrichtigkeit', 'Natürlichkeit', 'Glaubwürdigkeit', 'Redlichkeit', 'Ehrlichkeit', 'Schweregrad', 'Vertrauenswürdigkeit', 'Ernst', 'Ernsthaftigkeit']",[],[],"['credibleness', 'credibility', 'believability', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['unbestrittene Glaubwürdigkeit', 'extreme Schlichtheit', 'die Eigenschaft, ehrlich zu sein']",[],[],ernsthaftigkei,ernsthaftigkeit,ernsthaftigkeit,ernsthaft,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
136,klimaestablishment,establishment,"['establishments', 'establishment']",establishment,n,"['klimaestablishments', 'klimaestablishment']","['Schickimicki', 'Schickeria', 'Reichen und Schönen', 'gehobenen Stände', 'Schönen und Reichen', 'Hautevolee', 'die oberen Zehntausend', 'große Welt', 'bessere Gesellschaft', 'Upperclass', 'Oberschicht', 'High Snobiety', 'höhere Kreise', 'Crème de la Crème', 'Jetset', 'High Society', 'Happy Few', 'Jeunesse dorée', 'Oberklasse', 'bessere Kreise', 'Establishment']",[],[],"['taxonomic category', 'taxonomic group', 'taxon', 'biological group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",action,['(Biologie) eine taxonomische Klasse unterhalb eines Stammes und oberhalb einer Klasse'],[],[],establishm,establish,est,establishment,,,,,,[],negative,0.0,positive,0.0333333333333333,neutral,,neutral,neutral
137,klimaflüsterer,flüsterer,"['flüsterern', 'flüsterer', 'flüsterers']",flüsterer,m,"['klimaflüsterern', 'klimaflüsterer', 'klimaflüsterers']",[],[],[],,,[],[],[],flu,flüsterer,flüsterer,flust,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
138,klimaführerin,führerin,"['führerin', 'führerinnen']",führerin,f,"['klimaführerin', 'klimaführerinnen']",[],[],[],,,[],[],[],fuhreri,führerin,führerin,fuhrerin,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
140,klimagläubigkeit,gläubigkeit,['gläubigkeit'],gläubigkeit,f,['klimagläubigkeit'],"['Gläubigkeit', 'Gottesfurcht', 'Frömmigkeit']","['Angst', 'Beklommenheit', 'Beklemmung', 'Flattermann', 'Bedenken', 'Schiss', 'Angstgefühl', 'Fracksausen', 'Bedrohungsgefühl', 'Muffensausen', 'Bammel', 'Befürchtung', 'Manschetten', 'Muffe', 'Scheu', 'Furcht', 'Sorge']","['Befürchtung', 'Beklemmung', 'Scheu', 'Muffensausen', 'Manschetten', 'Schiss', 'Sorge', 'Angst', 'Flattermann', 'Fracksausen', 'Angstgefühl', 'Bedrohungsgefühl', 'Bedenken', 'Beklommenheit', 'Bammel', 'Furcht', 'Muffe']","['piousness', 'piety', 'righteousness', 'morality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,['Frömmigkeit aufgrund von Frömmigkeit'],[],[],glaubigkei,gläubigkeit,gläubigkeit,glaubig,,,,,"['gläubigkeit', 'glaube']","['gläubigkeit', 'glaube']",negative,0.0,negative,0.0,neutral,,neutral,neutral
141,klimagott,gott,"['gotts', 'gott', 'gotte', 'gottes', 'göttern', 'götter']",gott,m,"['klimagotts', 'klimagott', 'klimagotte', 'klimagottes', 'klimagöttern', 'klimagötter']","['Gott', 'Allmächtiger', 'Der Ewige', 'Elohim [jüdisch]', 'lieber Gott', 'Herr', 'Jehova [jüdisch]', 'Demiurg [gnostisch]', 'Urschöpfer', 'Gottheit', 'Allah [islamisch]', 'Abraxas [gnostisch]', 'Adonai [jüdisch]', 'Weltenlenker', 'Allvater', 'Schöpfer', 'Herrgott']",[],[],"['image', 'effigy', 'simulacrum', 'representation', 'creation', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,"['ein materielles Bildnis, das verehrt wird', 'Begriffe, die sich auf den jüdisch-christlichen Gott beziehen', 'das übernatürliche Wesen, das als vollkommener, allmächtiger und allwissender Urheber und Herrscher des Universums angesehen wird; Gegenstand der Anbetung in monotheistischen Religionen']",[],[],gott,gott,got,gott,,,,,"['gott', 'göttin']","['gott', 'göttin']",negative,0.0,negative,0.0588235294117647,neutral,,neutral,neutral
142,klimahose,hose,"['hose', 'hosen']",hose,f,"['klimahose', 'klimahosen']","['Beinkleid', 'Büx', 'Hose', 'Buxe', 'Hosen']","['Fummel', 'Fetzen', 'Kleid']","['Kleid', 'Fummel', 'Fetzen']","['footwear', 'habiliment', 'article of clothing', 'vesture', 'wear', 'clothing', 'wearable', 'covering', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'footwear', 'habiliment', 'article of clothing', 'vesture', 'wear', 'clothing', 'wearable', 'consumer goods', 'commodity', 'trade good', 'good', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,['Socken und Strümpfe und Strumpfhosen zusammen (die Briten schließen Unterwäsche ein)'],[],[],hos,hose,hos,hos,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
143,klimahüpfer,hüpfer,"['hüpfers', 'hüpfern', 'hüpfer']",hüpfer,m,"['klimahüpfers', 'klimahüpfern', 'klimahüpfer']","['Hüpfer', 'Hopser', 'kleiner Sprung']","['geht zur Schule', 'Zögling', 'Schulmädchen', 'Schüler', 'Schülerin', 'Schulkind', 'Schulbub', 'Schuljunge']","['Schüler', 'Zögling', 'Schuljunge', 'Schulbub', 'Schulkind', 'geht zur Schule', 'Schulmädchen', 'Schülerin']",[],,[None],[],[],hupf,hüpfer,hüpfer,hupf,,,,,,[],negative,0.0,positive,0.0,neutral,,neutral,neutral
144,klimajünger,jünger,"['jüngern', 'jüngers', 'jünger']",jünger,m,"['klimajüngern', 'klimajüngers', 'klimajünger']","['Anhänger', 'Adept', 'Apostel', 'Jünger', 'Getreuer', 'Schüler', 'Gefolgsmann', 'einer der Zwölf', 'Eleve', 'Gefolgsleute', 'Schülerin']",[],[],"['conveyance', 'transport', 'instrumentality', 'instrumentation', 'means', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,"['ein großes Transportmittel, das von einem Lastwagen oder einer Zugmaschine gezogen werden kann', '(Neues Testament) einer der ursprünglichen 12 Jünger, die von Christus ausgewählt wurden, um sein Evangelium zu verkünden']",[],[],jung,jünger,jünger,jung,,,,,,[],negative,0.0,positive,0.0,neutral,,neutral,neutral
145,klimakanzlerin,kanzlerin,"['kanzlerin', 'kanzlerinnen']",kanzlerin,f,"['klimakanzlerin', 'klimakanzlerinnen']","['Bundeskanzlerin', 'Kanzlerin', 'Bundeskanzler', 'Kanzler']",[],[],"['cabinet minister', 'minister', 'government minister', 'executive director', 'executive', 'decision maker', 'administrator', 'head', 'top dog', 'chief', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'cabinet minister', 'minister', 'government minister', 'executive director', 'executive', 'decision maker', 'administrator', 'head', 'top dog', 'chief', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['der für die Finanzen zuständige Minister im britischen Kabinett'],['kanzler'],['kanzler'],kanzleri,kanzlerin,kanzlerin,kanzlerin,,,,,"['kanzlerin', 'kanzler']","['kanzler', 'kanzlerin', 'kanzler']",negative,0.0,negative,0.0,neutral,,neutral,neutral
146,klimakatechismus,katechismus,"['katechismen', 'katechismus']",katechismus,m,"['klimakatechismen', 'klimakatechismus']",[],[],[],,,[],[],[],katechismu,katechismu,katechism,katechismus,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
147,klimakommissar,kommissar,"['kommissar', 'kommissare', 'kommissars', 'kommissaren']",kommissar,m,"['klimakommissar', 'klimakommissare', 'klimakommissars', 'klimakommissaren']","['Kommissar', 'Kommissär']",[],[],"['administrator', 'executive', 'head', 'top dog', 'chief', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'administrator', 'executive', 'head', 'top dog', 'chief', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein Regierungsbeamter'],[],[],kommissar,kommissar,kommiss,kommissar,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
148,klimakompetenz,kompetenz,"['kompetenzen', 'kompetenz']",kompetenz,f,"['klimakompetenzen', 'klimakompetenz']","['(persönliche) Stärke', 'Wissensstand', 'Wissen', 'Kenntnis', 'Sachverstand', 'Techne', 'Potential', 'Eignung', 'Gelehrsamkeit', 'Bereich', 'Sachkenntnis', 'Verantwortlichkeit', 'Qualifikation', 'Befugnis', 'Obliegenschaft', 'Kenntnisstand', 'Kenne', 'Tauglichkeit', 'Verantwortung', 'Sachkunde', 'Kompetenz', 'mein zweiter Vorname', 'Zuständigkeit', 'Ahnung', 'Expertise', 'Vermögen', 'ausgeprägte Fähigkeit', 'Verantwortungsbereich', 'Befähigung', 'Horizont', 'Fähigkeit', 'Rüstzeug', 'Know-how', 'starke Seite', 'Können', 'besondere Fähigkeit', 'Potenzial']","['Obliegenschaft', 'Kompetenz', 'Zuständigkeit', 'Verantwortung', 'Bereich', 'Befugnis', 'Verantwortlichkeit', 'Verantwortungsbereich']","['Bereich', 'Verantwortlichkeit', 'Befugnis', 'Verantwortung', 'Verantwortungsbereich', 'Zuständigkeit', 'Kompetenz', 'Obliegenschaft']","['protection', 'activity', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['Aufmerksamkeit und Leitung, die Verantwortung für die Sicherheit beinhalten', 'Das psychologische Ergebnis von Wahrnehmung, Lernen und Schlussfolgern', 'die Eigenschaft, geeignet zu sein', None, None]",[],[],kompetenz,kompetenz,kompetenz,kompetenz,,,,,,[],negative,0.0,negative,0.0189189189189189,neutral,,neutral,neutral
149,klimakonklave,konklave,"['konklaves', 'konklaven', 'konklave']",konklave,n,"['klimakonklaves', 'klimakonklaven', 'klimakonklave']","['Konklave', 'Papstwahl']","['Tagung', 'Kongress', 'Meeting', 'Symposium', 'Konferenz']","['Meeting', 'Tagung', 'Symposium', 'Konferenz', 'Kongress']","['meeting', 'group meeting', 'assembly', 'assemblage', 'gathering', 'group action', 'action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,['eine vertrauliche oder geheime Sitzung'],[],[],konklav,konklav,konklav,konklav,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
