;concept;origin;pattern;keyword;annotation
826;person;C2022;klimahysteriker;"Nicht nur weil auch andere , die ebenfalls über diese aus Sicht der Klimahysteriker alarmierend kontraproduktiven CERN- Aktivitäten berichten , es so halten : Auch Sie sollten "" sulfuric acid "" hier immer comme il faut übersetzen mit "" Schwefelsäure "" weil : "" Schweflige Säure "" das wäre auf Englisch "" sulphurous acid "" .";Exernal
827;person;C2022;klimahysteriker;""" Fürchten da die beiden Klimahysteriker etwa um ihre Reputation ?";Exernal
828;person;C2022;klimahysteriker;Die Klimahysteriker wollen ja unbedingt , dass insgesamt gesehen , kein neues co2 entsteht .;Exernal
829;person;C2022;klimahysteriker;"Denn die „ armen "" KlimaHysteriker haben keine Argumente , also werden diese Falschmeldungen unentwegt wiederholt ( „ Und ewig grüßt das Murmeltier "" ) .";Exernal
831;person;C2022;klimahysteriker;Heißt das , die Klimahysteriker haben zugegeben , daß sie nur FantasieSzenarien produzieren ?;Exernal
833;person;C2022;klimahysteriker;Doch in seinem Buch Die kalte Sonne widerlegte er zentrale Thesen der Klimahysteriker .;Exernal
835;person;C2022;klimahüpfer;Fazit ( des Autors ) Die Klimahüpfer sind in ihren Forderungen etwas konfus und erkennbar fremdgesteuert ( kommt man mit darauf , dass eine Reduzierung des Primärenergiebedarfs auf kWh pro Jahr klimarettend sein soll ?;Exernal
837;person;C2022;klimahüpfer;Daß Michelsen und Holtemöller , Rahmstorf und Luisa Neubauer und ihre Tausenden Klimahüpfer weniger fliegen , sich keine Knisterkamine mehr einbauen und fleißig Fahrrad fahren ?;Exernal
838;person;C2022;klimahüpfer;Aber die rührselige Geschichte von den Eisbären oder den armen Einwohnern von Tuvalu , die elendiglich ertrinken , saugen die Kleinen auf wie eine Gutenachtgeschichte . hanns graf , genau das gleiche habe ich am freitag auch erlebt . ich war bei ca . klimahüpfern , allerdings ganz alleine der gegener . bin mehrfach eingekesselt worden , auf fragen konnte nicht geantwortet werden , oder falsch ( % co2 ) ! !;Exernal
839;person;C2022;klimahüpfer;CO2 kühlt den Planeten und die Klimahüpfer werden das auch bald begreifen - aber wie die Wende kriegen ?;Exernal
866;person;C2022;klimakaiserin;Es war der Tag , an dem die AfD auf einer als historisch anzusehenden , aber medial fast völlig übergangenen Pressekonferenz , den zahlreich versammelten Medienvertretern , die entsetzliche Wahrheit mitteilen musste , das die Klimakaiserin Merkel keine Kleider an hat .;Exernal
878;person;C2022;klimakanzler;"Aber was würde im EnergiewendeDeutschland der „ KlimaKanzlerin "" , die alle große Firmen und außeruniversitären Forschungseinrichtungen auf Kurs gebracht hat , passieren , wenn Axel Bojanowski schreiben würde : „ Die moderne Warmphase - kein Spielraum für CO2 "" .";Exernal
879;person;C2022;klimakanzler;"Was war der stinkig ! : ) ) & : ) ) Der hat indirekt alle G6 Länder der Heuchelei bezichtigt . : ) ) Und der „ Klimakanzlerin "" warf er Langsamkeit vor und die Ziele für könnten nicht mehr erreicht werden .";Exernal
880;person;C2022;klimakanzler;"Möge diese „ Klimakanzlerin "" auf die Nase fallen und die anderen diese austricksen .";Exernal
881;person;C2022;klimakanzler;Bolsonaro in , Merkel out : Die Pariser KlimaBande zerfällt Während die Brasilianer einen neuen , klimaskeptischen Präsidenten gewählt haben , hat Deutschlands , KlimaKanzlerin ' Angela Merkel angekündigt , sich nach und nach aus allen ihren politischen Ämtern zurückzuziehen .;Exernal
882;person;C2022;klimakanzler;"Brasilien wählte einen überzeugten und radikalen AntiUmweltAktivisten zum Präsidenten , und Deutschlands Kanzlerin Angela Merkel bestätigte ihre Rückzugspläne , womit sie ihr bereits schwächelndes Image als „ KlimaKanzlerin "" und Europas Führerin in diesem Bereich weiter schwächte .";Exernal
883;person;C2022;klimakanzler;Allen voran unsere Klimakanzlerin , die überraschend kurz vor der aktuellen Bundestagswahl ihre Linie des Versteckens und des Agierens über das Ziehen von Strippen im Hintergrund aufgegeben hat .;Exernal
884;person;C2022;klimakanzler;"Schauen Sie sich doch mal an , wie viele Deutsche heute die „ KlimaKanzlerin "" wählen würden oder „ EnergiewendeSiggi "" .";Exernal
885;person;C2022;klimakanzler;"Dass er der Versuchung erlegen ist , sich im Deutschland der „ KlimaKanzlerin "" mit einem politisch korrekten Thema als grüner MedienLiebling zu inszenieren , ist für mich nachvollziehbar .";Exernal
887;person;C2022;klimakanzler;"Deshalb schaue ich mir inzwischen die Nachrichten nicht mehr an - genauso wie die Neujahrsansprache unserer „ Klimakanzlerin "" .";Exernal
888;person;C2022;klimakanzler;Genau das tut die Klimakanzlerin , Deutschland rettet alles und jeden und das auch noch alleine , die anderen sollen sehen , wie toll wir das so alles hinkriegen und versuchen mit ihren beschränkten Mitteln nachzumachen .;Exernal
889;person;C2022;klimakanzler;"Hartmut Bachmann hat doch die Entstehung des Klimahypes beschrieben , und alles , was Rang und Namen hat , incl . unserer Klimakanzlerin , hat irgendwann in den vergangenen Jahren offen zugegeben , dass es nicht um Umweltschutz geht , sondern um Umverteilung des Kapitals in einer „ neuen Ordnung "" , die wir ja alternativlos zu wollen haben .";Exernal
890;person;C2022;klimakanzler;Sie stolpern über Ihre eigenen Füße und dies erinnert mich wiederum an unsere Klimakanzlerin und deren Hofintriganten .;Exernal
891;person;C2022;klimakanzler;Während in Fukushima kein einziger Mensch durch Strahlung zu Tode kam , aber sofort der Ausstieg aus der Kernenergie von der Klimakanzlerin beschlossen wurde , eiern Politik und Medien rum , wenn es darum geht , die Ursache für die gänzlich vermeidbaren Todesopfer der Fassadenbrände - hierzulande wie im Ausland- zu nennen .;Exernal
894;person;C2022;klimakanzler;Tatsächlich ist die Position der Alarmforschung inhaltlich aber derart schwach , dass man gespannt sein darf , wie die Nachwelt unsere KlimaKanzlerin eines Tages beurteilen wird !;Exernal
895;person;C2022;klimakanzler;Unsere Klimakanzlerin postuliert doch immer , dass sie die Dinge vom Ende her betrachtet .;Exernal
897;person;C2022;klimakanzlerin;"Darf ich sie daran erinnern , dass es von bis eine schwarzgelbe Regierungskoalition gab und Merkel nicht erst seit heute die „ KlimaKanzlerin "" ist ?";Exernal
898;person;C2022;klimakanzlerin;"Aber was würde im EnergiewendeDeutschland der „ KlimaKanzlerin "" , die alle große Firmen und außeruniversitären Forschungseinrichtungen auf Kurs gebracht hat , passieren , wenn Axel Bojanowski schreiben würde : „ Die moderne Warmphase - kein Spielraum für CO2 "" .";Exernal
899;person;C2022;klimakanzlerin;"Was war der stinkig ! : ) ) & : ) ) Der hat indirekt alle G6 Länder der Heuchelei bezichtigt . : ) ) Und der „ Klimakanzlerin "" warf er Langsamkeit vor und die Ziele für könnten nicht mehr erreicht werden .";Exernal
900;person;C2022;klimakanzlerin;"Möge diese „ Klimakanzlerin "" auf die Nase fallen und die anderen diese austricksen .";Exernal
901;person;C2022;klimakanzlerin;Bolsonaro in , Merkel out : Die Pariser KlimaBande zerfällt Während die Brasilianer einen neuen , klimaskeptischen Präsidenten gewählt haben , hat Deutschlands , KlimaKanzlerin ' Angela Merkel angekündigt , sich nach und nach aus allen ihren politischen Ämtern zurückzuziehen .;Exernal
903;person;C2022;klimakanzlerin;Allen voran unsere Klimakanzlerin , die überraschend kurz vor der aktuellen Bundestagswahl ihre Linie des Versteckens und des Agierens über das Ziehen von Strippen im Hintergrund aufgegeben hat .;Exernal
904;person;C2022;klimakanzlerin;"Schauen Sie sich doch mal an , wie viele Deutsche heute die „ KlimaKanzlerin "" wählen würden oder „ EnergiewendeSiggi "" .";Exernal
905;person;C2022;klimakanzlerin;"Dass er der Versuchung erlegen ist , sich im Deutschland der „ KlimaKanzlerin "" mit einem politisch korrekten Thema als grüner MedienLiebling zu inszenieren , ist für mich nachvollziehbar .";Exernal
906;person;C2022;klimakanzlerin;Und als ein besonders ähnlich gläubiger Mensch wie unsere Pfarrerstochter und Klimakanzlerin ist er bisher auch noch nicht aufgefallen : Interessant wäre nun noch herauszufinden , was Marine Le Pen von der AGW - Theorie hält . : - ) Die Klimadonna interessiert ja anscheinend gar nichts , was provozieren könnte , diese Religion anzugreifen , sie knallt ja noch die Energiewende drauf !;Exernal
907;person;C2022;klimakanzlerin;"Deshalb schaue ich mir inzwischen die Nachrichten nicht mehr an - genauso wie die Neujahrsansprache unserer „ Klimakanzlerin "" .";Exernal
908;person;C2022;klimakanzlerin;Genau das tut die Klimakanzlerin , Deutschland rettet alles und jeden und das auch noch alleine , die anderen sollen sehen , wie toll wir das so alles hinkriegen und versuchen mit ihren beschränkten Mitteln nachzumachen .;Exernal
910;person;C2022;klimakanzlerin;Sie stolpern über Ihre eigenen Füße und dies erinnert mich wiederum an unsere Klimakanzlerin und deren Hofintriganten .;Exernal
912;person;C2022;klimakanzlerin;Bloß unter keinen Umständen die Klimakanzlerin und ihre politischen Vasallen verärgern .;Exernal
913;person;C2022;klimakanzlerin;Kann sie sich auch glatt leisten , denn die rotgrünen KlimaHofberichterstatter in den Medien haben alles im Griff und bringen zuverlässig , was der rotgrünen KlimaKanzlerin gefällt !;Exernal
914;person;C2022;klimakanzlerin;Tatsächlich ist die Position der Alarmforschung inhaltlich aber derart schwach , dass man gespannt sein darf , wie die Nachwelt unsere KlimaKanzlerin eines Tages beurteilen wird !;Exernal
916;person;C2022;klimakanzlerin;Hätten Sie gewusst , dass selbst Bundesministerien heute von der als « KlimaKanzlerin » verehrten Angela Merkel auf Kurs gebracht noch vor wenigen Jahren erhebliche Zweifel am menschengemachten Klimawandel anmeldeten ?;Exernal
1067;person;C2022;klimaleugner;"Der eigentliche Skandal ist , dass die USJustizministerin Loretta Lynch so wenig naturhistorisches Wissen besitzt , dass sie an das FBI eine Anfrage gerichtet hat herauszufinden , ob Kriterien vorliegen , die es Gerichten gestatten , zivilrechtlich gegen „ Klimaleugner "" vorgehen zu können .";Exernal
1092;person;C2022;klimaleugner;"Im politischen Bereich macht gerade das Wort der cancel culture die Runde ; es geht darum , „ Klimaleugnern "" und anderen „ Rechten "" wie Dieter Nuhr oder Lisa Eckhart ( EIKE sowieso ) jede Möglichkeit zu nehmen , sich kritisch zu äußern .";Exernal
1116;person;C2022;klimaleugner;Aber vielleicht gibt es bald wieder Menschenopfer , Klimaleugner , die dem Gott des Klimas CO2neutral dargeboten werden .;Exernal
2;person;C2022;klimaaktivist;"Das ist nichts , was "" Klimaaktivisten "" zur Kenntnis nehmen , nichts , was angebliche "" Wissenschaftsjournalisten "" aufarbeiten , nicht einmal etwas , was FachZeitschriften der Physik drucken wollen , nicht weil es keine Physik wäre , nein , an der Methode und der Durchführung gibt es nichts auszusetzen , aber am Ergebnis .";External
4;person;C2022;klimaaktivist;"Es wird unter dem dramatischen CO2Regime zu Völkerwanderungen kommen , sehr viele Menschen werden verarmen , die medizinische Versorgung wird schlechter wegen fehlender industrieller Leistungsfähigkeit- aber ok- man fühlt sich halt gut als Klimaaktivist , „ der die Aufgabe "" annimmt … Scwachsinn , der moderne Homo Sapiens hat sich vor Jahren in Europa ausgebreitet , wobei Europa bis zu den Alpen mit einer Eisschcht bedekt war .";External
5;person;C2022;klimaaktivist;"Korrupte Klima "" wissenschaftler "" , verlogene Politiker , hirngewaschene Trottel ( innen ) … Diskussion nutzlos Sie ist sogar notwendig , und zwar aus der Sicht der Klimaaktivist * Innen .";External
6;person;C2022;klimaaktivist;Das ist ein Problem für KlimaAktivisten .;External
9;person;C2022;klimaaktivist;Anstatt mit einem Flugzeug in wenigen Stunden von Nordamerika nach Europa zurück zu fliegen , schiffte sich die Klimaaktivistin Greta Thunberg am .;External
10;person;C2022;klimaaktivist;Wenn es jedoch nach den Klimaaktivisten geht , werden alle anderen Optionen ausgeschlossen .;External
12;person;C2022;klimaaktivist;Sie erinnert nicht mehr an Wissenschaft , sondern an das , was hyperaktive Klimaaktivisten an ungeprüften und oft falsch interpretierten Statements bekanntermaßen liefern : EIKE : Der Krieg des Klimas gegen die Menschheit Über den weltweit bekanntesten Klimaaktivisten Bill McKibben Jedenfalls ist damit klar , warum in ihrem Blog eine vorwiegend nach Ausbildung in Aktivismus ausgesuchte Mannschaft praktisch alles , was alarmistisch ist veröffentlichen darf ( und soll ) .;External
15;person;C2022;klimaaktivist;So ist es erst wenige Jahre her , dass KlimaAktivisten forderten , fossile Treibstoffe durch klimaneutrale aus Pflanzen zu ersetzen .;External
16;person;C2022;klimaaktivist;Das wissen viele der KlimaAktivisten selbst nicht , wenn sie darauf angesprochen werden .;External
17;person;C2022;klimaaktivist;Das halten KlimaAktivisten für viel und sehen darin eine Bedrohung .;External
19;person;C2022;klimaaktivist;Man greift also vonseiten der KlimaAktivisten nicht die Produzenten an sondern die Konsumenten .;External
21;person;C2022;klimaaktivist;Statt für Sachlichkeit und Besonnenheit zu sorgen , versuchen sie , die KlimaAktivisten auf dem Grünstreifen zu überholen mit voreiligen Beschlüssen wie einer CO2Steuer .;External
24;person;C2022;klimaaktivist;Aber Bergkamp zufolge werden sich Klimaaktivisten an die Judikative wenden , um dem Vertrag Nachdruck zu verleihen .;External
25;person;C2022;klimaaktivist;Sie wissen doch ganz genau , dass die Einnahmen aus einer CO2Steuer nicht an die KlimaAktivisten gehen .;External
26;person;C2022;klimaaktivist;Eines lässt sich aber recht schnell feststellen : Dass die aktuell gemeldete Temperatur von C die höchste wäre , ist eine reine - durch überhaupt nichts begründbare - Vermutung von Klimaaktivisten und Klimaretter.Info Einvernehmlich und von der WMO anerkannt gilt das Jahr mit C als die heißeste mit einer Station gemessene Temperatur .;External
27;person;C2022;klimaaktivist;"Es ist deshalb vollkommen unverständlich , wie Klimaretter.Info auf die Idee kommt , alleine weil jemand „ davon spricht "" und ein Klimaaktivist twittert , diese Messung vom Juli als Temperaturrekord zu melden .";External
29;person;C2022;klimaaktivist;Hier war seine Argumentationsstärke zu erkennen , als er wiederum klar zwischen seriösen Forschern und ideologisierten Klimaaktivisten differenzierte .;External
30;person;C2022;klimaaktivist;Hinsichtlich der ExtremSzenarien in dem Report schrieb Pielke : Folgende Quelle liegt der SchlagzeilenSchlussfolgerung des NCA bzgl . eines Rückgangs des USBIP um % zugrunde : Diese Zahl ist abgeleitet aus einer von Tom Steyer finanzierten Studie ( Steyer ist ein milliardenschwerer Geldgeber der Demokraten und außerdem KlimaAktivist ) .;External
32;person;C2022;klimaaktivist;KlimaAktivisten fordern von Fluggesellschaften , ihre Flugbewegungen einzuschränken , damit die Menschen weniger fliegen .;External
33;person;C2022;klimaaktivist;KlimaAktivisten verhalten sich wie Tyrannen .;External
34;person;C2022;klimaaktivist;Klimaaktivisten sind keine schlechten Menschen .;External
35;person;C2022;klimaaktivist;Klimaaktivisten sind so überzeugt von der Rechtschaffenheit ihrer Sache , dass sie es schwierig finden sich vorzustellen , dass irgendjemand nicht aufrichtig mit ihrer Analyse übereinstimmen könnte .;External
36;person;C2022;klimaaktivist;Viele Klimaaktivisten scheinen sich primär auf emotionale Gewissheit zu stützen .;External
37;person;C2022;klimaaktivist;Link : Mit dem Teufel im Bunde ( No Climate Free Speech , Part ) Klimaaktivisten haben das ehrwürdige Recht auf freie Meinungsäußerung umdefiniert .;External
38;person;C2022;klimaaktivist;Ist es das , was die KlimaAktivisten so unbedingt nachahmen wollen ?;External
39;person;C2022;klimaaktivist;"Was will man erreichen , wenn Klimaaktivisten Despoten und Unterdrückern nacheifern ; wenn sie einen unpersönlichen Stil übernehmen , der die Menschen garantiert vor den Kopf stößt ?";External
41;person;C2022;klimaaktivist;"Man lese diesen Artikel noch ein Mal und setze an die Stelle des Wortes „ Klimaaktivisten "" - „ Atomkraftgegner "" .";External
42;person;C2022;klimaaktivist;"„ The fakes are settled "" , wie es bei uns Klimaaktivisten heißt .";External
43;person;C2022;klimaaktivist;Dieses schreibt eine Klimaaktivistin aus Bangla Desh .;External
44;person;C2022;klimaaktivist;"„ Klimaaktivist "" die Wahrheit über unser „ normales "" Wetter in und damit die Wahrheit , dass dies so rein gar nichts mit einem menschengemachten Klimawandel zu tun hat , nicht gefällt .";External
45;person;C2022;klimaaktivist;) nach Klimaaktivisten oder CO2Jüngern ausrichten .;External
46;person;C2022;klimaaktivist;] Er sagte , Trump inspirierte und motivierte tatsächlich mehr Klimaaktivisten .;External
47;person;C2022;klimaaktivist;Es war McIntyre , der im Jahre die gesamten nachträglichen Adjustierungen der USTemperaturen zwischen und enthüllt hatte , die vom GISS ( damals geleitet vom ausgesprochenen Klimaaktivisten James Hansen ) zusammengestellt worden waren .;External
48;person;C2022;klimaaktivist;"Dann , im Jahr , versammelte sich die „ internationale Gemeinschaft "" der UNOKlimaaktivisten in Paris , um eine Formulierung auszuarbeiten , die von den entwickelten Ländern verlangt , ihren Verbrauch an fossilen Brennstoffen zu reduzieren , die Ziele für die Treibhausgasemissionen alle fünf Jahre zu verschärfen und innerhalb weniger Jahrzehnte „ kohlenstoffneutral "" zu werden - um ein von Menschen verursachtes Klimachaos zu verhindern , das von Computermodellen vorhergesagt , aber weder durch die Erdgeschichte noch durch Beweise aus der realen Welt gestützt wird .";External
49;person;C2022;klimaaktivist;Was ist die schwedische KlimaAktivistin Greta Thunberg denn nun : Heldin oder Nervensäge ?;External
50;person;C2022;klimaaktivist;Generell stelle sich die Frage , wie sich journalistische Unabhängigkeit und die Zusammenarbeit mit KLimaaktivisten unter einen Hut bringen lassen .;External
51;person;C2022;klimaaktivist;Seht , auch im schönen Isartal gibt es für das Klima besonders Engagierte Der ÖkoenergieAktivist durfte erzählen , wie grandios die Wasserstofftechnologie - woran er gerade arbeitet - unsere Energiewende retten wird , und die Freitagshüpferin ihr Wissen zum Klima : Klimaaktivistin … ( Abiturientin ) im Video ab : : . . . irgendwann erkennt man , dass Teile nicht so gut sind .;External
52;person;C2022;klimaaktivist;"Mehrmals wurde über Aktivisten berichtet , welche bewusst apokalyptische Aussagen manipulieren : EIKE : Selbsternannte Klimaapostel sägen an Deutschlands Klimaeichen EIKE : Der Krieg des Klimas gegen die Menschheit , Über den weltweit bekanntesten Klimaaktivisten Bill McKibben klimaretter.info : [ ] Klimaflüchtlinge , die nicht flüchten Leider sind beim Klimawandel falsche Informationen dank unserer Medien so „ gängig "" , dass selbst Personen , welche es besser wissen könnten , daran glauben , da es Ihnen an einer wichtigen Grundeigenschaft wissenschaftlichen Arbeitens - dem Hinterfragen - mangelt .";External
55;person;C2022;klimaaktivist;"selbst der Klimaaktivist Joe Romm ( siehe dazu seine Webseite ) , daß der Anstieg seit ( übrigens bemerkenswert erst hat der IPCC gesagt , der „ Temperaturanstieg "" seit könnte nur durch CO2 erklärt werden , jetzt ziehen sie sich zurück auf das Jahr , da war wohl die pause mit keinem Temperaturanstieg von 1950- zu lang ) durch die El Ninos 198689 und / zuerklären ist .";External
56;person;C2022;klimaaktivist;"Unsinn sollte ein Fachportal erkennen und nicht wiederholen Vor kurzem kam die Meldung über eine bisher unentdeckte , in den SatellitenPegeldaten „ schlummernde "" , zusätzliche PegelAnstiegskomponente , welche das Wissenschaftsteam ( eines ausgewiesenen Klimaaktivisten ) entdeckt haben will [ ] .";External
57;person;C2022;klimaaktivist;Diese Anwürfe werden beispielsweise in einem Papier der bekannten Klimaaktivisten John Cook und Naomi Oreskes erhoben , wobei man pikanterweise gleich zu Anfang den Vorwurf erhebt , Exxon Mobil habe schon vor mehr als Jahren genau über die angeblich bevorstehende Klimakatastrophe Bescheid gewusst .;External
58;person;C2022;klimaaktivist;Im Gegensatz dazu profitieren die zahllosen Gruppen oft linksradikaler Klimaaktivisten von enormen finanziellen Zuwendungen seitens der Industrie ebenso wie von NGO s , Stiftungen und auch direkt durch staatliche Institutionen .;External
59;person;C2022;klimaaktivist;Klimaaktivist * innen und Antifaschist * innen zogen wir vor die Wappenhalle in der Messestadt West um ein paar Grußworte zu überbringen .;External
60;person;C2022;klimaaktivist;Erinnerung an den BBCSkandal im Jahr Dies erinnert an den bekannten BBCSkandal , als die BBC einen veröffentlichten wetterbezogenen Artikel veränderte , um mehr klimaalarmistisch zu sein , nach dem Wechsel einiger EMails mit Jo Abbess , einem Klimaaktivisten , der sich danach damit brüstete .;External
61;person;C2022;klimaaktivist;"„ Klimaforscher "" wie Reto Knutti sind keine seriösen Forscher , sondern Klimaaktivisten .";External
62;person;C2022;klimaaktivist;Das wird den meisten der Leser * Innen hier bekannt sein , nur nicht den Klimaaktivist * Innen .;External
63;person;C2022;klimaaktivist;""" Diesen vernünftigen und optimistischen Rat gab die 16jährige Klimaaktivistin Greta Tintin Eleonora Ernman Thunberg der jungen um eine statistische Größe besorgten Generation und hat damit erstaunlichen Erfolg - zumindest laut Spiegel .";External
64;person;C2022;klimaaktivist;Dok wirft einen Blick in die Welt der Feinde der jungen Klimaaktivistin .;External
65;person;C2022;klimaaktivist;Unter Klimaaktivisten hat es Methode , einfach Behauptungen in den Raum zu stellen … weil sie wissen , dass solche von den Medien gerne und mit Eifer publiziert werden .;External
66;person;C2022;klimaaktivist;Ein ganz schlimmes Beispiel lieferte dazu ein Gewinner des alternativen Nobelpreises : EIKE : [ ] Der Krieg des Klimas gegen die Menschheit Über den weltweit bekanntesten ( und wohl aggressivsten ) Klimaaktivisten Bill McKibben … der ohne eine Spur von Belegen behauptete : … „ Der Feind ( gemeint ist der angeblich menschengemachte Klimawandel ) setzt sogar BioWaffen ein , um psychologischen Terror zu verbreiten : Der ZikaVirus lässt auf einem ganzen Kontinent die Köpfe von Neugeborenen schrumpfen . . .;External
67;person;C2022;klimaaktivist;"Mit schlecht angewandter Statistik lässt sich aber das Gegenteil „ zeigen "" ( Teil ) [ ] EIKE : Munich Re Presseinfo : Natur fordert mehr Opfer - Naturkatastrophen wie Erdbeben , Überschwemmungen und Hitzewellen haben deutlich mehr Menschenleben gekostet als im Vorjahr [ ] EIKE : Der Krieg des Klimas gegen die Menschheit Über den weltweit bekanntesten Klimaaktivisten Bill McKibben [ ] Zeit Online .";External
69;person;C2022;klimaaktivist;Seit Xi Jinping vor acht Jahren Generalsekretär der Kommunistischen Partei Chinas wurde , hat fast jeder , der glaubte , Chinas kommunistisches Regime würde nach innen freundlicher und nach außen weniger bedrohlich werden , seine Meinung revidiert - jeder , das heißt , außer den Klimaaktivisten .;External
71;person;C2022;klimaaktivist;Daß die KlimaAktivisten keine Angst vor dem angeblich sicheren Weltuntergang haben , zeigt sich klar an ihrem Verhalten .;External
72;person;C2022;klimaaktivist;« Michael Shellenberger , der ExAlarmist , der » Held der Umwelt « , der vor der UN auftrat , einst radikaler Klimaaktivist , gibt sich geläutert .;External
73;person;C2022;klimaaktivist;Ich bin seit Jahren ein Klimaaktivist und seit Jahren ein Umweltschützer .;External
