original;second_part;bert;bert_related;blob;blob_related;manual_sentiment
klimaglaubensbekenntnis;glaubensbekenntnis;neutral;positive;0.0;0.0;neutral
klimaglaubenslehre;glaubenslehre;neutral;neutral;0.0;0.0;neutral
klimagläubigkeit;gläubigkeit;negative;negative;0.0;0.0;neutral
klimagnom;gnom;positive;negative;0.0;0.0;neutral
klimagott;gott;negative;negative;0.0;0.058823529411764705;neutral
klimagöttin;göttin;positive;positive;0.0;0.0;positive
klimagunst;gunst;positive;positive;0.0;0.0625;positive
klimahardliner;hardliner;negative;negative;0.0;0.2333333333333333;negative
klimaherausforderung;herausforderung;negative;negative;0.0;0.07777777777777778;negative
klimahoax;hoax;positive;positive;0.0;0.0;neutral
klimahokuspokus;hokuspokus;negative;negative;0.0;0.0;negative
klimahölle;hölle;negative;negative;0.0;0.0;negative
klimahose;hose;negative;negative;0.0;0.0;neutral
klimahüpfer;hüpfer;negative;positive;0.0;0.0;neutral
klimahybris;hybris;negative;negative;0.0;0.0;negative
klimahype;hype;negative;negative;0.0;0.0;positive
klimahypothese;hypothese;neutral;negative;0.0;0.0;neutral
klimahysterie;hysterie;negative;negative;0.0;0.0;negative
klimahysteriker;hysteriker;negative;negative;0.0;0.0;negative
klimaideologie;ideologie;neutral;neutral;0.0;0.0;neutral
klimaikone;ikone;positive;positive;0.0;0.0;neutral
klimainsider;insider;positive;negative;0.0;0.09999999999999999;neutral
klimaintelligenz;intelligenz;positive;negative;0.0;0.0;neutral
klimairrsinn;irrsinn;negative;negative;0.0;0.0;negative
klimajünger;jünger;negative;positive;0.0;0.0;neutral
klimakabarett;kabarett;positive;negative;0.0;0.0;neutral
klimakaiserin;kaiserin;positive;positive;0.0;0.0;neutral
klimakamarilla;kamarilla;negative;negative;0.0;0.0;negative
klimakampf;kampf;negative;negative;0.0;0.0;negative
klimakanzler;kanzler;positive;negative;0.0;0.0;neutral
klimakanzlerin;kanzlerin;negative;negative;0.0;0.0;neutral
klimakarawane;karawane;positive;positive;0.0;0.0;neutral
klimakäse;käse;negative;negative;0.0;-0.06;negative
klimakasteiung;kasteiung;negative;negative;0.0;0.0;negative
klimakataklysmus;kataklysmus;negative;negative;0.0;0.0;negative
klimakatastrophentheorie;katastrophentheorie;negative;negative;0.0;0.0;negative
klimakatechismus;katechismus;negative;negative;0.0;0.0;neutral
klimaketzer;ketzer;negative;negative;0.0;-0.07692307692307693;negative
klimakirche;kirche;neutral;neutral;0.0;0.0;neutral
klimaklamauk;klamauk;positive;negative;0.0;-0.07692307692307693;related
klimaklempner;klempner;positive;positive;0.0;0.0;neutral
klimakleriker;kleriker;negative;negative;0.0;0.0;negative
klimakollekte;kollekte;positive;positive;0.0;0.0;neutral
klimakolonialismus;kolonialismus;neutral;neutral;0.0;0.0;neutral
klimakommissar;kommissar;negative;negative;0.0;0.0;neutral
klimakompetenz;kompetenz;negative;negative;0.0;0.018918918918918916;neutral
klimakonfusion;konfusion;negative;negative;0.0;0.0;negative
klimakönigin;königin;positive;positive;0.0;0.0;neutral
klimakonklave;konklave;negative;negative;0.0;0.0;neutral
klimakonsens;konsens;negative;negative;0.0;0.041176470588235294;neutral
klimakonsortium;konsortium;negative;negative;0.0;0.0;neutral
klimakontrolle;kontrolle;positive;negative;0.0;0.0;neutral
klimakontroverse;kontroverse;negative;negative;0.0;0.0;negative
klimakreationismus;kreationismus;negative;negative;0.0;0.0;neutral
klimakreuzzug;kreuzzug;negative;negative;0.0;0.0;negative
klimakrieg;krieg;positive;neutral;0.0;-0.07692307692307693;negative
klimakrieger;krieger;negative;negative;0.0;0.0;negative
klimakritik;kritik;negative;negative;0.0;0.0;negative
klimakritiker;kritiker;negative;negative;0.0;0.0;negative
klimakult;kult;positive;negative;0.0;0.0;neutral
klimalaie;laie;negative;negative;0.0;0.0;negative
klimaleidenschaftlichkeit;leidenschaftlichkeit;neutral;negative;0.0;0.0;neutral
klimaleugner;leugner;positive;positive;0.0;0.0;negative
klimaleugnung;leugnung;negative;negative;0.0;0.0;negative
klimalobby;lobby;negative;negative;0.0;0.0;neutral
klimalösegeld;lösegeld;negative;negative;0.0;0.0;negative
klimalüge;lüge;negative;negative;0.0;0.0;negative
klimalügner;lügner;negative;negative;0.0;0.0;negative
klimamacher;macher;positive;negative;0.0;0.0;neutral
klimamafia;mafia;negative;negative;0.0;-0.07692307692307693;negative
klimamahnwache;mahnwache;neutral;neutral;0.0;0.0;neutral
klimamanipulation;manipulation;negative;negative;0.0;0.0;negative
klimamantra;mantra;negative;negative;0.0;-0.041176470588235294;neutral
klimamärchenonkel;märchenonkel;negative;negative;0.0;0.0;negative
klimamilliardär;milliardär;negative;negative;0.0;0.09333333333333332;neutral
klimamisere;misere;negative;negative;0.0;-0.18076923076923077;negative
klimamonster;monster;negative;negative;0.0;-0.058823529411764705;negative
klimamutti;mutti;negative;negative;0.0;0.0;neutral
klimanationalismus;nationalismus;negative;neutral;0.0;0.0;neutral
klimanonsens;nonsens;negative;negative;0.0;-0.02857142857142857;negative
klimanotfall;notfall;negative;negative;0.0;0.0;negative
klimanotlage;notlage;negative;negative;0.0;-0.09642857142857143;negative
klimanotstandsregierung;notstandsregierung;neutral;neutral;0.0;0.0;negative
klimaorthodoxie;orthodoxie;negative;neutral;0.0;0.25;neutral
klimapäckchen;päckchen;negative;negative;0.0;0.0;neutral
klimapanik;panik;negative;negative;0.0;-0.042857142857142864;negative
klimapanikmache;panikmache;negative;negative;0.0;0.0;negative
klimapapst;papst;positive;neutral;0.0;0.0;neutral
klimapäpstin;päpstin;positive;positive;0.0;0.0;neutral
klimaparadies;paradies;positive;positive;0.0;0.058823529411764705;positive
klimapflicht;pflicht;negative;negative;0.0;0.0;neutral
klimaplanwirtschaft;planwirtschaft;neutral;neutral;0.0;0.0;neutral
klimapolemik;polemik;negative;negative;0.0;0.0;neutral
klimapopulismus;populismus;negative;neutral;0.0;0.25;neutral
klimaprediger;prediger;negative;positive;0.0;0.0;neutral
klimapresse;presse;negative;negative;0.0;0.0;neutral
klimaprofessor;professor;neutral;neutral;0.0;0.0;neutral
klimaprofiteur;profiteur;negative;negative;0.0;0.0;neutral
klimapropaganda;propaganda;negative;negative;0.0;0.0;neutral
klimapropagandafilm;propagandafilm;negative;negative;0.0;0.0;neutral
klimapropagandist;propagandist;negative;negative;0.0;0.0;neutral
klimaprotestler;protestler;negative;negative;0.0;0.0;neutral
klimapseudowissenschaft;pseudowissenschaft;negative;negative;0.0;0.0;neutral
klimaquatsch;quatsch;negative;negative;0.0;-0.06;negative
klimarealismus;realismus;negative;negative;0.0;0.0;neutral
klimarealist;realist;positive;positive;0.0;0.0;neutral
klimareligion;religion;neutral;neutral;0.0;0.0;neutral
klimaretter;retter;positive;negative;0.0;0.0;positive
klimaretterin;retterin;positive;positive;0.0;0.0;positive
klimarettung;rettung;positive;positive;0.0;0.0;positive
klimaschänder;schänder;negative;negative;0.0;0.0;negative
klimaschändung;schändung;negative;negative;0.0;0.0;negative
klimascharade;scharade;negative;positive;0.0;0.0;negative
klimaschiff;schiff;positive;positive;0.0;0.0;neutral
klimaschmerz;schmerz;negative;negative;0.0;-0.25;negative
klimaschrecken;schrecken;negative;negative;-1.0;-0.5285714285714286;negative
klimaschuld;schuld;negative;negative;0.0;0.0;negative
klimaschwachsinn;schwachsinn;negative;negative;0.0;-0.05555555555555555;negative
klimaschwindel;schwindel;negative;negative;0.0;0.0;negative
klimaschwindler;schwindler;negative;negative;0.0;0.04666666666666666;negative
klimasekte;sekte;positive;negative;0.0;0.0;negative
klimasektierer;sektierer;negative;negative;0.0;-0.06666666666666667;neutral
klimashow;show;positive;positive;0.0;0.0;neutral
klimaskepsis;skepsis;negative;negative;0.0;-0.14285714285714285;negative
klimaskeptiker;skeptiker;negative;negative;0.0;0.0;negative
klimaskeptikerin;skeptikerin;negative;negative;0.0;0.0;negative
klimaskeptizismus;skeptizismus;neutral;neutral;0.0;0.0;negative
klimasozialismus;sozialismus;negative;negative;0.0;0.0;negative
klimaspinner;spinner;negative;negative;0.0;-0.16666666666666666;negative
klimastaat;staat;negative;negative;0.0;0.0;neutral
klimastopp;stopp;negative;negative;0.0;0.0;negative
klimastreit;streit;negative;negative;0.0;0.0;negative
klimastreiter;streiter;negative;negative;0.0;0.0;negative
klimataliban;taliban;positive;positive;0.0;0.0;negative
klimateppich;teppich;negative;negative;0.0;0.0;neutral
klimateufel;teufel;negative;negative;0.0;-0.013043478260869568;negative
klimatheater;theater;neutral;negative;0.0;-0.014492753623188406;neutral
klimatheologie;theologie;neutral;neutral;0.0;0.0;neutral
klimatod;tod;negative;positive;0.0;-0.03043478260869565;negative
klimatrash;trash;negative;negative;0.0;0.0;negative
klimatraumatisierung;traumatisierung;positive;positive;0.0;0.0;negative
klimatrip;trip;positive;positive;0.0;0.0;neutral
klimatyrannei;tyrannei;positive;negative;0.0;0.0;negative
klimaüberhitzung;überhitzung;negative;negative;0.0;0.0;negative
klimaunfähigkeit;unfähigkeit;negative;negative;0.0;0.0;negative
klimaunfug;unfug;negative;negative;0.0;-0.06;negative
klimaungerechtigkeit;ungerechtigkeit;negative;negative;0.0;-0.14285714285714285;negative
klimaunsinn;unsinn;negative;negative;0.0;-0.057692307692307696;negative
klimauntergang;untergang;negative;negative;0.0;-0.03571428571428571;negative
klimavatikan;vatikan;neutral;neutral;0.0;0.0;neutral
klimaverblödung;verblödung;negative;negative;0.0;0.0;negative
klimaverbrechen;verbrechen;negative;negative;0.0;-0.25;negative
klimaverbrecher;verbrecher;negative;negative;0.0;-0.10526315789473684;negative
klimaverdummung;verdummung;negative;negative;0.0;0.0;negative
klimaverleugnung;verleugnung;negative;negative;0.0;-0.09999999999999999;negative
klimavernunft;vernunft;neutral;negative;0.0;0.08695652173913043;neutral
klimaverrücktheit;verrücktheit;positive;negative;0.0;0.0;negative
klimaverstand;verstand;negative;negative;0.0;0.0;neutral
klimaverteidigung;verteidigung;negative;negative;0.0;0.0;neutral
klimaverweigerung;verweigerung;negative;negative;0.0;0.0;negative
klimaverwirrung;verwirrung;negative;negative;0.0;0.0;negative
klimavirus;virus;negative;negative;0.0;0.0;negative
klimawahn;wahn;positive;negative;0.0;0.07777777777777778;negative
klimawahnsinn;wahnsinn;positive;negative;0.0;0.0;negative
klimawandler;wandler;positive;negative;0.0;0.0;neutral
klimawarner;warner;negative;negative;0.0;0.0;negative
klimaweltuntergang;weltuntergang;positive;positive;0.0;0.0;negative
klimawendehals;wendehals;negative;negative;0.0;0.0;neutral
klimawirklichkeit;wirklichkeit;neutral;neutral;0.0;0.0;neutral
klimazar;zar;negative;positive;0.0;0.0;neutral
klimazerrüttung;zerrüttung;negative;negative;0.0;0.0;negative
klimazerstörer;zerstörer;negative;positive;0.0;0.0;negative
klimazerstörung;zerstörung;negative;negative;0.0;-0.05555555555555555;negative
klimazeugs;zeugs;negative;negative;0.0;0.0;neutral
klimazipfel;zipfel;positive;negative;0.0;0.029411764705882353;neutral
klimazirkus;zirkus;positive;negative;0.0;0.0;neutral
klimazunft;zunft;negative;negative;0.0;0.0;neutral
klimazwang;zwang;negative;negative;-1.0;25;negative
