,pattern,keyword,concept,origin
87,klimaaktivist,"Liebe Klimaaktivistinnen und Aktivisten , wenn es um Lebensgrundlagen geht , müssen weltweit alle Staaten dafür sorgen damit lebensfreundliche Energiegewinnungssysteme , neue ökologisch wertvolle Häuser und auch Transportsysteme entwickelt werden .",person,P2022
77,klimaaktivist,"Mehr Infos sind auf dieser Webseite zu finden : http : / / www.youthtopia.world Neuigkeiten zum Projekt : Liebe FFFKämpfer , liebe Klimaaktivisten !",person,P2022
92,klimaaktivist,"Jeder sollte sich zudem mit Klimaaktivist * innen solidarisieren , denn sie trifft die rechte Hetze ganz besonders stark .",person,P2022
76,klimaaktivist,"Gretas Geburtstag Am dies wöchigen Freitag , der erste Freitag des Jahres , ist Greta Thunberg , die schwedische Klimaaktivistin , Jahre alt geworden .",person,P2022
74,klimaaktivist,"Auch das neue Klimaschutzgesetz des Landes NordrheinWestfahlen , welches parallel zum WindräderMindestabstandsGesetz beschlossen wurde , sorgt für Empörung bei den Oppositionsparteien und Klimaaktivist * innen .",person,P2022
43,klimaaktivist,"Vanessa Nakate , Klimaaktivistin in Uganda berichtet , schon vor Corona sei es schwierig gewesen große Klimastreiks zu organisieren , da sie oft keine Erlaubnis für größere Streiks erhalte habe und streikenden Schüler * innen der Ausschluss aus der Schule drohte .",person,P2022
68,klimaaktivist,"Das auszumalen spare ich mir , FFF und andere Klimaaktivisten werden das schon studiert haben .",person,P2022
38,klimaaktivist,"Uhr ungefähr Klimaaktivist * innen versammelt , um sich zu vernetzen , Neues zu lernen und sich nun auch endlich mal im echten Leben zu treffen .",person,P2022
84,klimaaktivist,"👎🏻 Anfeindungen gegen Klimaaktivist * innen von Trump Beim WeltWirtschaftsgipfel sprach neben Greta Thunberg auch Trump , der USamerikanische Präsident , der den ( menschengemachten ) Klimawandel leugnet .",person,P2022
45,klimaaktivist,"Klimagerechtigkeit bedeutet den Betroffenen zuzuhören Es ist Zeit , die Länder des globalen Südens und die Klimaaktivist * innen aus dem globalen Süden endlich ernstzunehmen und auf ihre Forderungen einzugehen .",person,P2022
28,klimaaktivist,Mojib Latif und die deutsche KlimaAktivistin Luisa Neubauer eine Rede .,person,P2022
85,klimaaktivist,"Jedoch nur , indem er die angereisten Klimaaktivist * innen als Apokalyptiker * innen bezeichnete .",person,P2022
6,klimaaktivist,Am werden wir wieder gemeinsam mit Klimaaktivist * innen rund um die Welt für Klimaschutz streiken .,person,P2022
75,klimaaktivist,"Dadurch dürften sich vermutlich vor allem Klimaaktivist * innen angegriffen fühlen , da diese sich in den vergangenen Jahren immer wieder auf naturwissenschaftliche Erkenntnisse stützten , um die Klimadebatte voranzutreiben .",person,P2022
63,klimaaktivist,"Drei Wochen ist es nun her , dass sich vom . - zahlreiche Klimaaktivist * innen zum „ Summer Meeting In Lausanne Europe "" ( kurz : SMILE ) getroffen haben .",person,P2022
79,klimaaktivist,"- internationaler , zentraler Streik von Fridays for Future Bereits am vergangenen Donnerstag , , reisen tausende Klimaaktivist * innen in Bussen und ( Sonder- ) zügen zu ihrem Ziel an .",person,P2022
60,klimaaktivist,"Auch das klimarelevante Thema „ Verkehr "" war für % der Befragten von größter Bedeutung.Noch zwei Tage vor der Wahl gingen über Klimaaktivist * innen für mehr Klimaschutz auf die Straßen , darunter auch Greta Thunberg .",person,P2022
31,klimaaktivist,Ich heiße Evelyn Chantelle und ich bin eine Klimaaktivistin aus Uganda .,person,P2022
11,klimaaktivist,"Nach dem Gespräch werden die Klimaaktivistinnen am Mittwoch um Uhr MEZ eine OnlinePressekonferenz abhalten , um über die GAPReform und das Treffen mit Herrn Timmermans zu sprechen .",person,P2022
23,klimaaktivist,"Klimaaktivistin und Taifun Überlebende Marinel Ubaldo , die auf mehreren Klimakonferenzen gesprochen hat , sagte einmal , ihr komme es vor , als werde sie als Klimaaktivistin von den Philippinen nur eingeladen , um eine traurige Geschichte eines „ Opfers der Klimakrise "" zu hören - ernst genommen fühle sie sich nicht .",person,P2022
3,klimaaktivist,"And what is the point of learning facts when the most important facts clearly means nothing to our society ? - Greta Thunberg , eine 16jährige KlimaAktivistin im Streik .",person,P2022
86,klimaaktivist,Jahr Kohlekommision - Jahr Stillstand Vor einem Jahr standen sämtliche Klimaaktivist * innen vor dem Wirtschaftsministerium und haben zur Kohlekommission gestreikt und damit einen früheren und sozialverträglichen Kohleausstieg gefordert .,person,P2022
61,klimaaktivist,"Seit dem heutigen Dienstag , dem , werden Klimaaktivist * innen im hessischen Dannenröder Wald polizeilich geräumt , die gegen die Rodung des gesunden Mischwaldes und den Bau der Autobahn A49 protestieren .",person,P2022
10,klimaaktivist,"Die Klimaaktivistinnen Adélaïde Charlier ( Belgien ) , Anuna De Wever ( Belgien ) , Luisa Neubauer ( Deutschland ) und Greta Thunberg ( Schweden ) werden am Mittwoch , .",person,P2022
91,klimaaktivist,Auffällig in der Rechten - insbesondere der AfD - ist auch die Hetze gegen junge Klimaaktivist * innen .,person,P2022
64,klimaaktivist,"Klimaaktivistinnen und Aktivisten , die das Klimaschutzgesetz der Bundesregierung seit seinem Beschluss kritisieren , feiern die Entscheidung als Sieg für mehr Klimaschutz .",person,P2022
16,klimaaktivist,"Liebe FFFKämpfer , liebe Klimaaktivisten !",person,P2022
29,klimaaktivist,Pressemitteilung lesen Presseartikel Südwestpresse - Erste Menschenkette von Ulm nach NeuUlm für den Klimaschutz Am Freitag haben die KlimaAktivisten von Fridays for Future eine Menschenkette von Ulm nach NeuUlm organisiert .,person,P2022
39,klimaaktivist,"Wie kommst du auf die Idee , die Klimaaktivisten von FfF wüßten das alles nicht ?",person,P2022
37,klimaaktivist,"Wir alle sind diejenigen , die Veränderung bewirken , gemeinsam mit Klimaaktivist * innen rund um die Welt .",person,P2022
51,klimaaktivist,"Des weiteren : G.OTT vor Gericht , angeklagt als Klimaaktivist , mit Friedrich Merz als Staatsanwalt !",person,P2022
67,klimaaktivist,"Ich hoffe , das Jahr , FFF und die vielen anderen Klimaaktivisten bringen nun die Wende !",person,P2022
30,klimaaktivist,"Kommentare zu „ Woche / - Bundestag umzingelt , Solidarität mit französischen Klimaaktivist * innen und Diskussion mit Bundestagsfraktionen "" Liebe Aktivistinnen und Aktivisten , ich kann Euch nur bestärken in Eurem Thema und lasst Euch nicht mit Arbeitsplatzverlusten entmutigen .",person,P2022
7,klimaaktivist,"Unter ihnen auch die 24jährige Klimaaktivistin Vanessa Nakate , die in Uganda trotz großer Widerstände , wie Strafen für protestierende Studierende , die Fridays for FutureBewegung organisiert .",person,P2022
89,klimaaktivist,"Zuvor hatten KlimaAktivist * innen in der Schweiz in einer nichtautorisierten BanksyAusstellung die BanksyKopie aus Protest gegen die schweizerische Bank USB aufgehangen , die ebenso wie die Commerzbank weiterhin fossilen Energien finanziert .",person,P2022
17,klimaaktivist,"April - : Uhr Correctiv Klimaredaktion - : Uhr Anselm Schindler , Make Rojava Green Again & Lina , Defend Rojava Komitee & Beriwan , Klimaaktivistin bei FFF RojavaRevolution und Internationalismus - : Uhr Verena Bax , NABU & Gerald Kaendler , Amprion Das Übertragungsnetz in Deutschland und Europa - aktueller Stand und Zukunft Freitag , .",person,P2022
36,klimaaktivist,"Egal ob jung oder alt , klein oder groß , berufstätig , noch in der Ausbildung , arbeitslos oder in Rente , ob Veganer * in oder Fleischesser * in , bereits überzeugte * r Klimaaktivist * in oder zum ersten Mal auf einer Demo dabei - wir alle sind gefragt .",person,P2022
35,klimaaktivist,✊🏻 Proteste gegen Datteln IV bei finnischem Staatsbesuch Während des Besuchs der finnischen Minsiterpräsidentin Sanna Marin in Berlin haben Klimaaktivist * innen gegen DattelnIV protestiert .,person,P2022
52,klimaaktivist,"Liebe Grüße Ludwig Hallo liebe Klimaaktivisten , Zu den medialen Tricks , die Klimawende zu verhindern Beliebte FakeNews , oder Verdrehungen , Nebelbomben in den ( ÖR- ) Medien : Oben wurde von Euch ja erwähnt , dass nach einer Studie in Deutschland der Ausstoß von CO deutlich zurückgegangen sei . ( die -35 % beziehen sich i.ü . auf die gesamten THG , nicht nur auf den Stromsektor .",person,P2022
14,klimaaktivist,"Nicht zuletzt müssen wir auch uns selbst ermutigen , nicht nur so weiterzumachen , sondern auch zu versuchen , es zu einer coolen und aufregenden Sache zu machen , Klimaaktivist * in zu sein !",person,P2022
111,klimaaktivistin,Greta Thunberg nimmt an Bildungsstreik in Antwerpen teil Gemeinsam mit tausenden Schüler * innen und der belgischen Klimaaktivistin Anuna De Wever streikt Greta Thunberg in Antwerpen ( Belgien ) .,person,P2022
99,klimaaktivistin,"Nach dem Gespräch werden die Klimaaktivistinnen am Mittwoch um Uhr MEZ eine OnlinePressekonferenz abhalten , um über die GAPReform und das Treffen mit Herrn Timmermans zu sprechen .",person,P2022
98,klimaaktivistin,"Die Klimaaktivistinnen Adélaïde Charlier ( Belgien ) , Anuna De Wever ( Belgien ) , Luisa Neubauer ( Deutschland ) und Greta Thunberg ( Schweden ) werden am Mittwoch , .",person,P2022
107,klimaaktivistin,"Nachdem Howey Ou , Jahre und Klimaaktivistin seit Monaten alleine für Klimagerechtigkeit protestiert hat und dafür enormen Repressionen durch die Polizei ausgesetzt war und sogar aus der Schule geworfen wurde , schließen sich ihr nun Schüler * innen in ganz China an und schweigen für einen Tag .",person,P2022
105,klimaaktivistin,Mojib Latif und die deutsche KlimaAktivistin Luisa Neubauer eine Rede .,person,P2022
114,klimaaktivistin,"Obwohl viele von uns nicht zu Ihrem Gipfel eingeladen waren , werden wir dafür sorgen , dass Sie uns trotzdem hören "" , so Mitzi Jonelle Tan , KlimaAktivistin von den Philippinen .",person,P2022
95,klimaaktivistin,Vorbild für unsere Aktion ist die KlimaAktivistin Greta Thunberg .,person,P2022
106,klimaaktivistin,Ich heiße Evelyn Chantelle und ich bin eine Klimaaktivistin aus Uganda .,person,P2022
115,klimaaktivistin,"Liebe Klimaaktivistinnen und Aktivisten , wenn es um Lebensgrundlagen geht , müssen weltweit alle Staaten dafür sorgen damit lebensfreundliche Energiegewinnungssysteme , neue ökologisch wertvolle Häuser und auch Transportsysteme entwickelt werden .",person,P2022
112,klimaaktivistin,"Gretas Geburtstag Am dies wöchigen Freitag , der erste Freitag des Jahres , ist Greta Thunberg , die schwedische Klimaaktivistin , Jahre alt geworden .",person,P2022
110,klimaaktivistin,"Klimaaktivistinnen und Aktivisten , die das Klimaschutzgesetz der Bundesregierung seit seinem Beschluss kritisieren , feiern die Entscheidung als Sieg für mehr Klimaschutz .",person,P2022
97,klimaaktivistin,"Die bekannte Klimaaktivistin Vanessa Nakate aus Uganda wandte sich nach dem Wahlsieg in einem eindringlichen Brief an die zukünftige BidenRegierung : „ Der Klimawandel betrifft so viele Leben von Menschen in meinem Land , ganz besonders von Kindern , Mädchen und Frauen . "" , schrieb sie .",person,P2022
108,klimaaktivistin,"So berichtet zum Beispiel Mitzi Jonelle Tan , Klimaaktivistin von den Philippinen : „ Eine lebendige und konstante Erinnerung aus meiner Kindheit sind Tage des Abendessen bei Kerzenschein , weil wir aufgrund von Taifunen keinen Strom hatten .",person,P2022
103,klimaaktivistin,"KlimaAktivistin Howey im Hungerstreik Nachdem sie mit anderen Klima- und Umweltaktivist:innen im MormontGebirge in der Schweiz gegen die Zerstörung der Biodiversität und Wälder der Berge durch den multinationalen Konzern Holcim protestiert hatte , wurde die chinesische KlimaAktivistin Howey Ou festgenommen und angeklagt .",person,P2022
109,klimaaktivistin,"Vanessa Nakate , Klimaaktivistin in Uganda berichtet , schon vor Corona sei es schwierig gewesen große Klimastreiks zu organisieren , da sie oft keine Erlaubnis für größere Streiks erhalte habe und streikenden Schüler * innen der Ausschluss aus der Schule drohte .",person,P2022
101,klimaaktivistin,"Die Erfahrung , eine Klimaaktivistin zu sein , gibt mir eine andere Denkweise als die der Menschen um mich herum , ich kann mich nicht einfach zu anderen Menschen gesellen , ich fühle mich irgendwie isoliert .",person,P2022
104,klimaaktivistin,"Klimaaktivistin und Taifun Überlebende Marinel Ubaldo , die auf mehreren Klimakonferenzen gesprochen hat , sagte einmal , ihr komme es vor , als werde sie als Klimaaktivistin von den Philippinen nur eingeladen , um eine traurige Geschichte eines „ Opfers der Klimakrise "" zu hören - ernst genommen fühle sie sich nicht .",person,P2022
96,klimaaktivistin,"Unter ihnen auch die 24jährige Klimaaktivistin Vanessa Nakate , die in Uganda trotz großer Widerstände , wie Strafen für protestierende Studierende , die Fridays for FutureBewegung organisiert .",person,P2022
244,klimafreund,"Doch es gibt eine weitere natürliche Klimafreundin , über die kaum einer spricht : die Hecke .",person,P2022
182,klimafreund,"Mainz : In Mainz wird an einem Verfahren gearbeitet , welches Beschlüsse in Zukunft auf die Klimafreundlichkeit prüfen soll .",person,P2022
229,klimafreund,Nicht zuletzt deswegen wird ihm die Klimafreundlichkeit in seinem Wahlkampf als Lüge vorgeworfen .,person,P2022
227,klimafreund,"Hallo liebe Klimafreunde , bin ebenso ein junger Klimafreund , möchte nur ein paar Anmerkungen zu eurer Zusammenfassung zur GradStudie machen … Ihr schreibt : „ Im Sektor der Energiewirtschaft fand das Institut unter anderem heraus , dass erneuerbare Energien und explizit die Wind- und Solarenergie in den kommenden Jahren stark ausgebaut werden müssen .",person,P2022
254,klimafreundin,"Doch es gibt eine weitere natürliche Klimafreundin , über die kaum einer spricht : die Hecke .",person,P2022
261,klimagefahr,Einzelne Ländervertreter versuchten die Klimagefahren für die Bundesrepublik zu verharmlosen .,person,P2022
260,klimagefahr,"Plötzliche Vertreibung aus dem Nichts Plötzlich oder unerwartet auftretende KlimaGefahren wie Erdbeben , Hurrikans oder Vulkanausbrüchen führen zu kurzfristigen Vertreibungen .",person,P2022
604,klimahysteriker,""" Nicht verwunderlich dass daher auch gerade die entsprechende Presse ( BILD etc . ) sich an der Kürung dieses Unwortes reibt und eine Diffamierung der Bürger sieht , „ die sich an den radikalen Auswüchsen der KlimaschutzBewegung stören "" Gemäß einem Kommentar in der „ Zeit "" , sind die wahren „ Klimahysteriker "" die Klimaleugner , deren „ Scheinrealität , in der nicht zuletzt die Gesetze der Physik pseudowissenschaftlich neu definiert werden "" zur „ Weigerung manch älterer Männer [ führt ] die Realitäten des Klimawandels anzuerkennen "" Leider sitzen solchermaßen ideologisierende Herren , wie das Kinderliedchen mit der Oma zeigt , auch ganz ganz oben im WDR ( oder der „ Welt "" ) , und unser Fallbeispiel offenbart doch auch ganz klar , wer wirklich die „ Hysteriker "" und irrational Empörten sind . . , jedenfalls nicht die Klimabewegung und nicht FFF !",person,P2022
605,klimajünger,"Expertenrunden und aggressiver werdende Hetze ( „ Mythen der Klimajünger "" ) platzieren den INSMStandpunkt ( „ Augenmaß "" beim Klimaschutz zum Schutz der betroffenen Industrie ) als alleinige Wahrheit .",person,P2022
608,klimakanzler,"Nach über Jahren Kanzlerschaft tritt Angela Merkel , die in Wahrheit nie eine Klimakanzlerin gewesen ist , nicht mehr zu Wahl an .",person,P2022
609,klimakanzler,Mühlhaus ' Woche Klimakanzlerin a .,person,P2022
613,klimakanzler,"Die beschönigte Rede der ehemaligen „ Klimakanzlerin "" ist angesichts der vorangegangenen Entscheidungen und Taten wenig Wert .",person,P2022
615,klimakanzler,"Die Bundesregierung hat in all diesen Punkten versagt , obwohl sie seit fast Jahren doch angeblich von einer "" Klimakanzlerin "" geführt wird .",person,P2022
611,klimakanzler,"Ein Wahlkampf wo dies Thema faktisch unbedeutend war , und Merkel , die medial auserkorende „ Klimakanzlerin "" ( was ein Etikettenschwindel !",person,P2022
610,klimakanzler,"Vor etwa Jahren warnte unsere damalige Klimakanzlerin Merkel beim Petersberger Klimadialog vor schwersten verheerenden Nebenwirkungen für Menschen und Ökosysteme , sollte die Erderwärmung nicht begrenzt werden .",person,P2022
607,klimakanzler,"Ihr alle seid oder werdet auch Wähler , informiert Euch über die Programme der Parteien und trefft eine kompetente Wahl , spätestens geht Merkel , vielleicht kann man ja eine ( n ) echte ( n ) Klimakanzler ( in ) wählen .",person,P2022
616,klimakanzler,"Bald danach stellt die „ Klimakanzlerin "" Angela Merkel das Klimapaket ihrer Kommission als großen Erfolg dar und erklärt scheinheilig : „ Wir alle haben den Weckruf der Jugend gehört "" Kommentare zu „ Woche / - How dare you ?",person,P2022
624,klimakanzlerin,"Antje , Jahre , Kinder Merkel schlimmer als Trump : Titel finde ich nicht so toll , aber zur Verweigerungshaltung der „ Klimakanzlerin "" habe ich in der Frankfurter Rundschau vom ein aufschlussreiches Interview mit Michael Müller gelesen .",person,P2022
620,klimakanzlerin,"Vor etwa Jahren warnte unsere damalige Klimakanzlerin Merkel beim Petersberger Klimadialog vor schwersten verheerenden Nebenwirkungen für Menschen und Ökosysteme , sollte die Erderwärmung nicht begrenzt werden .",person,P2022
621,klimakanzlerin,"Ein Wahlkampf wo dies Thema faktisch unbedeutend war , und Merkel , die medial auserkorende „ Klimakanzlerin "" ( was ein Etikettenschwindel !",person,P2022
618,klimakanzlerin,"Nach über Jahren Kanzlerschaft tritt Angela Merkel , die in Wahrheit nie eine Klimakanzlerin gewesen ist , nicht mehr zu Wahl an .",person,P2022
619,klimakanzlerin,Mühlhaus ' Woche Klimakanzlerin a .,person,P2022
626,klimakanzlerin,"Bald danach stellt die „ Klimakanzlerin "" Angela Merkel das Klimapaket ihrer Kommission als großen Erfolg dar und erklärt scheinheilig : „ Wir alle haben den Weckruf der Jugend gehört "" Kommentare zu „ Woche / - How dare you ?",person,P2022
623,klimakanzlerin,"Die beschönigte Rede der ehemaligen „ Klimakanzlerin "" ist angesichts der vorangegangenen Entscheidungen und Taten wenig Wert .",person,P2022
628,klimakommissar,"Gespräche mit Timmermans zur GAP In den letzten beiden Wochen gab es Tweetstorms , jede Menge Input auf Social Media und Gespräche - Anuna De Wever , Adélaïde Charlier , Greta Thunberg und Luisa Neubauer haben sich am mit Klimakommissar Frans Timmermans getroffen , um mit ihm über unsere Forderung , die GAP zu kippen , zu reden .",person,P2022
643,klimaleugner,"UndercoverRecherche zeigt Werbe- und Medienstrategien von Klimaleugner * innen Eine UndercoverRecherche der InvestigativPlattform Correctiv zeigt , wie Klimaleugner * innen versuchen Einfluss auf die Öffentlichkeit und auf Politiker * innen zu nehmen .",person,P2022
642,klimaleugner,"Wir denken , die Großdemos sollten zukünftig auch ab und zu am Wochenende stattfinden , denn : * viele Berufstätige werden bestimmt durch die normalen Arbeitszeiten von der Teilnahme abgehalten * wichtig ist gerade auch eine große Masse an Demonstrierenden , nicht nur der zivile Ungehorsam einiger * Samstags sind mehr Leute in der Stadt unterwegs , was die Wirkung erhöht * manche Schüler trauen sich nicht zu schwänzen * den Klimaleugnern würde so eine geschenkte Kritik genommen , dass es „ F4F nur um schulfrei ginge "" Was denkt Ihr darüber ?",person,P2022
655,klimaleugner,"Eine letztlich Frauenfeindliche Ideologie , die heute in ihrem gegenaufklärerischen Charakter „ gut "" zu den Bestrebungen der Klimaleugner passt , die notwendigen Klimaschutzmaßnahmen zu blockieren .",person,P2022
677,klimaleugner,"Dahinter steckt das wahltaktische Kalkül extrem rechter Kräfte , Klimaleugner * innen und Zweifler * innen an der Energiewende ein Angebot zu machen , genauso wie für Tätige im fossilen Energiesektor oder auch einfach nur Menschen in strukturschwachen Gebieten .",person,P2022
661,klimaleugner,"Vielmehr handelt es sich um ein Sammelbecken von Klimaleugner * innen , die aktiv gegen Klimaschutzmaßnahmen , Klimatolog * innen und Politiker * innen vorgehen und teils populistische , teils verschwörungstheoretische Ansichten vertreten .",person,P2022
644,klimaleugner,"Durch ihre Recherche konnten sie Verbindungen zu dem LobbyVerband ‚ Heartland ' in den USA aufdecken , der auch Klimaleugner * innen in Europa finanziell unterstützt und FalschNachrichten über die angeblich nichtexistente Klimakrise verbreitet .",person,P2022
653,klimaleugner,"Also Klimaleugner wenden sich gegen eine Satire , die letztlich die Klimabewegung als „ Klimahysterie "" anprangert , dies deshalb , weil es diese verbohrten Ideologen von rechtsaußen intellektuell nicht verstanden haben , und einen Sündenbock , bzw . einen Aufhänger im Kampf gegen die „ Lügenpresse "" gesucht und gefunden haben .",person,P2022
647,klimaleugner,"Das werden wir nicht zulassen und rufen ganz Europa dazu auf mit uns auf die Straße zu gehen , damit Klimaleugner * innen , Bremser und die „ Ja , aber "" -Fraktionen aus den Parlamenten rausgewählt werden .",person,P2022
675,klimaleugner,"Als Esoteriker spottet er über Esoteriker * innen und als Klimaleugner behauptet er , keiner zu sein .",person,P2022
662,klimaleugner,"Dennoch gibt es Menschen , die sich wissenschaftlicher Erkenntnis verweigern : sogenannte Klimaleugner * innen .",person,P2022
650,klimaleugner,"Wenn Sie nach ihrer eigenen Angabe den Klimaleugnern nicht glauben , aber möglicherweise auch nicht daran , dass der aktuelle Klimawandel von uns selber verursacht wird und auch gestoppt werden kann , an wen oder was glauben Sie denn dann ?",person,P2022
654,klimaleugner,"Ich sehe da ein Muster einer einseitigen Berichterstattung , ganz im Sinne der Klimaleugner , oder wie im Fall Köhlers der Autoindustrie , denn eine Form des Leugnens der wissenschaftlichen Fakten zur bevorstehenden Klimakatastrophe besteht darin , diese Tatsachen ins lächerliche zu ziehen , in seiner Bedeutung herunter zuspielen , oder auch diese Bedrohungsszenarien als „ hysterisch "" zu bezeichnen ( wobei die Wurzel dieses Wortes , auch bei Freud , schon einen diskriminierenden Charakter hatte : Gegen Frauen ) Mir ist zB . nicht bekannt , dass die mE berechtigte Empörungs "" welle "" gegen Dieter Nuhr ( Satire , ARD , NDR ) wegen regelmäßiger Tiefschläge gegen Greta und FFF zu irgendwelchen Konsequenzen , oder gar einer Absetzung seiner Show geführt hätte .",person,P2022
674,klimaleugner,Klimaleugner * innen glauben den Aussagen des Weltklimarats nicht .,person,P2022
665,klimaleugner,Die Gruppe der Klimaleugner * innen ist keinesfalls einheitlich .,person,P2022
670,klimaleugner,Für das Gespräch mit Klimaleugner * innen bietet sich dasselbe Vorgehen an : wenige Fakten ausführlich erklären .,person,P2022
645,klimaleugner,"In den Gesprächen mit einem ChefStrategen von Heartland können die Journalist * innen von Verbindungen von sowohl EIKE als auch Heartland zu der AfD , von intransparenten Geldströmen und gezielten Strategien der Meinungsmache und Falschinformationen erfahren , mit denen die Klimaleugner * innen die öffentliche Debatte und politische Entscheidungen beeinflussen wollen .",person,P2022
671,klimaleugner,Ein Gespräch mit Klimaleugner * innen ist sinnvoll und kann dabei ganz schön anstrengend sein .,person,P2022
669,klimaleugner,"So hat der ehemalige RWEVorstand Fritz Vahrenholt eines der StandardBücher ( „ Die kalte Sonne "" ) der Klimaleugner * innenSzene verfasst .",person,P2022
673,klimaleugner,Es gibt auffällig viele Klimaleugner * innen sowohl in der gemäßigten als auch in der extremen Rechten .,person,P2022
667,klimaleugner,Für Klimaleugner * innen im Wortsinn ist die Existenz der menschengemachten Klimakrise nichts als eine Lüge .,person,P2022
641,klimaleugner,"Die SPD könnte auch nur in einer linken Regierung , also GRR , wirklich pro Klima aktiv werden , die neoliberale FDP ist nicht weit von den völligen Klimaleugnern der AfD entfernt , auch in anderen Fragen des Humanismus . .",person,P2022
666,klimaleugner,"Um im Alltag einzelnen Klimaleugner * innen argumentativ zu begegnen , ist es sinnvoll , sich mit den verschiedenen Ausprägungen der Klimaleugnung auseinanderzusetzen .",person,P2022
659,klimaleugner,"Mit Webinaren rund um den Klimawandel treten wir Klimaleugner * innen und fehlender Klimabildung in den Schulen entgegen und organisieren uns eigene , faktenbasierte , informierte KlimaGesellschaftsKrisenBildung .",person,P2022
