;concept;origin;pattern;keyword;annotation
65;person;C2022;klimaaktivist;Shellenberger weist auf die enormen finanziellen Mittel der Klimaaktivisten hin : Die beiden größten grünen Gruppen , der national Resources Defense Council und der environmental Defense Fund , verfügen zusammen über ein Jahresbudget von Millionen Dollar und stellen damit das Budget der beiden größten Skeptikergruppen - des Competitive Enterprise Institute und des Heartland Institute - in den Schatten , die beide zusammen nur etwa Millionen Dollar Etat hätten.Er beschuldigt in seinem Buch » Apocalypse Never - Warum Umweltalarm uns alle schadet « Klimaaktivisten , die Öffentlichkeit in die Irre zu führen , und erklärt ausdrücklich , dass politische Lösungen wie die » grüne Energie « die Sache noch schlimmer machen .;External
41;person;C2022;klimaaktivist;"„ Klimaaktivist "" die Wahrheit über unser „ normales "" Wetter in und damit die Wahrheit , dass dies so rein gar nichts mit einem menschengemachten Klimawandel zu tun hat , nicht gefällt .";External
23;person;C2022;klimaaktivist;Sie wissen doch ganz genau , dass die Einnahmen aus einer CO2Steuer nicht an die KlimaAktivisten gehen .;External
75;person;C2022;klimaaktivist;"Eines der ersten Beispiele dieser Art von „ Adjustierungen "" wurde im Jahre aufgedeckt , und zwar durch den Statistiker Steve McIntyre , als dieser eine Studie aus dem Jahr von James Hansen entdeckt hatte , also von dem Wissenschaftler , der viele Jahre lang das GISS geleitet hatte ( und der später zu einem fanatischen Klimaaktivist geworden ist ) .";External
5;person;C2022;klimaaktivist;"Korrupte Klima "" wissenschaftler "" , verlogene Politiker , hirngewaschene Trottel ( innen ) … Diskussion nutzlos Sie ist sogar notwendig , und zwar aus der Sicht der Klimaaktivist * Innen .";External
53;person;C2022;klimaaktivist;Klimaaktivist * innen und Antifaschist * innen zogen wir vor die Wappenhalle in der Messestadt West um ein paar Grußworte zu überbringen .;External
59;person;C2022;klimaaktivist;"Mit schlecht angewandter Statistik lässt sich aber das Gegenteil „ zeigen "" ( Teil ) [ ] EIKE : Munich Re Presseinfo : Natur fordert mehr Opfer - Naturkatastrophen wie Erdbeben , Überschwemmungen und Hitzewellen haben deutlich mehr Menschenleben gekostet als im Vorjahr [ ] EIKE : Der Krieg des Klimas gegen die Menschheit Über den weltweit bekanntesten Klimaaktivisten Bill McKibben [ ] Zeit Online .";External
48;person;C2022;klimaaktivist;„ Hallo ihr PolitikerKumpel , Profiteure von grüner Energie , machthungrigen UNBürokraten und ahnungslosen KlimaAktivisten , Greenpeace hat einen Platz für euch !;External
44;person;C2022;klimaaktivist;Es war McIntyre , der im Jahre die gesamten nachträglichen Adjustierungen der USTemperaturen zwischen und enthüllt hatte , die vom GISS ( damals geleitet vom ausgesprochenen Klimaaktivisten James Hansen ) zusammengestellt worden waren .;External
56;person;C2022;klimaaktivist;Das wird den meisten der Leser * Innen hier bekannt sein , nur nicht den Klimaaktivist * Innen .;External
26;person;C2022;klimaaktivist;Zu dieser Zeit verwandelten sich Umweltschützer in Klimaaktivisten , da die Behauptungen des IPCC ihre Ideologie nützlicherweise unterstützten . leitete Strong den UNWeltgipfel in Rio de Janeiro .;External
10;person;C2022;klimaaktivist;Klimaaktivisten arbeiten hinter den Kulissen unermüdlich daran , diese Weltsicht zur Realität von Jedermann zu machen .;External
19;person;C2022;klimaaktivist;Zweitens setzen die Forderungen der KlimaAktivisten sich nicht wegen der besseren Argumente durch , sondern weil sie öffentlich mehr Druck ausüben .;External
2;person;C2022;klimaaktivist;"Das ist nichts , was "" Klimaaktivisten "" zur Kenntnis nehmen , nichts , was angebliche "" Wissenschaftsjournalisten "" aufarbeiten , nicht einmal etwas , was FachZeitschriften der Physik drucken wollen , nicht weil es keine Physik wäre , nein , an der Methode und der Durchführung gibt es nichts auszusetzen , aber am Ergebnis .";External
81;person;C2022;klimaaktivist;Die Daten von Gallup vom März zeigen das Ergebnis der 30jährigen Bombardierung durch reich finanzierte Propaganda von Klimaaktivisten in Amerika .;External
60;person;C2022;klimaaktivist;Gleichzeitig bestehen sie darauf , dass hungernde und unter Energiemangel leidende Familien ihren Lebensstandard danach ausrichten , was ihnen von Klimaaktivisten mit Unterstützung durch Wind , Solar und Biotreibstoffe diktiert wird .;External
9;person;C2022;klimaaktivist;Wenn es jedoch nach den Klimaaktivisten geht , werden alle anderen Optionen ausgeschlossen .;External
82;person;C2022;klimaaktivist;") Nachfolgend , auch als Startpunkt für jedermanns eigene weitere Befassung mit dem Thema , kritische Hinweise zu den zentralen zehn Punkten der KlimaAktivisten : - ( „ Global warming "" als „ unnatürliche "" Entwicklung ) .";External
62;person;C2022;klimaaktivist;Daß die KlimaAktivisten keine Angst vor dem angeblich sicheren Weltuntergang haben , zeigt sich klar an ihrem Verhalten .;External
15;person;C2022;klimaaktivist;Das wissen viele der KlimaAktivisten selbst nicht , wenn sie darauf angesprochen werden .;External
24;person;C2022;klimaaktivist;Eines lässt sich aber recht schnell feststellen : Dass die aktuell gemeldete Temperatur von C die höchste wäre , ist eine reine - durch überhaupt nichts begründbare - Vermutung von Klimaaktivisten und Klimaretter.Info Einvernehmlich und von der WMO anerkannt gilt das Jahr mit C als die heißeste mit einer Station gemessene Temperatur .;External
34;person;C2022;klimaaktivist;Viele Klimaaktivisten scheinen sich primär auf emotionale Gewissheit zu stützen .;External
32;person;C2022;klimaaktivist;Klimaaktivisten sind keine schlechten Menschen .;External
57;person;C2022;klimaaktivist;Unter Klimaaktivisten hat es Methode , einfach Behauptungen in den Raum zu stellen … weil sie wissen , dass solche von den Medien gerne und mit Eifer publiziert werden .;External
51;person;C2022;klimaaktivist;Diese Anwürfe werden beispielsweise in einem Papier der bekannten Klimaaktivisten John Cook und Naomi Oreskes erhoben , wobei man pikanterweise gleich zu Anfang den Vorwurf erhebt , Exxon Mobil habe schon vor mehr als Jahren genau über die angeblich bevorstehende Klimakatastrophe Bescheid gewusst .;External
43;person;C2022;klimaaktivist;] Er sagte , Trump inspirierte und motivierte tatsächlich mehr Klimaaktivisten .;External
64;person;C2022;klimaaktivist;Ich bin seit Jahren ein Klimaaktivist und seit Jahren ein Umweltschützer .;External
25;person;C2022;klimaaktivist;"Es ist deshalb vollkommen unverständlich , wie Klimaretter.Info auf die Idee kommt , alleine weil jemand „ davon spricht "" und ein Klimaaktivist twittert , diese Messung vom Juli als Temperaturrekord zu melden .";External
6;person;C2022;klimaaktivist;Das ist ein Problem für KlimaAktivisten .;External
76;person;C2022;klimaaktivist;Harald Lesch als lupenreinen Klimaaktivisten und Propagandisten zeigt .;External
16;person;C2022;klimaaktivist;Das halten KlimaAktivisten für viel und sehen darin eine Bedrohung .;External
31;person;C2022;klimaaktivist;KlimaAktivisten verhalten sich wie Tyrannen .;External
34;person;P2022;klimaaktivist;Globale Blockaden von XR Eine Woche voller Proteste haben die Klimaaktivist * innen von Extinction Rebellion angekündigt .;Self
5;person;P2022;klimaaktivist;Doch das lassen Anwohner * innen und Klimaaktivist * innen nicht zu .;Self
45;person;P2022;klimaaktivist;"Schön wären massenweise öffentliche Bekundungen herausragender Persönlichkeiten und Gruppen , in Zukunft gänzlich auf den Flugverkehr zu verzichten . … ein großes Lob an den Frankfurter OB , daß er - trotz Ausladung der Automobilindustrue - seine Meinung im Nezterk darstellte - hier bei uns in Köln ist unsere liebe Henriette Reker , unsere OB , auch eine Befürworterin für den ( den größten Klimastreik ) , daß die städtischen Arbeitgeber , ihren Mitarbeiter / innen problemlos an diesem Freitag beurlauben , bzw . , Überstunden abbauen lassen … das ist vorbildlich … … das bewies unsere OB auch , als die Klimaaktivisten in Köln vor dem Rathaus ihre Zelte aufschlugen , indem sie sie unterstützte ; es ghet ja bald weiter … Leute , redet mit allen , die ihr trefft , über den wichtigen Tag unseres Klimastreiks : Friday for Future ; ich unterstütze unsere Jugend und mehr , wie ich kann … Liebes Team von Fridays for Future , ich finde Euren Einsatz einfach klasse und werde natürlich am .";Self
35;person;P2022;klimaaktivist;"Drei Wochen ist es nun her , dass sich vom . - zahlreiche Klimaaktivist * innen zum „ Summer Meeting In Lausanne Europe "" ( kurz : SMILE ) getroffen haben .";Self
33;person;P2022;klimaaktivist;Seit dem heutigen Dienstag , dem , werden Klimaaktivist * innen im hessischen Dannenröder Wald polizeilich geräumt , die gegen die Rodung des gesunden Mischwaldes und den Bau der Autobahn A49 protestieren .;Self
48;person;P2022;klimaaktivist;Jedoch nur , indem er die angereisten Klimaaktivist * innen als Apokalyptiker * innen bezeichnete .;Self
36;person;P2022;klimaaktivist;Liebe Klimaaktivisten !;Self
41;person;P2022;klimaaktivist;Auch das neue Klimaschutzgesetz des Landes NordrheinWestfahlen , welches parallel zum WindräderMindestabstandsGesetz beschlossen wurde , sorgt für Empörung bei den Oppositionsparteien und Klimaaktivist * innen .;Self
47;person;P2022;klimaaktivist;👎🏻 Anfeindungen gegen Klimaaktivist * innen von Trump Beim WeltWirtschaftsgipfel sprach neben Greta Thunberg auch Trump , der USamerikanische Präsident , der den ( menschengemachten ) Klimawandel leugnet .;Self
22;person;P2022;klimaaktivist;Liebe Klimaaktivisten , besten Dank an Euch und gut so es geht weiter .;Self
13;person;P2022;klimaaktivist;Pressemitteilung lesen Presseartikel Südwestpresse - Erste Menschenkette von Ulm nach NeuUlm für den Klimaschutz Am Freitag haben die KlimaAktivisten von Fridays for Future eine Menschenkette von Ulm nach NeuUlm organisiert .;Self
6;person;P2022;klimaaktivist;Nicht zuletzt müssen wir auch uns selbst ermutigen , nicht nur so weiterzumachen , sondern auch zu versuchen , es zu einer coolen und aufregenden Sache zu machen , Klimaaktivist * in zu sein !;Self
24;person;P2022;klimaaktivist;Auch weibliche KlimaAktivist * innen sind laut Studie gefährdet Ziel von Gewalt und Einschüchterungsversuchen zu sein .;Self
51;person;P2022;klimaaktivist;KlimaAktivist * innen in der ganzen EU fordern deshalb schon lange die EU auf , diesen Hebel zu nutzen , um Klimaschutz und Erhalt der Biodiversität in der Landwirtschaft voranzubringen .;Self
27;person;P2022;klimaaktivist;Liebe FFFKämpfer , liebe Klimaaktivisten !;Self
43;person;P2022;klimaaktivist;Mehr Infos sind auf dieser Webseite zu finden : http : / / www.youthtopia.world Neuigkeiten zum Projekt : Liebe FFFKämpfer , liebe Klimaaktivisten !;Self
25;person;P2022;klimaaktivist;Klimagerechtigkeit bedeutet den Betroffenen zuzuhören Es ist Zeit , die Länder des globalen Südens und die Klimaaktivist * innen aus dem globalen Süden endlich ernstzunehmen und auf ihre Forderungen einzugehen .;Self
44;person;P2022;klimaaktivist;- internationaler , zentraler Streik von Fridays for Future Bereits am vergangenen Donnerstag , , reisen tausende Klimaaktivist * innen in Bussen und ( Sonder- ) zügen zu ihrem Ziel an .;Self
42;person;P2022;klimaaktivist;Dadurch dürften sich vermutlich vor allem Klimaaktivist * innen angegriffen fühlen , da diese sich in den vergangenen Jahren immer wieder auf naturwissenschaftliche Erkenntnisse stützten , um die Klimadebatte voranzutreiben .;Self
37;person;P2022;klimaaktivist;Ich hoffe , das Jahr , FFF und die vielen anderen Klimaaktivisten bringen nun die Wende !;Self
54;person;P2022;klimaaktivist;Ein wirklich tolles Zeichen ist , dass die junge Klimaaktivist * innenSzene sehr viel ausgeglichener alle Geschlechter einbindet und vor allem junge Frauen * eine große Rolle einnehmen .;Self
16;person;P2022;klimaaktivist;✊🏻 Proteste gegen Datteln IV bei finnischem Staatsbesuch Während des Besuchs der finnischen Minsiterpräsidentin Sanna Marin in Berlin haben Klimaaktivist * innen gegen DattelnIV protestiert .;Self
53;person;P2022;klimaaktivist;Jeder sollte sich zudem mit Klimaaktivist * innen solidarisieren , denn sie trifft die rechte Hetze ganz besonders stark .;Self
29;person;P2022;klimaaktivist;Liebe Grüße Ludwig Hallo liebe Klimaaktivisten , Zu den medialen Tricks , die Klimawende zu verhindern Beliebte FakeNews , oder Verdrehungen , Nebelbomben in den ( ÖR- ) Medien : Oben wurde von Euch ja erwähnt , dass nach einer Studie in Deutschland der Ausstoß von CO deutlich zurückgegangen sei . ( die -35 % beziehen sich i.ü . auf die gesamten THG , nicht nur auf den Stromsektor .;Self
20;person;P2022;klimaaktivist;Wie kommst du auf die Idee , die Klimaaktivisten von FfF wüßten das alles nicht ?;Self
50;person;P2022;klimaaktivist;Zuvor hatten KlimaAktivist * innen in der Schweiz in einer nichtautorisierten BanksyAusstellung die BanksyKopie aus Protest gegen die schweizerische Bank USB aufgehangen , die ebenso wie die Commerzbank weiterhin fossilen Energien finanziert .;Self
30;person;P2022;klimaaktivist;Kritik und Vorwürfe von Klimaaktivist * en * innen wurden weitgehend überhört , ähnlich wie bei der Inbetriebnahme des Kraftwerks Datteln IV vor einigen Wochen .;Self
26;person;P2022;klimaaktivist;Liebe KLIMAaktivist * innen , ich habe euch gestern mit meiner Familie unterstützt , und wir sind alle auf die Straße gegangen !;Self
7;person;P2022;klimaaktivist;Egal ob jung oder alt , klein oder groß , berufstätig , noch in der Ausbildung , arbeitslos oder in Rente , ob Veganer * in oder Fleischesser * in , bereits überzeugte * r Klimaaktivist * in oder zum ersten Mal auf einer Demo dabei - wir alle sind gefragt .;Self
38;person;P2022;klimaaktivist;Das auszumalen spare ich mir , FFF und andere Klimaaktivisten werden das schon studiert haben .;Self
17;person;P2022;klimaaktivist;Egal ob jung oder alt , klein oder groß , berufstätig , noch in der Ausbildung , arbeitslos oder in Rente , ob Veganer * in oder Fleischesser * in , bereits überzeugte * r Klimaaktivist * in oder zum ersten Mal auf einer Demo dabei - wir alle sind gefragt .;Self
32;person;P2022;klimaaktivist;"Auch das klimarelevante Thema „ Verkehr "" war für % der Befragten von größter Bedeutung.Noch zwei Tage vor der Wahl gingen über Klimaaktivist * innen für mehr Klimaschutz auf die Straßen , darunter auch Greta Thunberg .";Self
31;person;P2022;klimaaktivist;Statt dessen nur Corona , … , die bösen Klimaaktivisten , … Wenn da nichts kommt , kann ich bei der nächsten Wahl niemand wählen .;Self
49;person;P2022;klimaaktivist;Jahr Kohlekommision - Jahr Stillstand Vor einem Jahr standen sämtliche Klimaaktivist * innen vor dem Wirtschaftsministerium und haben zur Kohlekommission gestreikt und damit einen früheren und sozialverträglichen Kohleausstieg gefordert .;Self
39;person;P2022;klimaaktivist;Dies von Jemanden , der sich selbst wohl als Klimaaktivisten sieht , jedenfalls fürs ZDF an entlegene Orte reist , und dabei auch auf den Klimawandel hinweisen will , aber gleichzeitig in seiner Sendung die Grünen Baerbock und Habeck dermaßen aggressiv , geradezu inquisitorisch angreift , vor allen wegen deren Forderungen zur Klimapolitik , dass hinterher die Frankfurter Rundschau von einem einmaligen skandalösen Vorgang sprach und die sofortige Absetzung von Markus Lanz forderte !;Self
21;person;P2022;klimaaktivist;"Liebe Klimakommentatoren / innen , liebe KlimaAktivisten , ihr Außenstehenden habt immer wieder was an Greta auszusetzen : hier , weil sie mit einer Segelyacgt über den Teich ist ; wäre sie geflogen hätte es auch Negativgelavere gegeben ; sollte die etwa rüberschwimmen ?";Self
23;person;P2022;klimaaktivist;""" Auch in dem pazifischen Inselstaat Vanuatu haben Klimaaktivist * innen ihren Protest aufgrund von Corona und dem Zyklon Harold von der Straße ins Digitale legen müssen und sind dabei kreativ geworden : Sie nahmen Videos auf und schickten diese an lokale Fernseh- und Radiosender mit der Bitte diese in Werbepausen zu spielen .";Self
28;person;P2022;klimaaktivist;Des weiteren : G.OTT vor Gericht , angeklagt als Klimaaktivist , mit Friedrich Merz als Staatsanwalt !;Self
9;person;P2022;klimaaktivist;Wir als Fridays For Future Deutschland sind eine überparteiliche Bewegung gleichgesinnter Klimaaktivist * innen und solidarisieren uns mit allen , die sich friedlich für unsere Forderungen einsetzen .;Self
10;person;P2022;klimaaktivist;Wir als Weltöffentlichkeit müssen Menschen wie Marinel , Klimaaktivist * innen aus dem globalen Süden , die im Kampf für Klimagerechtigkeit ganz vorne stehen , mehr Aufmerksamkeit schenken und wir müssen von unseren politischen Entscheidungsträger * innen einfordern , dass ihre Forderungen umgesetzt werden .;Self
52;person;P2022;klimaaktivist;Auffällig in der Rechten - insbesondere der AfD - ist auch die Hetze gegen junge Klimaaktivist * innen .;Self
4;person;P2022;klimaaktivist;Am werden wir wieder gemeinsam mit Klimaaktivist * innen rund um die Welt für Klimaschutz streiken .;Self
93;person;C2022;klimaaktivistin;"Die schwedische Klimaaktivistin vertritt das hegemoniale Narrativ und wiederholt die politischen PRPhrasen wie ein Papagei ; ergänzt durch ein paar inhaltsleere Emotionalisierungen .";External
92;person;C2022;klimaaktivistin;Das 16jährige KinderOrakel aus Schweden hat den Inhalt wohl kaum gelesen - da der Langbericht scheinbar nicht veröffentlicht ist - , aber was solls : Ihre Botschaft kann nur lauten : WELT : Greta Thunberg hält Berichterstattung über Artenbericht für unzureichend … Die schwedische Klimaaktivistin Greta Thunberg hält die Aufmerksamkeit der Medien für den UNBericht zur verheerenden Lage der Artenvielfalt für völlig unzureichend .;External
87;person;C2022;klimaaktivistin;Dieses schreibt eine Klimaaktivistin aus Bangla Desh .;External
94;person;C2022;klimaaktivistin;"Und es ist sicherlich nicht Greta Thunberg . people are talking about this Die gefeierte Klimaaktivistin Greta Thunberg hat damit gedroht , Facebook zu verlassen , wenn die SocialMediaPlattform ihre Kritiker nicht zum Schweigen bringt . [ werden wohl mehr ihre „ Hintermänner und -frauen "" sein ] Übersetzt und zusammengestellt durch Andreas Demmig Ergänzung : Durch meine Arbeiten an der Übersetzung , habe ich mitbekommen , dass Naomi Seibts .";External
91;person;C2022;klimaaktivistin;Dok wirft einen Blick in die Welt der Feinde der jungen Klimaaktivistin .;External
86;person;C2022;klimaaktivistin;Anstatt mit einem Flugzeug in wenigen Stunden von Nordamerika nach Europa zurück zu fliegen , schiffte sich die Klimaaktivistin Greta Thunberg am .;External
88;person;C2022;klimaaktivistin;Was ist die schwedische KlimaAktivistin Greta Thunberg denn nun : Heldin oder Nervensäge ?;External
69;person;P2022;klimaaktivistin;So berichtet zum Beispiel Mitzi Jonelle Tan , Klimaaktivistin von den Philippinen : „ Eine lebendige und konstante Erinnerung aus meiner Kindheit sind Tage des Abendessen bei Kerzenschein , weil wir aufgrund von Taifunen keinen Strom hatten .;Self
75;person;P2022;klimaaktivistin;"Obwohl viele von uns nicht zu Ihrem Gipfel eingeladen waren , werden wir dafür sorgen , dass Sie uns trotzdem hören "" , so Mitzi Jonelle Tan , KlimaAktivistin von den Philippinen .";Self
74;person;P2022;klimaaktivistin;""" Dabei schlägt den Klimaaktivistinnen am Anfang vor allem eines entgegen : Widerstand .";Self
60;person;P2022;klimaaktivistin;Nach dem Gespräch werden die Klimaaktivistinnen am Mittwoch um Uhr MEZ eine OnlinePressekonferenz abhalten , um über die GAPReform und das Treffen mit Herrn Timmermans zu sprechen .;Self
76;person;P2022;klimaaktivistin;Liebe Klimaaktivistinnen und Aktivisten , wenn es um Lebensgrundlagen geht , müssen weltweit alle Staaten dafür sorgen damit lebensfreundliche Energiegewinnungssysteme , neue ökologisch wertvolle Häuser und auch Transportsysteme entwickelt werden .;Self
58;person;P2022;klimaaktivistin;"Die bekannte Klimaaktivistin Vanessa Nakate aus Uganda wandte sich nach dem Wahlsieg in einem eindringlichen Brief an die zukünftige BidenRegierung : „ Der Klimawandel betrifft so viele Leben von Menschen in meinem Land , ganz besonders von Kindern , Mädchen und Frauen . "" , schrieb sie .";Self
