original,second_part,noun_forms,lemma,genus,compound_forms
klimatod,tod,"['toden', 'todes', 'tods', 'tode', 'tod']",tod,m,"['klimatoden', 'klimatodes', 'klimatods', 'klimatode', 'klimatod']"
klimatrash,trash,"['trash', 'trashs']",trash,m,"['klimatrash', 'klimatrashs']"
klimatraumatisierung,traumatisierung,"['traumatisierung', 'traumatisierungen']",traumatisierung,f,"['klimatraumatisierung', 'klimatraumatisierungen']"
klimatrip,trip,"['trip', 'trips']",trip,m,"['klimatrip', 'klimatrips']"
klimatyrannei,tyrannei,"['tyranneien', 'tyrannei']",tyrannei,f,"['klimatyranneien', 'klimatyrannei']"
klimaunfug,unfug,"['unfug', 'unfugs']",unfug,m,"['klimaunfug', 'klimaunfugs']"
klimaunfähigkeit,unfähigkeit,"['unfähigkeit', 'unfähigkeiten']",unfähigkeit,f,"['klimaunfähigkeit', 'klimaunfähigkeiten']"
klimaungerechtigkeit,ungerechtigkeit,"['ungerechtigkeit', 'ungerechtigkeiten']",ungerechtigkeit,f,"['klimaungerechtigkeit', 'klimaungerechtigkeiten']"
klimaunsinn,unsinn,"['unsinnes', 'unsinn', 'unsinns', 'unsinne']",unsinn,m,"['klimaunsinnes', 'klimaunsinn', 'klimaunsinns', 'klimaunsinne']"
klimauntergang,untergang,"['untergange', 'untergängen', 'unterganges', 'untergangs', 'untergang', 'untergänge']",untergang,m,"['klimauntergange', 'klimauntergängen', 'klimaunterganges', 'klimauntergangs', 'klimauntergang', 'klimauntergänge']"
klimavatikan,vatikan,"['vatikan', 'vatikans']",vatikan,m,"['klimavatikan', 'klimavatikans']"
klimaverblödung,verblödung,['verblödung'],verblödung,f,['klimaverblödung']
klimaverbrechen,verbrechen,"['verbrechens', 'verbrechen']",verbrechen,n,"['klimaverbrechens', 'klimaverbrechen']"
klimaverbrecher,verbrecher,"['verbrecher', 'verbrechern', 'verbrechers']",verbrecher,m,"['klimaverbrecher', 'klimaverbrechern', 'klimaverbrechers']"
klimaverdummung,verdummung,['verdummung'],verdummung,f,['klimaverdummung']
klimaverleugnung,verleugnung,"['verleugnungen', 'verleugnung']",verleugnung,f,"['klimaverleugnungen', 'klimaverleugnung']"
klimavernunft,vernunft,['vernunft'],vernunft,f,['klimavernunft']
klimaverrücktheit,verrücktheit,"['verrücktheiten', 'verrücktheit']",verrücktheit,f,"['klimaverrücktheiten', 'klimaverrücktheit']"
klimaverstand,verstand,"['verstands', 'verstande', 'verstandes', 'verstand']",verstand,m,"['klimaverstands', 'klimaverstande', 'klimaverstandes', 'klimaverstand']"
klimaverteidigung,verteidigung,"['verteidigung', 'verteidigungen']",verteidigung,f,"['klimaverteidigung', 'klimaverteidigungen']"
klimaverweigerung,verweigerung,"['verweigerungen', 'verweigerung']",verweigerung,f,"['klimaverweigerungen', 'klimaverweigerung']"
klimaverwirrung,verwirrung,"['verwirrungen', 'verwirrung']",verwirrung,f,"['klimaverwirrungen', 'klimaverwirrung']"
klimavirus,virus,"['virus', 'viren']",virus,,"['klimavirus', 'klimaviren']"
klimawahn,wahn,"['wahne', 'wahnen', 'wahn', 'wahns', 'wahnes']",wahn,m,"['klimawahne', 'klimawahnen', 'klimawahn', 'klimawahns', 'klimawahnes']"
klimawahnsinn,wahnsinn,"['wahnsinn', 'wahnsinns']",wahnsinn,m,"['klimawahnsinn', 'klimawahnsinns']"
klimawandler,wandler,"['wandler', 'wandlern', 'wandlers']",wandler,m,"['klimawandler', 'klimawandlern', 'klimawandlers']"
klimawarner,warner,"['warner', 'warners', 'warnern']",warner,m,"['klimawarner', 'klimawarners', 'klimawarnern']"
klimaweltuntergang,weltuntergang,"['weltuntergangs', 'weltuntergang', 'weltuntergange', 'weltuntergängen', 'weltuntergänge', 'weltunterganges']",weltuntergang,m,"['klimaweltuntergangs', 'klimaweltuntergang', 'klimaweltuntergange', 'klimaweltuntergängen', 'klimaweltuntergänge', 'klimaweltunterganges']"
klimawendehals,wendehals,"['wendehälsen', 'wendehalses', 'wendehälse', 'wendehals', 'wendehalse']",wendehals,m,"['klimawendehälsen', 'klimawendehalses', 'klimawendehälse', 'klimawendehals', 'klimawendehalse']"
klimawirklichkeit,wirklichkeit,"['wirklichkeit', 'wirklichkeiten']",wirklichkeit,f,"['klimawirklichkeit', 'klimawirklichkeiten']"
klimazar,zar,"['zar', 'zaren']",zar,m,"['klimazar', 'klimazaren']"
klimazerrüttung,zerrüttung,"['zerrüttung', 'zerrüttungen']",zerrüttung,f,"['klimazerrüttung', 'klimazerrüttungen']"
klimazerstörer,zerstörer,"['zerstörern', 'zerstörers', 'zerstörer']",zerstörer,m,"['klimazerstörern', 'klimazerstörers', 'klimazerstörer']"
klimazerstörung,zerstörung,"['zerstörungen', 'zerstörung']",zerstörung,f,"['klimazerstörungen', 'klimazerstörung']"
klimazeugs,zeugs,['zeugs'],zeugs,n,['klimazeugs']
klimazipfel,zipfel,"['zipfel', 'zipfels', 'zipfeln']",zipfel,m,"['klimazipfel', 'klimazipfels', 'klimazipfeln']"
klimazirkus,zirkus,"['zirkus', 'zirkussen', 'zirkusses', 'zirkusse']",zirkus,m,"['klimazirkus', 'klimazirkussen', 'klimazirkusses', 'klimazirkusse']"
klimazunft,zunft,"['zünfte', 'zunft', 'zünften']",zunft,f,"['klimazünfte', 'klimazunft', 'klimazünften']"
klimazwang,zwang,"['zwänge', 'zwanges', 'zwang', 'zwängen', 'zwange', 'zwangs']",zwang,m,"['klimazwänge', 'klimazwanges', 'klimazwang', 'klimazwängen', 'klimazwange', 'klimazwangs']"
klimaüberhitzung,überhitzung,"['überhitzung', 'überhitzungen']",überhitzung,f,"['klimaüberhitzung', 'klimaüberhitzungen']"
