original,second_part,lemma,genus,compound_forms,concept,definition,similar_words,PERS_pro,ORG_pro,PERS_con,ORG_con,pro_mods,con_mods,pro_sarcasm,con_sarcasm,pro_attr,con_attr,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_colls,con_colls,manual_sentiment,article,full_definition
klimaelite,elite,elite,f,"['klimaeliten', 'klimaelite']",group,"['eine Gruppe oder Klasse von Personen, die einen höheren intellektuellen, sozialen oder wirtschaftlichen Status haben', None]",[],,,"Counter({'Maybritt Illner': 1, 'Christiana Figueres': 1, 'Angela Merkel': 1})","Counter({'EIKE': 4, 'Die Grünen': 2, 'UNFCCC': 1, 'EU': 1, 'DUH': 1, 'BUND': 1, 'NABU': 1, 'Bundestag': 1})",,Counter({'': 1}),,0.2,,Exernal,0,4,0.0,0.0436011111178084,[],"['Behörde', 'alternativ']",neutral,die,"Klimaelite, die
Der Begriff ""Klimaelite"" bezeichnet einen Zusammenschluss von Personen im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 4 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.04 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaelite"" hierbei im Sinne einer Exernal von Seiten der Skeptiker. In 20% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Maybritt Illner und Christiana Figueres. Im Kontext von ""Klimaelite"" erfolgt die Nennung folgender Organisation(en): EIKE, Die Grünen (Skeptiker Korpus).
Häufige Kollokationen: 'alternativ', 'Behörde' (Skeptiker) "
klimaerkrankung,erkrankung,erkrankung,f,"['klimaerkrankung', 'klimaerkrankungen']",abstraction,['Gefühle von geistigem oder körperlichem Schmerz'],[],,,,,,Counter(),,1.0,,,0,2,0.0,0.0191856694893927,[],[],negativ,die,"Klimaerkrankung, die
Der Begriff ""Klimaerkrankung"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 2 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.02 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert."
klimaernsthaftigkeit,ernsthaftigkeit,ernsthaftigkeit,f,['klimaernsthaftigkeit'],abstraction,"['unbestrittene Glaubwürdigkeit', 'extreme Schlichtheit', 'die Eigenschaft, ehrlich zu sein']",[],,"Counter({'Klimawissen e.V': 2, 'PZU': 2, 'CDU': 1, 'SPD': 1, 'CSU': 1, 'Bundestag': 1, 'Union': 1, 'EU': 1})",,,Counter(),,0.0,,,,2,0,0.0082929243285437,0.0,"['testfall', 'namhaft']",[],neutral,die,"Klimaernsthaftigkeit, die
Der Begriff ""Klimaernsthaftigkeit"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 0 Mal von den Klimaforschungsskeptikern und 2 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.01 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimaernsthaftigkeit"" erfolgt die Nennung folgender Organisation(en): Klimawissen e.V, PZU (Vertreter Korpus).
Häufige Kollokationen:  'testfall', 'namhaft' (Vertreter)"
klimaerzählung,erzählung,erzählung,f,"['klimaerzählungen', 'klimaerzählung']",abstraction,"['die Gesamtheit der schriftlich festgehaltenen Erinnerungen an die Vergangenheit; ein Wissensbestand', 'systematische Anordnung aller flektierten Formen eines Wortes']",['lüge'],,,Counter({'Alexander Krauß': 1}),,,Counter({'groß': 1}),,0.0,,,0,1,0.0,0.0,[],[],neutral,die,"Klimaerzählung, die
Der Begriff ""Klimaerzählung"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Alexander Krauß.

Siehe auch: Klimalüge"
klimaestablishment,establishment,establishment,n,"['klimaestablishment', 'klimaestablishments']",group,['(Biologie) eine taxonomische Klasse unterhalb eines Stammes und oberhalb einer Klasse'],[],,,"Counter({'Scott Pruitt': 1, 'Donald Trump': 1, 'Kevin Trenberth': 1})","Counter({'UN': 1, 'EPA': 1, 'IPCC': 1, 'BILD': 1, 'EIKE': 1})",,"Counter({'finanziert': 1, 'üppig': 1, 'westlich': 1})",,0.3333333333333333,,Fremdzuschreibung,0,3,0.0,0.0300764987421918,[],[],neutral,das,"Klimaestablishment, das
Der Begriff ""Klimaestablishment"" bezeichnet einen Zusammenschluss von Personen im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 3 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.03 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaestablishment"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 33% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Scott Pruitt und Donald Trump. Im Kontext von ""Klimaestablishment"" erfolgt die Nennung folgender Organisation(en): UN, EPA (Skeptiker Korpus)."
klimaethik,ethik,ethik,f,"['klimaethiken', 'klimaethik']",abstraction,"['das philosophische Studium der moralischen Werte und Regeln', 'ein System von Grundsätzen für Moral und akzeptables Verhalten']",[],,,,Counter({'Energiewende international': 1}),,Counter(),,0.0,,,0,1,0.0,0.0,[],[],neutral,die,"Klimaethik, die
Der Begriff ""Klimaethik"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimaethik"" erfolgt die Nennung folgender Organisation(en): Energiewende international (Skeptiker Korpus)."
klimaextremismus,extremismus,extremismus,m,"['klimaextremismus', 'klimaextremismen']",abstraction,"['die politische Ausrichtung derjenigen, die revolutionäre Veränderungen in Staat und Gesellschaft befürworten']",[],,,,,,Counter(),,0.0,,,0,1,0.0,0.0,[],[],negativ,der,"Klimaextremismus, der
Der Begriff ""Klimaextremismus"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert."
klimafachkraft,fachkraft,fachkraft,f,"['klimafachkraft', 'klimafachkräfte', 'klimafachkräften']",person,"['eine Person, die allgemeine Autorität über andere hat']",[],,,,"Counter({'SPD': 1, 'CSU': 1})",,Counter(),,0.0,,None,0,1,0.0,0.0,[],[],neutral,die,"Klimafachkraft, die
Der Begriff ""Klimafachkraft"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimafachkraft"" hierbei im Sinne einer None von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimafachkraft"" erfolgt die Nennung folgender Organisation(en): SPD, CSU (Skeptiker Korpus)."
klimafanatiker,fanatiker,fanatiker,m,"['klimafanatiker', 'klimafanatikern', 'klimafanatikers']",person,['ein glühender und sogar militanter Verfechter einer Sache'],[],,,,"Counter({'Die Grünen': 1, 'UN': 1, 'NATO': 1, 'NWO': 1})",,Counter(),,0.0,,Fremdzuschreibung,0,3,0.0,0.0300764987421918,[],[],negativ,der,"Klimafanatiker, der
Der Begriff ""Klimafanatiker"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 3 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.03 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimafanatiker"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimafanatiker"" erfolgt die Nennung folgender Organisation(en): Die Grünen, UN (Skeptiker Korpus)."
klimafeind,feind,feind,m,"['klimafeinds', 'klimafeind', 'klimafeinde', 'klimafeindes', 'klimafeinden']",person,"['ein Kandidat, gegen den man antritt']",[],,,"Counter({'Luisa Neubauer': 1, 'Horst-Joachim Lüdecke': 1})","Counter({'Volkswagen': 1, 'Die Grünen': 1})",,Counter({'CO2produzierend': 1}),,0.0,,Selbstzuschreibung,0,1,0.0,0.0,[],[],negativ,der,"Klimafeind, der
Der Begriff ""Klimafeind"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimafeind"" hierbei im Sinne einer Selbstzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Luisa Neubauer und Horst-Joachim Lüdecke. Im Kontext von ""Klimafeind"" erfolgt die Nennung folgender Organisation(en): Volkswagen, Die Grünen (Skeptiker Korpus)."
klimafestung,festung,festung,f,"['klimafestungen', 'klimafestung']",abstraction,"['eine stark befestigte Verteidigungsanlage', 'eine befestigte Verteidigungsanlage']",[],,,,,,Counter(),,0.0,,,0,1,0.0,0.0,[],[],neutral,die,"Klimafestung, die
Der Begriff ""Klimafestung"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert."
klimafieber,fieber,fieber,n,"['klimafiebers', 'klimafieber', 'klimafiebern']",abstraction,['ein Anstieg der Körpertemperatur; häufig ein Symptom einer Infektion'],[],,,,"Counter({'Spiegel Online': 1, 'Die Grünen': 1, 'Welt': 1, 'EIKE': 1, 'Tagesspiegel': 1})",,Counter(),,0.0,,,0,1,0.0,0.0,[],[],negativ,das,"Klimafieber, das
Der Begriff ""Klimafieber"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimafieber"" erfolgt die Nennung folgender Organisation(en): Spiegel Online, Die Grünen (Skeptiker Korpus)."
klimafluch,fluch,fluch,m,"['klimafluches', 'klimaflüche', 'klimafluch', 'klimaflüchen', 'klimafluchs']",abstraction,"['eine verleumderische Anschuldigung', 'ein Schicksalsschlag; ein unheilvolles Ereignis']",[],,,Counter({'Barbara Hendricks': 1}),"Counter({'Greenpeace': 1, 'ARTE': 1, 'EIKE': 1})",,Counter({'hemmungslos': 1}),,0.0,,,0,2,0.0,0.0156966951518003,[],[],negativ,der,"Klimafluch, der
Der Begriff ""Klimafluch"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 2 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.02 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Barbara Hendricks. Im Kontext von ""Klimafluch"" erfolgt die Nennung folgender Organisation(en): Greenpeace, ARTE (Skeptiker Korpus)."
klimaflüsterer,flüsterer,flüsterer,m,"['klimaflüsterer', 'klimaflüsterern', 'klimaflüsterers']",person,[],[],,,,Counter({'AFD': 1}),,Counter(),,0.0,,Selbstzuschreibung,0,1,0.0,0.0,[],[],neutral,der,"Klimaflüsterer, der
Der Begriff ""Klimaflüsterer"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaflüsterer"" hierbei im Sinne einer Selbstzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimaflüsterer"" erfolgt die Nennung folgender Organisation(en): AFD (Skeptiker Korpus)."
klimafreund,freund,freund,m,"['klimafreund', 'klimafreundes', 'klimafreunden', 'klimafreunde', 'klimafreunds']",person,"['eine Person, die mit ihm zusammenarbeitet oder ihn unterstützt', 'Mann, der in einer Liebesbeziehung mit einer Frau steht', 'eine Person, mit der man befreundet ist', 'eine Person, die einen Politiker oder eine Mannschaft usw. unterstützt.']","['freund', 'freundin']","Counter({'Armin Laschet': 1, 'Joachim Wille': 1})","Counter({'FFF': 2, 'Bundestag': 2, 'BDI': 1, 'INSM': 1, 'Instituts der deutsche Wirtschaft': 1, 'IW': 1, 'BDA': 1, 'NOAA': 1, 'BNE': 1, 'Lufthansa': 1, 'EU': 1, 'Parents for Future': 1, 'Bundesministerium für Wirtschaft und Energie': 1, 'Landtag': 1, 'AFD': 1, 'Commerzbank': 1, 'Greenpeace': 1})","Counter({'Emmanuel Macron': 1, 'Greta Thunberg': 1, 'Ursula von der Leyen': 1, 'Angela Merkel': 1, 'Donald Trump': 1})","Counter({'SPD': 1, 'BR': 1, 'Die Grünen': 1, 'EU': 1})","Counter({'jung': 1, 'weit': 1, 'natürlich': 1})",Counter({'geschworen': 1}),0.0,0.5,Selbstzuschreibung,Fremdzuschreibung,3,1,0.0174906429981298,0.0,[],[],positiv,der,"Klimafreund, der
Der Begriff ""Klimafreund"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 3 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.02 für die Vertreter. Verwendet wird ""Klimafreund"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker und als Selbstzuschreibung im Vetreter Korpus. In 0% (Vertreter Diskurs) und 50% (Skeptiker Diskurs) der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell positiv konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Emmanuel Macron und Greta Thunberg und der Vertreter Korpus Armin Laschet und Joachim Wille. Im Kontext von ""Klimafreund"" erfolgt die Nennung folgender Organisation(en): SPD, BR (Skeptiker Korpus) und FFF, Bundestag (Vertreter Korpus).

Siehe auch: Klimafreundin"
klimafreundin,freundin,freundin,f,"['klimafreundin', 'klimafreundinnen']",person,"['eine Frau, die mit einem wichtigen Mann zusammenlebt', 'eine Partnerin, mit der man sein Leben teilt, mit der man aber nicht verheiratet ist', 'jede weibliche Freundin']","['freundin', 'freund']",Counter({'Joachim Wille': 1}),,,,"Counter({'weit': 1, 'natürlich': 1})",,0.0,,Selbstzuschreibung,,1,0,0.0,0.0,[],[],positiv,die,"Klimafreundin, die
Der Begriff ""Klimafreundin"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 0 Mal von den Klimaforschungsskeptikern und 1 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimafreundin"" hierbei im Sinne einer Selbstzuschreibung von Seiten der Vertreter. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell positiv konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) der Vertreter Korpus Joachim Wille.

Siehe auch: Klimafreund"
klimafreundlichkeit,freundlichkeit,freundlichkeit,f,"['klimafreundlichkeiten', 'klimafreundlichkeit']",action,"['eine freundliche Handlung', 'Freundlichkeit, die sich in einer freundlichen und hilfsbereiten Haltung zeigt', 'die Neigung, freundlich und nachsichtig zu sein', 'die Eigenschaft der herzlichen Aufrichtigkeit', 'ein Ausdruck der Dankbarkeit', 'ein freundliches Gemüt']",[],Counter({'Armin Laschet': 1}),"Counter({'NOAA': 1, 'Landtag': 1, 'AFD': 1})",,,Counter(),,0.0,,,,2,0,0.0082929243285437,0.0,[],[],positiv,die,"Klimafreundlichkeit, die
Der Begriff ""Klimafreundlichkeit"" bezeichnet eine Aktion im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 0 Mal von den Klimaforschungsskeptikern und 2 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.01 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell positiv konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) der Vertreter Korpus Armin Laschet. Im Kontext von ""Klimafreundlichkeit"" erfolgt die Nennung folgender Organisation(en): NOAA, Landtag (Vertreter Korpus)."
klimafront,front,front,f,"['klimafront', 'klimafronten']",location,"['ein Gebiet, in dem aktive militärische Operationen durchgeführt werden', 'die Stirnseite oder Vorderseite eines Gebäudes', 'eine Gruppe von Menschen mit einer gemeinsamen Ideologie, die gemeinsam versuchen, bestimmte allgemeine Ziele zu erreichen']",[],,,,Counter({'EIKE': 1}),,Counter(),,0.0,,,0,4,0.0,0.0464972214860532,[],[],negativ,die,"Klimafront, die
Der Begriff ""Klimafront"" wird in unserem Korpus 4 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.05 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimafront"" erfolgt die Nennung folgender Organisation(en): EIKE (Skeptiker Korpus)."
klimaführerin,führerin,führerin,f,"['klimaführerinnen', 'klimaführerin']",person,[],[],,,,,,Counter(),,0.0,,Fremdzuschreibung,0,1,0.0,0.0,[],[],neutral,die,"Klimaführerin, die
Der Begriff ""Klimaführerin"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaführerin"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert."
klimagangster,gangster,gangster,m,"['klimagangsters', 'klimagangstern', 'klimagangster']",person,"['ein Krimineller, der Mitglied einer Bande ist']",['verbrecher'],,,Counter({'Christian Möser': 1}),,,Counter(),,0.0,,Fremdzuschreibung,0,1,0.0,0.0,[],[],negativ,der,"Klimagangster, der
Der Begriff ""Klimagangster"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimagangster"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Christian Möser.

Siehe auch: Klimaverbrecher"
klimagarde,garde,garde,f,"['klimagarden', 'klimagarde']",group,[],[],,,"Counter({'Barbara Hendricks': 3, 'Bärbel Höhn': 1, 'Jörg Kachelmann': 1, 'Frank-Walter Steinmeier': 1})","Counter({'EIKE': 3, 'Greenpeace': 1, 'RWE': 1, 'Europäische Parlament': 1, 'WIKIPEDIA': 1})",,"Counter({'jung': 3, 'aktiv': 1})",,0.0,,Fremdzuschreibung,0,3,0.0,0.0300764987421918,[],"['jung', 'Weltrettungsbibel']",neutral,die,"Klimagarde, die
Der Begriff ""Klimagarde"" bezeichnet einen Zusammenschluss von Personen im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 3 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.03 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimagarde"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Modifizierer wie 'jung' treten häufig auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Barbara Hendricks und Bärbel Höhn. Im Kontext von ""Klimagarde"" erfolgt die Nennung folgender Organisation(en): EIKE, Greenpeace (Skeptiker Korpus).
Häufige Kollokationen: 'jung', 'Weltrettungsbibel' (Skeptiker) "
klimagau,gau,gau,m,"['klimagauen', 'klimagaues', 'klimagaus', 'klimagau', 'klimagaue']",abstraction,"['eine solide Niederlage', None, None]",[],Counter({'Greta Thunberg': 1}),Counter({'Europäischen Rat': 1}),,,Counter({'final': 1}),Counter({'weltweit': 1}),0.0,0.0,,,3,1,0.0159028307170063,0.0,[],[],negativ,der,"Klimagau, der
Der Begriff ""Klimagau"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 3 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.02 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) der Vertreter Korpus Greta Thunberg. Im Kontext von ""Klimagau"" erfolgt die Nennung folgender Organisation(en): Europäischen Rat (Vertreter Korpus)."
klimagefahr,gefahr,gefahr,f,"['klimagefahr', 'klimagefahren']",abstraction,"['etwas, das eine Quelle der Gefahr ist']",[],,,"Counter({'Maybritt Illner': 1, 'Svenja Schulze': 1})","Counter({'University of California': 1, 'SPIEGEL': 1, 'IPCC': 1, 'BUND': 1, 'NABU': 1, 'DUH': 1, 'EU': 1})",Counter({'plötzlich': 1}),"Counter({'existenziell': 1, 'angeblich': 1, 'neu': 1, 'wirklich': 1})",0.0,0.0,,,2,9,0.0082929243285437,0.109408804157064,[],"['verschwinden', 'simuliert']",negativ,die,"Klimagefahr, die
Der Begriff ""Klimagefahr"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 9 Mal von den Klimaforschungsskeptikern und 2 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.11 für die Skeptiker und 0.01 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Maybritt Illner und Svenja Schulze. Im Kontext von ""Klimagefahr"" erfolgt die Nennung folgender Organisation(en): University of California, SPIEGEL (Skeptiker Korpus).
Häufige Kollokationen: 'verschwinden', 'simuliert' (Skeptiker) "
klimagefasel,gefasel,gefasel,n,"['klimagefasel', 'klimagefasels']",abstraction,"['törichtes Kauderwelsch', 'unsinniges Gerede oder Schreiben']","['blödsinn', 'käse', 'quatsch', 'unfug', 'unsinn']",,,Counter({'Donald Trump': 1}),,,Counter(),,0.0,,,0,1,0.0,0.0,[],[],negativ,das,"Klimagefasel, das
Der Begriff ""Klimagefasel"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Donald Trump.

Siehe auch: Klimaunsinn, Klimaquatsch, Klimaunfug, Klimakäse, Klimablödsinn"
