original,second_part,noun_forms,lemma,genus,compound_forms,PERS_pro,ORG_pro,PERS_con,ORG_con,pro_mods,con_mods,bert,blob,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,bert_related,blob_related,manual_sentiment,pro_attr,con_attr,pro_sarcasm,con_sarcasm,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_colls,con_colls,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_updated,con_updated,tfidf_pro,tfidf_con
klimafluch,fluch,"['fluches', 'flüche', 'fluch', 'flüchen', 'fluchs']",fluch,m,"['klimafluches', 'klimaflüche', 'klimafluch', 'klimaflüchen', 'klimafluchs']",,,['Barbara Hendricks'],"['ARTE', 'Greenpeace', 'EIKE']",,['hemmungslos'],positive,0.0,"['Verfluchung', 'Fluchen', 'Fluch', 'Verhängnis', 'Unheil', 'Unstern', 'Verwünschung', 'Vermaledeiung', 'Unsegen', 'Geißel', 'Unglück']",[],[],"['accusal', 'accusation', 'charge', 'complaint', 'pleading', 'statement', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",abstraction,"['eine verleumderische Anschuldigung', 'ein Schicksalsschlag; ein unheilvolles Ereignis']",[],[],fluch,fluch,fluch,fluch,,,,,,[],negative,-0.09090909090909091,negative,,,,0.0,0,2,,0.0156966951518003,,,0,2,,0.0156966951518003,,2,,0.0156966951518003
klimaflüsterer,flüsterer,"['flüsterer', 'flüsterern', 'flüsterers']",flüsterer,m,"['klimaflüsterer', 'klimaflüsterern', 'klimaflüsterers']",,,[],['AFD'],,[],negative,0.0,[],[],[],,person,[],[],[],flu,flüsterer,flüsterer,flust,,,,,,[],negative,0.0,neutral,,{'Self'},,0.0,0,1,,0.0,,,0,1,,0.0,,1,,0.0
klimafreund,freund,"['freund', 'freundes', 'freunden', 'freunde', 'freunds']",freund,m,"['klimafreund', 'klimafreundes', 'klimafreunden', 'klimafreunde', 'klimafreunds']",,"['FFF', 'Greenpeace', 'Bundestag']",[],[],"['jung', 'weit', 'natürlich']",['geschworen'],positive,0.0,"['Boyfriend', 'Kumpan', 'Getreuer', 'Freund', 'Tifoso', 'Lebenspartner', 'ständiger Begleiter', 'Hausfreund', '...freak', 'Geliebter', '...narr', 'Vertrauter', 'Genosse', 'Freak', 'Lebensabschnittsgefährte', 'Fan', '...fan', '...freund', 'Beziehung', 'Kamerad', 'Kavalier', 'Spezl', 'Kumpel', 'Bettgenosse', 'Kerl', 'Enthusiast', '...liebhaber', 'Stecher', 'Galan', '...anhänger', 'Gevatter', '...philer', 'Partner', 'Kollege', 'Gespiele', 'Günstling', 'Mann an ihrer Seite', '...enthusiast', 'Spezi', 'Lebensgefährte', 'Anhänger', 'Sympathisant', 'Gefährte', 'Verhältnis', '...ratte', 'Intimus', 'Liebhaber', 'Lover', 'Mann ihres Herzens', '...begeisterter', 'Beschäler', 'Buddy', 'Kollegin', '...fetischist']","['jemand', 'jeder beliebige', 'irgendjemand']","['jemand', 'irgendjemand', 'jeder beliebige']","['associate', 'match', 'compeer', 'equal', 'peer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'associate', 'match', 'compeer', 'equal', 'peer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Person, die mit ihm zusammenarbeitet oder ihn unterstützt', 'Mann, der in einer Liebesbeziehung mit einer Frau steht', 'eine Person, mit der man befreundet ist', 'eine Person, die einen Politiker oder eine Mannschaft usw. unterstützt.']",[],[],freu,freund,freund,freund,,,,,"['freund', 'freundin']","['freund', 'freundin']",positive,0.018518518518518517,positive,{'Self'},{'External'},0.0,1.0,3,1,0.0174906429981298,0.0,,,3,1,0.0174906429981298,0.0,2,1,0.0174906429981298,0.0
klimafreundin,freundin,"['freundin', 'freundinnen']",freundin,f,"['klimafreundin', 'klimafreundinnen']",['Joachim Wille'],,,,"['weit', 'natürlich']",,positive,0.0,"['feste Beziehung', 'Partnerin', 'Vertraute', 'Dame seines Herzens', 'Lebensabschnittsgefährtin', 'Frau an seiner Seite', 'Kurtisane', 'Liebste', 'Liebhaberin', 'Gespielin', 'seine Angebetete', 'Alte', 'Hetäre', 'Beziehung', 'enge Freundin', 'beste Freundin', 'Ische', 'gute Freundin', 'Herzdame', 'Flamme', 'Auserwählte', 'Mätresse', 'Freundin', 'Lebensgefährtin', 'Herzensdame', 'Bettgenossin', 'Lebenspartnerin', 'Frau seines Herzens', 'Geliebte']","['Waffenbruder', 'Kampfgenosse', 'Kamerad']","['jemand', 'irgendjemand', 'jeder beliebige']","['kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'female', 'female person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'female', 'female person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'lover', 'spouse equivalent', 'spousal equivalent', 'domestic partner', 'significant other', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'lover', 'spouse equivalent', 'spousal equivalent', 'domestic partner', 'significant other', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Frau, die mit einem wichtigen Mann zusammenlebt', 'eine Partnerin, mit der man sein Leben teilt, mit der man aber nicht verheiratet ist', 'jede weibliche Freundin']",[],[],freundi,freundin,freundin,freundin,,,,,"['freundin', 'freund']","['freundin', 'freund']",positive,0.04482758620689655,positive,{'Self'},,0.0,,1,0,0.0,,,,1,0,0.0,,1,,0.0,
klimafreundlichkeit,freundlichkeit,"['freundlichkeiten', 'freundlichkeit']",freundlichkeit,f,"['klimafreundlichkeiten', 'klimafreundlichkeit']",['Armin Laschet'],"['NOAA', 'AFD', 'Landtag']",,,[],,positive,0.0,"['Wertschätzung', 'Warmherzigkeit', 'Nettigkeit', 'Konzilianz', 'Freundlichkeit', 'Verbindlichkeit', 'Courtoisie', 'Herzensgüte', 'Zugewandtheit', 'Kompliment', 'Gewogenheit', 'Aufmerksamkeit', 'Höflichkeit', 'Zuvorkommenheit', 'anerkennende Äußerung', 'Entgegenkommen', 'Herzlichkeit', 'Indulgenz', 'freundliche Worte', 'Milde', 'Anteilnahme', 'Wärme', 'Gefälligkeit', 'Güte', 'Mildtätigkeit', 'Gütigkeit', 'Interesse', 'Leutseligkeit', 'Liebenswürdigkeit', 'Wohlwollen', 'nette Worte', 'Umgänglichkeit']","['Unversehrtheit', 'wohliges Gefühl der Zufriedenheit', 'Tat', 'Unbescholtenheit', 'Behagen', 'Wissensdurst', 'Aktion', 'Neugier', 'bemerken', 'Integrität', 'anmerken', 'Handlung', 'Neugierde', 'Wissbegierde', 'Entdeckerfreude', 'beachten', 'stilles Vergnügen', 'Operation']","['Behagen', 'stilles Vergnügen', 'wohliges Gefühl der Zufriedenheit', 'Personalien', 'Ausweis', 'Lichtbildausweis', 'Ausweispapiere', 'Identifikationskarte', 'Papiere', 'Handlung', 'Operation', 'Aktion', 'Tat', 'Geistesverfassung', 'Geisteszustand', 'Integrität', 'Unbescholtenheit', 'Unversehrtheit']","['action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['eine freundliche Handlung', 'Freundlichkeit, die sich in einer freundlichen und hilfsbereiten Haltung zeigt', 'die Neigung, freundlich und nachsichtig zu sein', 'die Eigenschaft der herzlichen Aufrichtigkeit', 'ein Ausdruck der Dankbarkeit', 'ein freundliches Gemüt']",[],[],freundlichkei,freundlichkeit,freundlichkeit,freundlich,,,,,,[],positive,0.084375,positive,,,0.0,,2,0,0.0082929243285437,,,,2,0,0.0082929243285437,,2,,0.0082929243285437,
klimafront,front,"['front', 'fronten']",front,f,"['klimafront', 'klimafronten']",,,[],['EIKE'],,[],positive,0.0,"['Exterieur', 'Feld der Ehre', 'Fassade', 'Frontansicht', 'Kriegsschauplatz', 'Vorderansicht', 'Frontpartie', 'Kampfgebiet', 'Kriegsgebiet', 'Kampfzone', 'Schauseite', 'Front', 'Vorderseite', 'Vorderteil', 'Gefechtsfeld', 'Kampfplatz', 'Linie', 'Frontlinie', 'Feld', 'Schlachtfeld', 'Schnauze']","['daherreden', 'daherplappern', 'Aspekt', 'sabbeln', 'sich auslassen', 'schwätzen', 'sich verbreiten', 'Ansicht', 'faseln', 'herumlabern', 'groß herumtönen', 'Sicht', 'schwatzen', 'Blickrichtung', 'schwadronieren', 'Blickwinkel', 'Perspektive', 'schwafeln', 'Anschauungsweise', 'Sichtweise', 'quasseln', 'Sichtfeld', 'sich ergehen', 'plappern', 'Standpunkt', 'salbadern']","['Aspekt', 'Sichtweise', 'Ansicht', 'Blickwinkel', 'Standpunkt', 'Perspektive', 'Sichtfeld', 'Blickrichtung', 'Anschauungsweise', 'Sicht', 'sich ergehen', 'sich verbreiten', 'sabbeln', 'quasseln', 'groß herumtönen', 'herumlabern', 'daherreden', 'sich auslassen', 'daherplappern', 'schwatzen', 'schwafeln', 'plappern', 'schwadronieren', 'schwätzen', 'salbadern', 'faseln']","['region', 'location', 'physical object', 'object', 'physical entity', 'entity']",location,"['ein Gebiet, in dem aktive militärische Operationen durchgeführt werden', 'die Stirnseite oder Vorderseite eines Gebäudes', 'eine Gruppe von Menschen mit einer gemeinsamen Ideologie, die gemeinsam versuchen, bestimmte allgemeine Ziele zu erreichen']",[],[],fro,front,front,front,,,,,,[],negative,0.0,negative,,,,0.0,0,4,,0.0464972214860532,,,0,4,,0.0464972214860532,,4,,0.0464972214860532
klimaführerin,führerin,"['führerinnen', 'führerin']",führerin,f,"['klimaführerinnen', 'klimaführerin']",,,[],[],,[],negative,0.0,[],[],[],,person,[],[],[],fuhreri,führerin,führerin,fuhrerin,,,,,,[],negative,0.0,neutral,,{'External'},,0.0,0,1,,0.0,,,0,1,,0.0,,1,,0.0
klimagangster,gangster,"['gangsters', 'gangstern', 'gangster']",gangster,m,"['klimagangsters', 'klimagangstern', 'klimagangster']",,,['Christian Möser'],[],,[],negative,0.0,"['Verbrecher', 'Gauner', 'Galgenstrick', 'Ganove', 'Halunke', 'Gangster', 'Bandit', 'Galgenvogel']","['Verbrecher', 'Gesetzesbrecher', 'kriminelles Element', 'Schächer', 'Täter', 'Straftäter', 'schwerer Junge', 'Krimineller']","['Verbrecher', 'Straftäter', 'Täter', 'schwerer Junge', 'Schächer', 'Krimineller', 'Gesetzesbrecher', 'kriminelles Element']","['crook', 'malefactor', 'felon', 'outlaw', 'criminal', 'principal', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'crook', 'malefactor', 'felon', 'outlaw', 'criminal', 'principal', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['ein Krimineller, der Mitglied einer Bande ist']",['verbrecher'],['verbrecher'],gang,gangster,gangst,gang,,,,,,['verbrecher'],negative,0.0,negative,,{'External'},,0.0,0,1,,0.0,,,0,1,,0.0,,1,,0.0
klimagarde,garde,"['garden', 'garde']",garde,f,"['klimagarden', 'klimagarde']",,,"['Barbara Hendricks', 'Frank-Walter Steinmeier', 'Barbara Hendricks', 'Jörg Kachelmann', 'Bärbel Höhn', 'Barbara Hendricks']","['EIKE', 'RWE', 'Greenpeace', 'EIKE', 'Europäische Parlament', 'WIKIPEDIA', 'EIKE']",,"['jung', 'aktiv', 'jung', 'jung']",positive,0.0,[],[],[],,group,[],[],[],gard,gard,gard,gard,,,,,,[],positive,0.0,neutral,,{'External'},,0.0,0,3,,0.0300764987421918,,"['jung', 'Weltrettungsbibel']",0,3,,0.0300764987421918,,3,,0.0300764987421918
klimagau,gau,"['gauen', 'gaues', 'gaus', 'gau', 'gaue']",gau,m,"['klimagauen', 'klimagaues', 'klimagaus', 'klimagau', 'klimagaue']",['Greta Thunberg'],['Europäischen Rat'],[],[],['final'],['weltweit'],negative,0.0,"['Komitat', 'Gespanschaft', 'Desaster', 'Gau', 'Katastrophe', 'GAU', 'Unfall mit katastrophalen Folgen', 'Fiasko', 'Debakel', 'Auslegungsstörfall']","['Härte', 'Rauheit']","['Unglück', 'Verhängnis', 'Unheil', 'Fluch', 'Geißel', 'Unstern', 'Unsegen']","['defeat', 'licking', 'finish', 'conclusion', 'ending', 'occurrence', 'occurrent', 'natural event', 'happening', 'event', 'abstraction', 'abstract entity', 'entity', 'defeat', 'licking', 'failure', 'occurrence', 'occurrent', 'natural event', 'happening', 'event', 'abstraction', 'abstract entity', 'entity']",abstraction,"['eine solide Niederlage', None, None]",[],[],gau,gau,gau,gau,,,,,,[],negative,-0.1,negative,,,0.0,0.0,3,1,0.0159028307170063,0.0,,,3,1,0.0159028307170063,0.0,3,1,0.0159028307170063,0.0
klimagefahr,gefahr,"['gefahr', 'gefahren']",gefahr,f,"['klimagefahr', 'klimagefahren']",,,['Maybritt Illner'],"['Der Spiegel', 'University of California', 'IPCC']",['plötzlich'],"['existenziell', 'angeblich', 'neu', 'wirklich']",positive,0.0,"['Gefahr', 'Unsicherheit', 'drohendes Unheil', 'Stolperfalle', 'Gefährdung', 'Fährde', 'Risiko', 'Misserfolgswahrscheinlickeit', 'Bedrohung', 'potentielle Schadeinwirkung', 'Fährnis']",[],[],"['danger', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",abstraction,"['etwas, das eine Quelle der Gefahr ist']",[],[],fahr,gefahr,gefahr,gefahr,,,,,,[],negative,0.0,negative,,,0.0,0.125,2,9,0.0082929243285437,0.109408804157064,,"['verschwinden', 'simuliert']",2,9,0.0082929243285437,0.109408804157064,2,8,0.0082929243285437,0.109408804157064
klimagefasel,gefasel,"['gefasel', 'gefasels']",gefasel,n,"['klimagefasel', 'klimagefasels']",,,['Donald Trump'],[],,[],positive,0.0,"['Quark', 'Schmarrn', 'Quatsch', 'leeres Gerede', 'Fez', 'Kohl', 'Gewäsch', 'Unfug', 'Kokolores', 'Kiki', 'Geschwätz', 'Schmus', 'Schwachfug', 'Pipifax', 'Geseire', 'Gemunkel', 'Driss', 'Humbug', 'dummes Zeug', 'Käse', 'Geschwurbel', 'gequirlte Scheiße', 'Sermon', 'Unsinn', 'Kappes', 'Schmu', 'Firlefanz', 'hohle Phrasen', 'Geschwalle', 'Sottise', 'Nonsense', 'Blech', 'Blödsinn', 'Gelaber', 'Geplänkel', 'Krampf', 'Bullshit', 'Heckmeck', 'Widersinn', 'Luftblasen', 'Gefasel', 'Scheiß', 'saudummes Zeug', 'Bockmist', 'Schmarren', 'Blabla', 'warme Worte', 'Quatsch mit Soße', 'Stuss', 'Schmäh', 'geistiger Dünnschiss', 'langweilige Rede', 'leere Worte', 'Scheiße', 'Nonsens', 'dümmliches Gerede', 'Mist', 'Mumpitz', 'Gerede', 'Geblubber', 'Pillepalle', 'geistiger Durchfall', 'Tinnef', 'Schmonzes', 'Schwachsinn', 'Schein-Tiefsinn', 'Geschwafel', 'Papperlapapp']","['leeres Gerede', 'Gewäsch', 'Geschwätz', 'Schmus', 'Geseire', 'Gemunkel', 'Tiefsinn', 'dummes Zeug', 'Geschwurbel', 'Sermon', 'hohle Phrasen', 'Geschwalle', 'Tiefe', 'Gelaber', 'Geplänkel', 'Luftblasen', 'Gefasel', 'Blabla', 'warme Worte', 'langweilige Rede', 'leere Worte', 'Gerede', 'Geblubber', 'Schein-Tiefsinn', 'Geschwafel']","['Tiefe', 'Tiefsinn', 'Tiefe', 'Tiefsinn']","['gibber', 'gibberish', 'bunk', 'nonsense', 'meaninglessness', 'nonsensicality', 'hokum', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",abstraction,"['törichtes Kauderwelsch', 'unsinniges Gerede oder Schreiben']",[],"['blödsinn', 'käse', 'quatsch', 'unfug', 'unsinn']",fasel,gefasel,gefasel,gefasel,,,,,,"['blödsinn', 'käse', 'quatsch', 'unfug', 'unsinn']",negative,-0.07352941176470588,negative,,,,0.0,0,1,,0.0,,,0,1,,0.0,,1,,0.0
klimagerechtigkeit,gerechtigkeit,"['gerechtigkeit', 'gerechtigkeiten']",gerechtigkeit,f,"['klimagerechtigkeit', 'klimagerechtigkeiten']","['Svenja Schulze', 'Olaf Scholz', 'Sina Reisch', 'Marie Klee', 'Sina Reisch', 'Angela Merkel', 'Vanessa Nakate', 'Georg Flyod', 'Hilda Nakabye', 'Olaf Scholz', 'Mitzi Jonelle Tan', 'Hilda Nakabye', 'Olaf Scholz', 'Mitzi Jonelle Tan', 'Hilda Nakabye', 'Olaf Scholz', 'Mitzi Jonelle Tan', 'Jair Bolsonaro', 'Luisa Neubauer', 'Angela Merkel', 'Adélaïde Charlier', 'Greta Thunberg', 'Joe Biden', 'Angela Merkel', 'Niels Ehlers', 'Bernd Fiedler', 'Holger Bär', 'Kathrin Henneberger', 'Simon Sutterlütti', 'Eckart von Hirschhausen', 'Sylvia Hartmann', 'Sina Reisch', 'Kai Bergmann', 'Joe Biden', 'Janusz Wojciechowski', 'Ursula von der Leyen', 'Howey Ou', 'Mitzi Jonelle Tan', 'Marlene Moses', 'Angela Merkel', 'Norbert Röttgen', 'Armin Laschet', 'Friedrich Merz', 'Eckart von Hirschhausen', 'Lena MeyerLandrut', 'Katja Riemann', 'Erik Marquart', 'Eckart von Hirschhausen', 'Lena MeyerLandrut', 'Katja Riemann', 'Erik Marquart', 'Isabelle Axelsson', 'Joschua Elbing', 'Paula Stoffels', 'Sarah Bauer', 'Ann Pettifor', 'Inga Thao My Bui', 'Fabian Schäfer', 'Disha Ravi', 'Joe Biden', 'Christian Stöcker', 'Karin Strenz', 'Axel Fischer', 'Roland Meister', 'Greta Thunberg', 'Greta Thunberg', 'Greta Thunberg', 'Dalila Nouame', 'Christina Schliesky', 'Asuka Kähler', 'Kathrin Henneberger', 'Jair Bolsonaro', 'Angela Merkel', 'Olaf Scholz', 'Olaf Scholz', 'Axel Strutz', 'Joe Biden', 'Alexej Nawalny', 'Christiane Averbeck', 'Wolfgang Schäuble', 'Greta Thunberg', 'Nicolas Hulo', 'Nicholas Stern', 'Helena Marschall', 'Helena Marschall', 'Joe Biden', 'Pauline Brünger', 'Quang Paasch', 'Jördis Thümmler', 'Jördis Thümmler', 'Annika Kruse', 'Jördis Thümmler', 'Annika Kruse', 'Donald Trump', 'Greta Thunberg', 'Dalila Nouame', 'Daniela Gottschlich', 'Katrina Mc Kee', 'Michael Hebeisen', 'Raimond Lüppken', 'Kenneth Richard', 'Kenneth Richard', 'Kenneth Richard', 'Kenneth Richard', 'Helene Helix Heyer', 'Greta Thunberg', 'Hermann von Wissmann', 'Ella Kissi-Debrah', 'Ella Kissi-Debrah', 'Ella Kissi-Debrah', 'Paul Crutzen', 'Françoise Vergès', 'Gaye Theresa Johnson', 'Nene Opoku', 'Alex Lubin', 'Françoise Vergès', 'Yannick Passeick', 'Marion Andert', 'Viola Nordsieck', 'Marius Hasenheit', 'Adelheid Biesecker', 'Yannick Passeick', 'Klara Kauhausen', 'Henning Flad', 'Yannick Passeick']","['Evangelische Schule Berlin', 'FFF', 'Hinterland of Things', 'PAB', 'Environmental Protection Agency', 'Environmental Protection Agency', 'SPD', 'Ministerin für Naturschutz und Umwelt', 'Students for Future', 'Public Climate School', 'FFF', 'ravensburg', 'Bundestag', 'FFF', 'Siemens', 'MigrantifaGruppen', 'FFF', 'Migrantifa for Future', 'FFF', 'Public Climate School', 'MatterBewegung', 'Lufthansa', 'Gewerkschaft ver.di', 'Paritätischen Gesamtverband', 'HeidelbergCement', 'EU', 'EU', 'Gewerkschaft ver.di', 'Gewerkschaft ver.di', 'schwedischen Parlament', 'FFF', 'Weltgesundheitsorganisation', 'Kapitalistischer Wachstunszwang', 'DIE WELT', 'FFF', 'DIE WELT', 'FFF', 'P4F', 'Parents for Future', 'NFF', 'EU', 'Europäischen Union', 'FFF', 'RWE', 'EU', 'ETS', 'Institut für ökologische Wirtschaftsforschung', 'EU', 'ETS', 'Institut für ökologische Wirtschaftsforschung', 'FFF', 'FFF', 'Rotes Kreuz', 'GAP', 'Weltgesundheitsorganisation', 'Deutscher Fachverband für Agroforstwirtschaft', 'EU', 'Weltbank', 'RWE', 'EU', 'FFF', 'FFF', 'GLS Bank', 'PlantforthePlanet Foundation', 'Organisation Care', 'Gewerkschaft ver.di', 'RWE', 'Essen', 'Parents for Future', 'FFF', 'Gewerkschaft ver.di', 'FFF', 'Gewerkschaft ver.di', 'FFF', 'Deutschland international', 'WMO', 'WMO', 'BDI', 'INSM', 'Instituts der deutsche Wirtschaft', 'Initiative Neue Soziale Marktwirtschaft', 'IW', 'BDA', 'MAPA', 'CSU', 'Greenpeace', 'FFF', 'Commerzbank', 'OMV', 'Shell', 'Union', 'MatterBewegung', 'GermanZero', 'Students for Future', 'FFF', 'Public Climate School', 'FFF', 'PM', 'FFF', 'PM', 'BUND', 'DUH', 'Gewerkschaft ver.di', 'Bund für Umwelt und Naturschutz', 'Deutsche Umwelthilfe', 'FFF', 'GAP', 'YouTube Aktuelles', 'YouTube Aktuelles', 'Teachers for Future', 'Entrepreneurs for Future', 'Bundestag', 'YouTube Aktuelles', 'YouTube Aktuelles', 'Wuppertal Institut', 'Wuppertal Institut', 'FFF', 'Europäische Rat', 'Europäischen Union', 'Europäische Parlament', 'FFF', 'BNE', 'Der Spiegel', 'Der Spiegel', 'FFF', 'Bundestag', 'MigrantifaBewegung', 'Bundestag', 'Antirassitische Gruppe', 'FFF', 'XR Göttingen', 'XR Bremen', 'XR Heidelberg', 'XR Trier', 'Students for Future', 'XR Zwickau', 'XR Thüringen', 'XR Freiburg', 'XR Darmstadt', 'XR HamburgWest', 'XR Magdeburg', 'XR Potsdam', 'XR Dresden', 'BUNDjugend', 'FFF', 'FFF', 'FFF', 'FFF', 'FFF', 'FFF', 'Internationale Strafgerichtshof', 'Spiegel Online', 'Hamburg for Future', 'Umweltinstitut München', 'Scientists For Future', 'EU', 'Bundesministerium für Wirtschaft und Energie', 'Lufthansa', 'Bundestag', 'CSU', 'SPD', 'FDP', 'Die Grünen', 'CDU', 'Linke', 'Bundestag', 'FFF', 'FFF', 'FFF', 'People For Future Weilburg', 'ZDF', 'Demokratische Partei', 'Bundestag', 'Bundestag', 'KlimaAllianz Deutschland', 'MAPA', 'FFF', 'Wuppertal Institutes', 'SachsenAnhalt', 'FFF', 'Umweltminister', 'Jugendorganisation der Grünen', 'belgische Universität Mons', 'Bundestag', 'FFF', 'Students for Future', 'PCS', 'Public Climate School', 'FFF', 'Students for Future', 'PCS', 'Public Climate School', 'Gewerkschaft ver.di', 'Stiftung Klima- und Umweltschutz', 'DIW', 'FFF', 'Gazprom', 'DIW', 'Stiftung Klima- und Umweltschutz', 'FFF', 'MAPA', 'FFF', 'Lufthansa', 'FFF', 'FFF', 'FFF', 'FFF', 'EU', 'EU', 'LNG', 'Grafik AG', 'FFF', 'Kampagnen AG', 'EU', 'Commerzbank', 'EVPFraktion', 'EU', 'FFF', 'FFF', 'FFF', 'FFF', 'AFD', 'BUKO', 'Institut für interdisziplinäre Konflikt- und Gewaltforschung', 'Radikalisierungsprävention in Deutschland', 'IKG', 'Universität Bielefeld', 'jugendschutz.net', 'Climate and Gender Justice', 'Climate and Gender Justice', 'Climate and Gender Justice', 'Rosa Luxemburg Stiftung', 'Climate and Gender Justice', 'Rosa Luxemburg Stiftung', 'FARN', 'GMF', 'TU Berlin', 'BUND', 'www.zdf.de', 'ZDF', 'GAIA', 'Ecological Perspectives for Science & Society', 'BUNDjugend', 'Fridays for Hubraum', 'AFD', 'Fachstelle Radikalisierungsprävention', 'FARN', 'Naturfreunde', 'Naturfreundejugend Deutschlands', 'DegrowthBewegung', 'Bundesarbeitsgemeinschaft Kirche', 'Fachstelle Radikalisierungsprävention', 'Degrowth', 'Hochschule für nachhaltige Entwicklung Eberswalde', 'FARN', 'BUNDjugend', 'HNEE', 'Initiative Reclaim The Forest']","['Hanna Thiele', 'Horst-Joachim Lüdecke', 'Claudia Kemfert', 'Karl Marx', 'Hans Joachim Schellnhuber', 'Angela Merkel', 'Barbara Hendricks', 'Wolfgang Thüne', 'Barbara Hendricks', 'Wolfgang Thüne']","['FDP', 'Die Grünen', 'DPG', 'NATO', 'katholischen Kirche', 'katholische Kirche', 'katholische Kirche']","['letzter', 'mehr', 'jetzt', 'zwar', 'unbequem', 'jetzt', 'klassizistisch', 'laut', 'global', 'solidarisch', 'mehr', 'vieler', 'weltweit', 'mehr', 'global', 'international', 'anderswo', 'effektiv', 'effektiv', 'effektiv', 'global', 'mehr', 'laut', 'echt', 'kein', 'technisch', 'jetzt', 'international', 'global', 'mehr', 'alt',  'global', 'echt', 'effektiv', 'Jetzt', 'umfassend', 'global', 'wirklich', 'antifaschistisch', 'global', 'regional', 'global', 'menschenrechtlich', 'global']","['global', 'global', 'mehr', 'mehr', 'mehr', 'kein', 'global']",positive,0.0,"['Recht', 'Gerechtigkeit']",[],[],"['natural virtue', 'cardinal virtue', 'virtue', 'good', 'goodness', 'morality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity', 'righteousness', 'morality', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,['gerecht oder fair zu sein'],[],[],rechtigkei,gerechtigkeit,gerechtigkeit,gerecht,,,,,"['gerechtigkeit', 'ungerechtigkeit']","['gerechtigkeit', 'ungerechtigkeit']",positive,0.5,neutral,,,0.0,0.4,280,16,1.0,0.195064067345776,"['Forderung', 'Kampf', 'global', 'fordern', 'Bewegung', 'bedeuten', 'Einhaltung', 'rechter', 'gehen', 'einsetzen']","['global', 'mehr', 'aufgreifen']",280,16,1.0,0.195064067345776,249,15,1.0,0.195064067345776
