original,second_part,lemma,genus,compound_forms,PERS_pro,ORG_pro,PERS_con,ORG_con,pro_mods,con_mods,bert,blob,concept,definition,similar_words,bert_related,blob_related,manual_sentiment,pro_attr,con_attr,pro_sarcasm,con_sarcasm,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_colls,con_colls,article,full_definition
klimagefasel,gefasel,gefasel,n,"['klimagefasel', 'klimagefasels']",,,Counter({'Donald Trump': 1}),,,Counter(),positive,0.0,abstraction,"['törichtes Kauderwelsch', 'unsinniges Gerede oder Schreiben']","['blödsinn', 'käse', 'quatsch', 'unfug', 'unsinn']",negative,-0.0735294117647058,negativ,,,0.0,0.0,0,1,0.0,0.0,[],[],das,"Klimagefasel, das
Der Begriff ""Klimagefasel"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Donald Trump.

Siehe auch: Klimaunsinn, Klimakäse, Klimaquatsch, Klimaunfug, Klimablödsinn"
klimagerechtigkeit,gerechtigkeit,gerechtigkeit,f,"['klimagerechtigkeit', 'klimagerechtigkeiten']","Counter({'Greta Thunberg': 7, 'Olaf Scholz': 6, 'Joe Biden': 6, 'Angela Merkel': 5, 'Mitzi Jonelle Tan': 5, 'Kenneth Richard': 4, 'Sina Reisch': 3, 'Hilda Nakabye': 3, 'Eckart von Hirschhausen': 3, 'Jördis Thümmler': 3, 'Ella Kissi-Debrah': 3, 'Yannick Passeick': 3, 'Detlef Laußmann': 2, 'Jair Bolsonaro': 2, 'Kathrin Henneberger': 2, 'Lena MeyerLandrut': 2, 'Katja Riemann': 2, 'Erik Marquart': 2, 'Dalila Nouame': 2, 'Helena Marschall': 2, 'Annika Kruse': 2, 'Françoise Vergès': 2, 'Svenja Schulze': 1, 'Marie Klee': 1, 'Vanessa Nakate': 1, 'Georg Flyod': 1, 'Luisa Neubauer': 1, 'Adélaïde Charlier': 1, 'Niels Ehlers': 1, 'Bernd Fiedler': 1, 'Holger Bär': 1, 'Simon Sutterlütti': 1, 'Sylvia Hartmann': 1, 'Kai Bergmann': 1, 'Tedros Adhanom Ghebreyesus': 1, 'Janusz Wojciechowski': 1, 'Ursula von der Leyen': 1, 'Howey Ou': 1, 'Marlene Moses': 1, 'Norbert Röttgen': 1, 'Armin Laschet': 1, 'Friedrich Merz': 1, 'Isabelle Axelsson': 1, 'Joschua Elbing': 1, 'Paula Stoffels': 1, 'Sarah Bauer': 1, 'Ann Pettifor': 1, 'Inga Thao My Bui': 1, 'Fabian Schäfer': 1, 'Disha Ravi': 1, 'Christian Stöcker': 1, 'Karin Strenz': 1, 'Axel Fischer': 1, 'Roland Meister': 1, 'Christina Schliesky': 1, 'Asuka Kähler': 1, 'Axel Strutz': 1, 'Alexej Nawalny': 1, 'Christiane Averbeck': 1, 'Wolfgang Schäuble': 1, 'Nicolas Hulo': 1, 'Nicholas Stern': 1, 'Pauline Brünger': 1, 'Quang Paasch': 1, 'Catarina Mota': 1, 'Donald Trump': 1, 'Kaloyan Velkov': 1, 'Sedat Gürbüz': 1, 'Fatih Saraçoğlu': 1, 'Gökhan Gültekin': 1, 'Said Nesar Hashemi': 1, 'Hamza Kurtović': 1, 'Ferhat Unvar': 1, 'Daniela Gottschlich': 1, 'Katrina Mc Kee': 1, 'Michael Hebeisen': 1, 'Raimond Lüppken': 1, 'Helene Helix Heyer': 1, 'Hermann von Wissmann': 1, 'Paul Crutzen': 1, 'Gaye Theresa Johnson': 1, 'Nene Opoku': 1, 'Alex Lubin': 1, 'Marion Andert': 1, 'Viola Nordsieck': 1, 'Marius Hasenheit': 1, 'Adelheid Biesecker': 1, 'Klara Kauhausen': 1, 'Henning Flad': 1})","Counter({'FFF': 54, 'EU': 13, 'Bundestag': 9, 'Gewerkschaft ver.di': 8, 'Students for Future': 5, 'Public Climate School': 5, 'YouTube Aktuelles': 4, 'Climate and Gender Justice': 4, 'Environmental Protection Agency': 3, 'SPD': 3, 'Lufthansa': 3, 'DIE WELT': 3, 'CSU': 3, 'RWE': 3, 'MAPA': 3, 'BUNDjugend': 3, 'FARN': 3, 'MatterBewegung': 2, 'Weltgesundheitsorganisation': 2, 'Parents for Future': 2, 'Europäischen Union': 2, 'CDU': 2, 'ETS': 2, 'Institut für ökologische Wirtschaftsforschung': 2, 'GAP': 2, 'WMO': 2, 'Commerzbank': 2, 'PM': 2, 'BUND': 2, 'Wuppertal Institut': 2, 'Der Spiegel': 2, 'ZDF': 2, 'PCS': 2, 'Stiftung Klima- und Umweltschutz': 2, 'DIW': 2, 'AFD': 2, 'Rosa Luxemburg Stiftung': 2, 'Fachstelle Radikalisierungsprävention': 2, 'Evangelische Schule Berlin': 1, 'Hinterland of Things': 1, 'PAB': 1, 'Ministerin für Naturschutz und Umwelt': 1, 'ravensburg': 1, 'Siemens': 1, 'MigrantifaGruppen': 1, 'Migrantifa for Future': 1, 'Paritätischen Gesamtverband': 1, 'HeidelbergCement': 1, 'schwedischen Parlament': 1, 'Kapitalistischer Wachstunszwang': 1, 'P4F': 1, 'NFF': 1, 'Rotes Kreuz': 1, 'Deutscher Fachverband für Agroforstwirtschaft': 1, 'Weltbank': 1, 'GLS Bank': 1, 'PlantforthePlanet Foundation': 1, 'Organisation Care': 1, 'Essen': 1, 'Deutschland international': 1, 'BDI': 1, 'INSM': 1, 'Instituts der deutsche Wirtschaft': 1, 'Initiative Neue Soziale Marktwirtschaft': 1, 'IW': 1, 'BDA': 1, 'Greenpeace': 1, 'OMV': 1, 'Shell': 1, 'Union': 1, 'GermanZero': 1, 'DUH': 1, 'Bund für Umwelt und Naturschutz': 1, 'Deutsche Umwelthilfe': 1, 'Teachers for Future': 1, 'Entrepreneurs for Future': 1, 'Europäische Rat': 1, 'Europäische Parlament': 1, 'BNE': 1, 'MigrantifaBewegung': 1, 'Antirassitische Gruppe': 1, 'XR Göttingen': 1, 'XR Bremen': 1, 'XR Heidelberg': 1, 'XR Trier': 1, 'XR Zwickau': 1, 'XR Thüringen': 1, 'XR Freiburg': 1, 'XR Darmstadt': 1, 'XR HamburgWest': 1, 'XR Magdeburg': 1, 'XR Potsdam': 1, 'XR Dresden': 1, 'Internationale Strafgerichtshof': 1, 'Spiegel Online': 1, 'Hamburg for Future': 1, 'Umweltinstitut München': 1, 'Scientists For Future': 1, 'Bundesministerium für Wirtschaft und Energie': 1, 'FDP': 1, 'Die Grünen': 1, 'Linke': 1, 'People For Future Weilburg': 1, 'Demokratische Partei': 1, 'KlimaAllianz Deutschland': 1, 'Wuppertal Institutes': 1, 'SachsenAnhalt': 1, 'Umweltminister': 1, 'Jugendorganisation der Grünen': 1, 'belgische Universität Mons': 1, 'Gazprom': 1, 'Europäischen Gerichtshof': 1, 'Stiftung Urgenda': 1, 'LNG': 1, 'Grafik AG': 1, 'Kampagnen AG': 1, 'EVPFraktion': 1, 'BUKO': 1, 'Institut für interdisziplinäre Konflikt- und Gewaltforschung': 1, 'Radikalisierungsprävention in Deutschland': 1, 'IKG': 1, 'Universität Bielefeld': 1, 'jugendschutz.net': 1, 'GMF': 1, 'TU Berlin': 1, 'www.zdf.de': 1, 'GAIA': 1, 'Ecological Perspectives for Science & Society': 1, 'Fridays for Hubraum': 1, 'Naturfreunde': 1, 'Naturfreundejugend Deutschlands': 1, 'DegrowthBewegung': 1, 'Bundesarbeitsgemeinschaft Kirche': 1, 'Degrowth': 1, 'Hochschule für nachhaltige Entwicklung Eberswalde': 1, 'HNEE': 1, 'Initiative Reclaim The Forest': 1})","Counter({'Barbara Hendricks': 2, 'Wolfgang Thüne': 2, 'Hanna Thiele': 1, 'Horst-Joachim Lüdecke': 1, 'Claudia Kemfert': 1, 'Karl Marx': 1, 'Hans Joachim Schellnhuber': 1, 'Angela Merkel': 1})","Counter({'katholische Kirche': 2, 'FDP': 1, 'Die Grünen': 1, 'DPG': 1, 'NATO': 1, 'katholischen Kirche': 1})","Counter({'global': 9, 'mehr': 5, 'effektiv': 4, 'jetzt': 3, 'laut': 2, 'international': 2, 'echt': 2, 'letzter': 1, 'zwar': 1, 'unbequem': 1, 'klassizistisch': 1, 'solidarisch': 1, 'vieler': 1, 'weltweit': 1, 'anderswo': 1, 'kein': 1, 'technisch': 1, 'alt': 1, 'Jetzt': 1, 'umfassend': 1, 'wirklich': 1, 'antifaschistisch': 1, 'regional': 1, 'menschenrechtlich': 1})","Counter({'global': 3, 'mehr': 3, 'kein': 1})",positive,0.0,abstraction,['gerecht oder fair zu sein'],"['gerechtigkeit', 'ungerechtigkeit']",positive,0.5,neutral,,,0.0,0.4,280,16,1.0,0.195064067345776,"['Einhaltung', 'bedeuten', 'Forderung', 'einsetzen', 'Kampf', 'fordern', 'gehen', 'global', 'Bewegung', 'rechter']","['aufgreifen', 'global', 'mehr']",die,"Klimagerechtigkeit, die
Der Begriff ""Klimagerechtigkeit"" wird in unserem Korpus 16 Mal von den Klimaforschungsskeptikern und 280 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.195 für die Skeptiker und 1.0 für die Vertreter. Die Verwendung wird in 40% der Fälle im Skeptiker Diskurs als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Subdiskurs der Klimaforschungsvertreter wird der Begriff von Wörtern wie 'global' und 'mehr' modifiziert. Wörter wie 'global' und 'mehr' treten auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Barbara Hendricks und Wolfgang Thüne und der Vertreter Korpus die Person(en) Greta Thunberg und Olaf Scholz. Im Kontext von ""Klimagerechtigkeit"" erfolgt die Nennung folgender Organisation(en): katholische Kirche, FDP (Skeptiker Korpus) und FFF, EU (Vertreter Korpus).

Kollokationen: 'mehr', 'aufgreifen' (Skeptiker Korpus) und 'gehen', 'Bewegung' (Vertreter Korpus)

Siehe auch: Klimaungerechtigkeit"
klimageschrei,geschrei,geschrei,n,"['klimageschreis', 'klimageschrei']",,,,Counter({'Siemens': 1}),,Counter(),negative,0.0,action,"['ein lautes, raues oder schrilles Geräusch']","['geschrei', 'aufschrei']",negative,0.0,neutral,,,0.0,0.0,0,1,0.0,0.0,[],[],das,"Klimageschrei, das
Der Begriff ""Klimageschrei"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimageschrei"" erfolgt die Nennung folgender Organisation(en): Siemens (Skeptiker Korpus).

Siehe auch: Klimaaufschrei"
klimageschäft,geschäft,geschäft,n,"['klimageschäfte', 'klimageschäfts', 'klimageschäften', 'klimageschäft', 'klimageschäftes']","Counter({'Tony Rinaudo': 1, 'Franz Perrez': 1, 'Annalena Baerbock': 1, 'Christian Eichler': 1, 'Susanne Schwarz': 1})","Counter({'Klimawissen e.V': 1, 'Union': 1})",,"Counter({'Die Grünen': 2, 'Aldi': 1, 'Commerzbank': 1})",Counter({'international': 1}),Counter(),positive,0.0,abstraction,"['ein rechtmäßiges Anliegen oder eine Verantwortung', 'das Geschäft, das einem Handelsunternehmen von seinen Kunden übertragen wird', ' ein mehr oder weniger praktisches Tun', 'eine Handelseinrichtung für den Einzelverkauf von Waren oder Dienstleistungen']",[],positive,0.0,negativ,,,0.0,0.0,0,2,0.0,0.0156966951518003,[],[],das,"Klimageschäft, das
Der Begriff ""Klimageschäft"" wird in unserem Korpus 2 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.016 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Vertreter Korpus die Person(en) Tony Rinaudo, Franz Perrez. Im Kontext von ""Klimageschäft"" erfolgt die Nennung folgender Organisation(en): Die Grünen, Aldi (Skeptiker Korpus) und Klimawissen e.V, Union (Vertreter Korpus)."
klimagesinnung,gesinnung,gesinnung,f,"['klimagesinnungen', 'klimagesinnung']",,,"Counter({'Ursula von der Leyen': 1, 'Angela Merkel': 1})","Counter({'EIKE': 1, 'Bayerisches Landesamt für Umwelt': 1, 'PIK': 1})",,"Counter({'richtig': 2, 'grün': 1, 'diesmal': 1})",neutral,0.0,action,"['die Abweichung von einer vertikalen Position', 'eine umfassende Sicht auf die Welt und das menschliche Leben', 'die Anordnung des Körpers und seiner Gliedmaßen']",[],negative,0.0,neutral,,,0.0,0.0,0,2,0.0,0.0156966951518003,[],[],die,"Klimagesinnung, die
Der Begriff ""Klimagesinnung"" wird in unserem Korpus 2 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.016 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Wörter wie 'richtig' treten auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Ursula von der Leyen und Angela Merkel. Im Kontext von ""Klimagesinnung"" erfolgt die Nennung folgender Organisation(en): EIKE, Bayerisches Landesamt für Umwelt (Skeptiker Korpus)."
klimaglaube,glaube,glaube,m,"['klimaglaubens', 'klimaglaube', 'klimaglauben']",,,"Counter({'Donald Trump': 1, 'Melanie Guldi': 1, 'Alan Barreca': 1, 'Olivier Deschenes': 1})","Counter({'Die Grünen': 1, 'EU': 1, 'Europäischen Union': 1})",,"Counter({'global': 2, 'offiziell': 1, 'ideologisch': 1, 'personell': 1})",negative,0.0,abstraction,"['der Zustand, sicher zu sein', 'eine öffentliche Erklärung des Glaubens', 'eine Einrichtung zum Ausdruck des Glaubens an eine göttliche Macht']","['glaube', 'gläubigkeit']",neutral,0.0,neutral,,,0.0,0.0,0,6,0.0,0.0716249048365728,[],['global'],der,"Klimaglaube, der
Der Begriff ""Klimaglaube"" wird in unserem Korpus 6 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.072 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Wörter wie 'global' treten auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Donald Trump und Melanie Guldi. Im Kontext von ""Klimaglaube"" erfolgt die Nennung folgender Organisation(en): Die Grünen, EU (Skeptiker Korpus).

Kollokationen: 'global' (Skeptiker Korpus)

Siehe auch: Klimagläubigkeit"
klimaglaubensbekenntnis,glaubensbekenntnis,glaubensbekenntnis,n,"['klimaglaubensbekenntnissen', 'klimaglaubensbekenntnisses', 'klimaglaubensbekenntnisse', 'klimaglaubensbekenntnis']",,,,Counter({'CDU': 1}),,Counter(),neutral,0.0,abstraction,['ein System von Grundsätzen oder Überzeugungen'],[],positive,0.0,neutral,,,0.0,0.0,0,1,0.0,0.0,[],[],das,"Klimaglaubensbekenntnis, das
Der Begriff ""Klimaglaubensbekenntnis"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimaglaubensbekenntnis"" erfolgt die Nennung folgender Organisation(en): CDU (Skeptiker Korpus)."
klimaglaubenslehre,glaubenslehre,glaubenslehre,f,"['klimaglaubenslehre', 'klimaglaubenslehren']",,,Counter({'Angela Merkel': 1}),"Counter({'Tagesspiegel': 1, 'EIKE': 1, 'Die Grünen': 1})",,Counter({'offiziell': 1}),neutral,0.0,abstraction,[],[],neutral,0.0,neutral,,,0.0,0.0,0,1,0.0,0.0,[],[],die,"Klimaglaubenslehre, die
Der Begriff ""Klimaglaubenslehre"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Angela Merkel. Im Kontext von ""Klimaglaubenslehre"" erfolgt die Nennung folgender Organisation(en): Tagesspiegel, EIKE (Skeptiker Korpus)."
klimagläubigkeit,gläubigkeit,gläubigkeit,f,['klimagläubigkeit'],,,,Counter({'NPD': 1}),,Counter(),negative,0.0,abstraction,['Frömmigkeit aufgrund von Frömmigkeit'],"['gläubigkeit', 'glaube']",negative,0.0,neutral,,,0.0,0.0,0,1,0.0,0.0,[],[],die,"Klimagläubigkeit, die
Der Begriff ""Klimagläubigkeit"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimagläubigkeit"" erfolgt die Nennung folgender Organisation(en): NPD (Skeptiker Korpus).

Siehe auch: Klimaglaube"
klimagnom,gnom,gnom,m,"['klimagnome', 'klimagnoms', 'klimagnomen', 'klimagnom']",,,,,Counter(),,positive,0.0,person,"['(Folklore) Feen, die etwas schelmisch sind', 'ein Fischköder, der beim Schleppangeln verwendet wird']",[],negative,0.0,neutral,Fremdzuschreibung,,0.0,0.0,1,0,0.0,0.0,[],[],der,"Klimagnom, der
Der Begriff ""Klimagnom"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 0 Mal von den Klimaforschungsskeptikern und 1 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimagnom"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert."
klimagott,gott,gott,m,"['klimagott', 'klimagotts', 'klimagötter', 'klimagöttern', 'klimagotte', 'klimagottes']",,,,Counter({'ZDF': 1}),,Counter({'strafend': 1}),negative,0.0,person,"['ein materielles Bildnis, das verehrt wird', 'Begriffe, die sich auf den jüdisch-christlichen Gott beziehen', 'das übernatürliche Wesen, das als vollkommener, allmächtiger und allwissender Urheber und Herrscher des Universums angesehen wird; Gegenstand der Anbetung in monotheistischen Religionen']","['gott', 'göttin']",negative,0.0588235294117647,neutral,,Fremdzuschreibung,0.0,0.3333333333333333,0,5,0.0,0.0592978062696087,[],"['potsdamer', 'huldigen']",der,"Klimagott, der
Der Begriff ""Klimagott"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 5 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.059 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimagott"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. Die Verwendung wird in 33% der Fälle im Skeptiker Diskurs als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimagott"" erfolgt die Nennung folgender Organisation(en): ZDF (Skeptiker Korpus).

Kollokationen: 'potsdamer', 'huldigen' (Skeptiker Korpus)

Siehe auch: Klimagöttin"
klimagunst,gunst,gunst,f,['klimagunst'],,,,,,Counter(),positive,0.0,abstraction,"['etwas, wofür man dankbar sein kann', 'eine Neigung zu freundlichen oder wohltätigen Handlungen', 'Empfinden, treu zu sein', 'ein leichter Wettbewerbsvorteil']",[],positive,0.0625,neutral,,,0.0,0.0,0,1,0.0,0.0,[],[],die,"Klimagunst, die
Der Begriff ""Klimagunst"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert."
klimagöttin,göttin,göttin,f,"['klimagöttin', 'klimagöttinnen']",,,Counter({'Greta Thunberg': 1}),,,Counter({'neu': 1}),positive,0.0,person,[],"['göttin', 'gott']",positive,0.0,positiv,,Fremdzuschreibung,0.0,0.0,0,1,0.0,0.0,[],[],die,"Klimagöttin, die
Der Begriff ""Klimagöttin"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimagöttin"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell positiv konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Greta Thunberg.

Siehe auch: Klimagott"
klimahardliner,hardliner,hardliner,m,"['klimahardliner', 'klimahardlinern', 'klimahardliners']",,,,Counter({'University of Cambridge': 1}),,Counter(),negative,0.0,person,['Befürworter einer aggressiven Politik in den Außenbeziehungen'],[],negative,0.2333333333333333,negativ,,Fremdzuschreibung,0.0,0.0,0,1,0.0,0.0,[],[],der,"Klimahardliner, der
Der Begriff ""Klimahardliner"" bezeichnet eine Person, die eine gewisse Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimahardliner"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimahardliner"" erfolgt die Nennung folgender Organisation(en): University of Cambridge (Skeptiker Korpus)."
klimaherausforderung,herausforderung,herausforderung,f,"['klimaherausforderungen', 'klimaherausforderung']",,,,"Counter({'Massachusetts Institute of Technology': 1, 'New York Times': 1})",,Counter(),negative,0.0,abstraction,"['ein Faktor, der Schwierigkeiten bei der Erreichung eines positiven Ergebnisses verursacht oder dazu neigt, ein negatives Ergebnis hervorzubringen', 'eine absichtlich beleidigende Handlung oder etwas, das den Eindruck einer absichtlichen Geringschätzung erweckt']",[],negative,0.0777777777777777,negativ,,,0.0,0.0,0,1,0.0,0.0,[],[],die,"Klimaherausforderung, die
Der Begriff ""Klimaherausforderung"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimaherausforderung"" erfolgt die Nennung folgender Organisation(en): Massachusetts Institute of Technology, New York Times (Skeptiker Korpus)."
klimahoax,hoax,hoax,m,"['klimahoax', 'klimahoaxes']",,,"Counter({'Michael Mann': 1, 'Tony Heller': 1, 'Roy Spencer': 1})",Counter({'Goddard Institute for Space Studies': 1}),,Counter(),positive,0.0,abstraction,[],[],positive,0.0,neutral,,,0.0,0.0,0,1,0.0,0.0,[],[],der,"Klimahoax, der
Der Begriff ""Klimahoax"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Michael Mann und Tony Heller. Im Kontext von ""Klimahoax"" erfolgt die Nennung folgender Organisation(en): Goddard Institute for Space Studies (Skeptiker Korpus)."
klimahokuspokus,hokuspokus,hokuspokus,m,['klimahokuspokus'],,,,,,Counter(),negative,0.0,abstraction,"['die Kunst der Zauberei', 'eine verbale Täuschung, die darauf abzielt, Sie in irgendeiner Weise zu übervorteilen']",[],negative,0.0,negativ,,,0.0,0.0,0,1,0.0,0.0,[],[],der,"Klimahokuspokus, der
Der Begriff ""Klimahokuspokus"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert."
klimahose,hose,hose,f,"['klimahosen', 'klimahose']",,,,Counter({'AFD': 1}),,Counter(),negative,0.0,abstraction,['Socken und Strümpfe und Strumpfhosen zusammen (die Briten schließen Unterwäsche ein)'],[],negative,0.0,negativ,,,0.0,0.0,0,1,0.0,0.0,[],[],die,"Klimahose, die
Der Begriff ""Klimahose"" wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Die Verwendung wird nicht als sarkastisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimahose"" erfolgt die Nennung folgender Organisation(en): AFD (Skeptiker Korpus)."
