original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,PERS_pro,ORG_pro,PERS_con,ORG_con,pro_mods,con_mods,pro_sarcasm,con_sarcasm,pro_attr,con_attr,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_colls,con_colls,manual_sentiment
klimadialektik,dialektik,['dialektik'],dialektik,f,['klimadialektik'],"['Zweiheit', 'Polarität', 'Dichotomie', 'Dualismus', 'Kunst der Gesprächsführung', 'Logik', 'Dialektik', 'Kunst der Unterredung', 'Analytik']","['Forschung', 'Grundprinzip', 'Wissenschaft', 'logische Grundlage']","['Forschung', 'Wissenschaft', 'Grundprinzip', 'logische Grundlage', 'Grundprinzip', 'logische Grundlage', 'Grundprinzip', 'logische Grundlage']","['principle', 'rationale', 'explanation', 'thought process', 'mentation', 'intellection', 'cerebration', 'thought', 'thinking', 'higher cognitive process', 'operation', 'process', 'cognitive operation', 'cognitive process', 'mental process', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",abstraction,"['Die Lehre von den Gesetzen abgeleiteten Wissens.', 'jedes formale System der Argumentation, das durch den Austausch logischer Argumente zur Wahrheit gelangt', 'eine Beziehung zwischen zwei entgegengesetzten Eigenschaften oder Tendenzen']",[],[],dialektik,dialektik,dialektik,dialekt,[],[],[],[],[],[],,,,,,['frei'],,0.0,,,0,1,,0.0,[],[],neutral
klimadiktatur,diktatur,"['diktaturen', 'diktatur']",diktatur,f,"['klimadiktaturen', 'klimadiktatur']","['Tyrannei', 'Diktatur', 'Schreckensherrschaft', 'Tyrannis', 'Terror', 'Zwangsherrschaft', 'Willkürherrschaft', 'Absolutismus', 'Despotie', 'Gewaltherrschaft', 'Despotismus']","['Alleinherrschaft', 'Autokratie']","['Autokratie', 'Alleinherrschaft']","['control', 'dominance', 'ascendence', 'ascendency', 'ascendance', 'ascendancy', 'condition', 'status', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,['Herrschaft durch Androhung von Strafe und Gewalt'],['tyrannei'],['tyrannei'],diktatur,diktatur,dikt,diktatur,[],[],[],[],[],['tyrannei'],,,"Counter({'Angela Merkel': 2, 'Nigel Calder': 1, 'Harald Lesch': 1, 'Jorgen Randers': 1})","Counter({'Die Grünen': 2, 'UN': 1, 'Greenpeace': 1, 'IPCC': 1, 'WWF': 1, 'WBGU': 1, 'Frankfurter Allgemeinen Zeitung': 1})",,"['kein', 'vollphobisch', 'gewollt', 'offenbar', 'politisch', 'total']",,0.0,,,0,11,,0.125472420123479,[],[],negative
klimadiplomatie,diplomatie,['diplomatie'],diplomatie,f,['klimadiplomatie'],"['diplomatischen Kreise', 'Diplomatie']","['Dialogfenster', 'Dialogbox', 'Dialogfeld', 'Dialog']","['Dialog', 'Dialogfenster', 'Dialogbox', 'Dialogfeld']","['negotiation', 'talks', 'dialogue', 'give-and-take', 'word', 'discussion', 'spoken language', 'spoken communication', 'speech', 'oral communication', 'speech communication', 'voice communication', 'language', 'auditory communication', 'communication', 'abstraction', 'abstract entity', 'entity']",abstraction,['Verhandlung zwischen Nationen'],[],[],diplomatie,diplomati,diplomaty,diplomati,[],[],[],[],[],[],Counter({'Oliver Geden': 2}),Counter({'Stiftung Wissenschaft und Politik': 2}),"Counter({'Andreas Karl': 1, 'Stefan Rahmstorf': 1, 'Anton Hofreiter': 1, 'Donald Trump': 1})","Counter({'Die Grünen': 3, 'NOAA': 2, 'EU': 2, 'EIKE': 1, 'NASA': 1, 'IPCC': 1, 'Leipziger Volkszeitung': 1, 'PIK': 1, 'DWD': 1, 'Bundestag': 1})",[],"['kein', 'international', 'regulär', 'international', 'planbar', 'verlässlich', 'finanziell', 'europäisch', 'international']",0.0,0.1666666666666666,,,3,6,0.0202050260212569,0.0716249048365728,[],['international'],neutral
klimadogma,dogma,"['dogmas', 'dogma', 'dogmata', 'dogmen']",dogma,n,"['klimadogmas', 'klimadogma', 'klimadogmata', 'klimadogmen']","['Lehre', 'Doktrin', 'Evangelium', 'Glaubenssatz', 'Lehrmeinung', 'Dogma']",[],[],"['philosophy', 'ism', 'school of thought', 'doctrine', 'philosophical system', 'belief', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",abstraction,"['eine Doktrin, die gelehrt wird']",[],[],dogma,dogma,dogm,dogma,[],[],[],[],[],[],,,Counter({'Angela Merkel': 1}),"Counter({'Klima- „ Wissenschaft': 1, 'PIK': 1})",,['unfehlbar'],,0.0,,,0,3,,0.0300764987421918,[],[],neutral
klimadonna,donna,"['donna', 'donnas', 'donnen']",donna,f,"['klimadonna', 'klimadonnas', 'klimadonnen']",[],[],[],[],person,[],[],[],donna,donna,donn,donna,[],[],[],[],[],[],,,"Counter({'Stephan Schulz': 1, 'Angela Merkel': 1})","Counter({'AGW': 2, 'EU': 1, 'EIKE': 1, 'ARD': 1, 'SPD': 1, 'AFD': 1, 'FDP': 1, 'Union': 1, 'Die Grünen': 1})",,"['produzierend', 'zuverlässig', 'alternativlos']",,0.0,,External,0,5,,0.0592978062696087,[],[],neutral
klimadramatik,dramatik,['dramatik'],dramatik,f,['klimadramatik'],"['handelnde Dichtung', 'Dramatik']",[],[],[],abstraction,[None],[],[],dramatik,dramatik,dramatik,dramat,[],[],[],[],[],[],,,,,,[],,0.0,,,0,1,,0.0,[],[],negative
klimadürre,dürre,"['dürren', 'dürre']",dürre,f,"['klimadürren', 'klimadürre']","['Trockenheit', 'Dürre']",[],[],"['dryness', 'xerotes', 'waterlessness', 'condition', 'status', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,['ein Mangel an Niederschlägen'],[],[],durr,dürre,dürre,durr,[],[],[],[],[],[],,,,Counter({'PIK': 1}),,[],,0.0,,,0,1,,0.0,[],[],negative
klimaelite,elite,"['eliten', 'elite']",elite,f,"['klimaeliten', 'klimaelite']","['Auslese', '(sich lesen wie ein) Who is who', 'Spitze der Gesellschaft', 'Bestenauslese', 'Führungsschicht', 'erste Garde', 'Besten', 'Auswahl der Besten', 'Crème de la Crème', 'Elite', 'die Besten der Besten', 'Auswahl']","['mit ganzem Herzen dabei sein', 'sich den Arsch aufreißen', 'sich in die Sielen legen', 'Einsatz zeigen', 'Engagement erkennen lassen', 'vollen Einsatz zeigen', 'sich dahinterklemmen', 'sich auf die Hinterbeine stellen', 'sich ins Geschirr legen', 'sich alle Mühe geben', 'sich anstrengen', 'sich ins Zeug legen', 'alle Register ziehen', 'Engagement zeigen', 'alle Kräfte aufbieten', 'sich Arme und Beine ausreißen', 'alles daransetzen', 'ranklotzen', 'sich reinhängen', 'alle Kraft aufbieten', 'sein Bestes geben', 'seine ganze Energie einsetzen', 'Gas geben', 'sich Mühe geben', 'powern', 'sich reinknien', 'sich voll reinhängen', 'tun, was man kann', 'sich bemühen', 'sich große Mühe geben', 'reinklotzen']","['Versuch', 'Vorsatz', 'Unternehmung']","['upper class', 'upper crust', 'class', 'stratum', 'socio-economic class', 'social class', 'people', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",group,"['eine Gruppe oder Klasse von Personen, die einen höheren intellektuellen, sozialen oder wirtschaftlichen Status haben', None]",[],[],eli,elit,elit,elit,[],[],[],[],[],[],,,"Counter({'Maybritt Illner': 1, 'Christiana Figueres': 1, 'Angela Merkel': 1})","Counter({'EIKE': 4, 'Die Grünen': 2, 'UNFCCC': 1, 'EU': 1, 'DUH': 1, 'BUND': 1, 'NABU': 1, 'Bundestag': 1})",,[''],,0.2,,Exernal,0,4,,0.0436011111178084,[],"['alternativ', 'Behörde']",neutral
klimaerkrankung,erkrankung,"['erkrankung', 'erkrankungen']",erkrankung,f,"['klimaerkrankung', 'klimaerkrankungen']","['Gebresten', 'gesundheitliche Beschwerden', 'Beschwerden', 'Gesundheitsprobleme', 'gesundheitliche Einschränkungen', 'Erkrankung', 'Siechtum', 'Gebrechen', 'Leiden', 'Krankheit', 'gesundheitliche Probleme', 'Gesundheitsbeschwerden']",[],[],"['pain', 'painfulness', 'feeling', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,['Gefühle von geistigem oder körperlichem Schmerz'],[],[],erkrankung,erkrankung,erkrankung,erkrank,[],[],[],[],[],[],,,,,,[],,1.0,,,0,2,,0.0191856694893927,[],[],negative
klimaernsthaftigkeit,ernsthaftigkeit,['ernsthaftigkeit'],ernsthaftigkeit,f,['klimaernsthaftigkeit'],"['Humorlosigkeit', 'Schwere', 'Seriosität', 'Authentizität', 'Schärfegrad', 'Aufrichtigkeit', 'Natürlichkeit', 'Glaubwürdigkeit', 'Redlichkeit', 'Ehrlichkeit', 'Schweregrad', 'Vertrauenswürdigkeit', 'Ernst', 'Ernsthaftigkeit']",[],[],"['credibleness', 'credibility', 'believability', 'quality', 'attribute', 'abstraction', 'abstract entity', 'entity']",abstraction,"['unbestrittene Glaubwürdigkeit', 'extreme Schlichtheit', 'die Eigenschaft, ehrlich zu sein']",[],[],ernsthaftigkei,ernsthaftigkeit,ernsthaftigkeit,ernsthaft,[],[],[],[],[],[],,"Counter({'Klimawissen e.V': 2, 'PZU': 2, 'CDU': 1, 'SPD': 1, 'CSU': 1, 'Bundestag': 1, 'Union': 1, 'EU': 1})",,,[],,0.0,,,,2,0,0.0082929243285437,,"['testfall', 'namhaft']",[],neutral
klimaerzählung,erzählung,"['erzählungen', 'erzählung']",erzählung,f,"['klimaerzählungen', 'klimaerzählung']","['Erzählung', 'Story', 'Geschichte', 'Paradigma', 'Novelle', 'Narration']","['Unwahrheit', 'Lüge', 'Schutzbehauptung', 'Falschaussage']","['Schutzbehauptung', 'Lüge', 'Unwahrheit', 'Falschaussage', 'Schutzbehauptung', 'Lüge', 'Unwahrheit', 'Falschaussage']","['noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",abstraction,"['die Gesamtheit der schriftlich festgehaltenen Erinnerungen an die Vergangenheit; ein Wissensbestand', 'systematische Anordnung aller flektierten Formen eines Wortes']",[],['lüge'],erzahlung,erzählung,erzählung,erzahl,[],[],[],[],[],['lüge'],,,Counter({'Alexander Krauß': 1}),,,['groß'],,0.0,,,0,1,,0.0,[],[],neutral
klimaestablishment,establishment,"['establishment', 'establishments']",establishment,n,"['klimaestablishment', 'klimaestablishments']","['Schickimicki', 'Schickeria', 'Reichen und Schönen', 'gehobenen Stände', 'Schönen und Reichen', 'Hautevolee', 'die oberen Zehntausend', 'große Welt', 'bessere Gesellschaft', 'Upperclass', 'Oberschicht', 'High Snobiety', 'höhere Kreise', 'Crème de la Crème', 'Jetset', 'High Society', 'Happy Few', 'Jeunesse dorée', 'Oberklasse', 'bessere Kreise', 'Establishment']",[],[],"['taxonomic category', 'taxonomic group', 'taxon', 'biological group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",group,['(Biologie) eine taxonomische Klasse unterhalb eines Stammes und oberhalb einer Klasse'],[],[],establishm,establish,est,establishment,[],[],[],[],[],[],,,"Counter({'Scott Pruitt': 1, 'Donald Trump': 1, 'Kevin Trenberth': 1})","Counter({'UN': 1, 'EPA': 1, 'IPCC': 1, 'BILD': 1, 'EIKE': 1})",,"['finanziert', 'üppig', 'westlich']",,0.3333333333333333,,External,0,3,,0.0300764987421918,[],[],neutral
klimaethik,ethik,"['ethiken', 'ethik']",ethik,f,"['klimaethiken', 'klimaethik']","['sittliche Werte', 'Tugendlehre', 'Sittlichkeit', 'moralische Werte', 'Wertmaßstäbe', 'Wertesystem', 'Moralvorstellungen', 'Morallehre', 'Wertvorstellungen', 'Moral', 'Ethik', 'Sittenlehre']","['Interesse', 'Motivation']","['Interesse', 'Motivation']","['philosophy', 'arts', 'humanities', 'liberal arts', 'humanistic discipline', 'subject', 'field', 'study', 'discipline', 'bailiwick', 'subject area', 'field of study', 'subject field', 'domain', 'knowledge base', 'knowledge domain', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",abstraction,"['das philosophische Studium der moralischen Werte und Regeln', 'ein System von Grundsätzen für Moral und akzeptables Verhalten']",[],[],ethik,ethik,ethik,ethik,[],[],[],[],[],[],,,,Counter({'Energiewende international': 1}),,[],,0.0,,,0,1,,0.0,[],[],neutral
klimaextremismus,extremismus,"['extremismus', 'extremismen']",extremismus,m,"['klimaextremismus', 'klimaextremismen']","['Allgemeingültigkeit', 'Extremismus', 'Kompromisslosigkeit', 'Radikalität', 'Radikalismus', 'Rücksichtslosigkeit']","['Ideenlehre', 'Ideologie']","['Ideologie', 'Ideenlehre']","['political orientation', 'political theory', 'ideology', 'orientation', 'attitude', 'mental attitude', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",abstraction,"['die politische Ausrichtung derjenigen, die revolutionäre Veränderungen in Staat und Gesellschaft befürworten']",[],[],extremismu,extremismu,extremism,extremismus,[],[],[],[],[],[],,,,,,[],,0.0,,,0,1,,0.0,[],[],negative
klimafachkraft,fachkraft,"['fachkraft', 'fachkräfte', 'fachkräften']",fachkraft,f,"['klimafachkraft', 'klimafachkräfte', 'klimafachkräften']","['Kenner der Materie', 'Sachverständiger', 'Fachmann', 'Kenner', 'Routinier', 'Profi', 'Sachkenner', 'Fachkraft', 'Sachkundiger', 'Meister', 'vom Fach', 'Könner', 'Fässle', 'Experte']",[],[],"['ruler', 'swayer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'ruler', 'swayer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Person, die allgemeine Autorität über andere hat']",[],[],fachkraf,fachkraft,fachkraft,fachkraft,[],[],[],[],[],[],,,,"Counter({'SPD': 1, 'CSU': 1})",,[],,0.0,,None,0,1,,0.0,[],[],neutral
klimafanatiker,fanatiker,"['fanatiker', 'fanatikern', 'fanatikers']",fanatiker,m,"['klimafanatiker', 'klimafanatikern', 'klimafanatikers']","['Fanatiker', 'Eiferer', 'Zelot']",[],[],"['advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['ein glühender und sogar militanter Verfechter einer Sache'],[],[],fanatik,fanatik,fanatik,fanat,[],[],[],[],[],[],,,,"Counter({'Die Grünen': 1, 'UN': 1, 'NATO': 1, 'NWO': 1})",,[],,0.0,,External,0,3,,0.0300764987421918,[],[],negative
klimafeind,feind,"['feinds', 'feind', 'feinde', 'feindes', 'feinden']",feind,m,"['klimafeinds', 'klimafeind', 'klimafeinde', 'klimafeindes', 'klimafeinden']","['Sparringspartner', 'Opponent', 'Widerpart', 'Konterpart', 'Gegner', 'Frondeur', 'Neinsager', 'Widersacher', 'Gegenspieler', 'Rivale', 'Feind', 'Konkurrent', 'Kontrahent', 'Antagonist']","['Wettbewerber', 'Konkurrent', 'Mitbewerber', 'Marktbegleiter']","['jemand', 'irgendjemand', 'jeder beliebige']","['contestant', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'contestant', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['ein Kandidat, gegen den man antritt']",[],[],feind,feind,feind,feind,[],[],[],[],[],[],,,"Counter({'Luisa Neubauer': 1, 'Horst-Joachim Lüdecke': 1})","Counter({'Volkswagen': 1, 'Die Grünen': 1})",,['CO2produzierend'],,0.0,,Self,0,1,,0.0,[],[],negative
klimafestung,festung,"['festungen', 'festung']",festung,f,"['klimafestungen', 'klimafestung']","['Wehranlage', 'Fort', 'Bastion', 'Bollwerk', 'Wehr', 'Kastell', 'Fortifikation', 'Feste', 'Befestigung', 'Burg', 'Festung']","['Betriebsanlage', 'Errichtung', 'Anlage', 'Oppidum', 'Schanzanlage', 'Einteilung', 'Befestigungsanlage']","['Gerät', 'Anlage', 'Apparatur', 'Maschine', 'Apparat', 'Aggregat', 'Automat', 'Oppidum', 'Schanzanlage', 'Befestigungsanlage']","['defence', 'defensive structure', 'defense', 'construction', 'structure', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",abstraction,"['eine stark befestigte Verteidigungsanlage', 'eine befestigte Verteidigungsanlage']",[],[],festung,festung,festung,festung,[],[],[],[],[],[],,,,,,[],,0.0,,,0,1,,0.0,[],[],neutral
klimafieber,fieber,"['fiebers', 'fieber', 'fiebern']",fieber,n,"['klimafiebers', 'klimafieber', 'klimafiebern']","['Pyrexie', 'Fieber', 'hohe Temperatur']",[],[],"['symptom', 'grounds', 'evidence', 'information', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",abstraction,['ein Anstieg der Körpertemperatur; häufig ein Symptom einer Infektion'],[],[],fieber,fieber,fieb,fieb,[],[],[],[],[],[],,,,"Counter({'Spiegel Online': 1, 'Die Grünen': 1, 'Welt': 1, 'EIKE': 1, 'Tagesspiegel': 1})",,[],,0.0,,,0,1,,0.0,[],[],negative
klimafluch,fluch,"['fluches', 'flüche', 'fluch', 'flüchen', 'fluchs']",fluch,m,"['klimafluches', 'klimaflüche', 'klimafluch', 'klimaflüchen', 'klimafluchs']","['Unsegen', 'Verwünschung', 'Unglück', 'Unheil', 'Verfluchung', 'Fluch', 'Geißel', 'Fluchen', 'Unstern', 'Vermaledeiung', 'Verhängnis']",[],[],"['accusal', 'accusation', 'charge', 'complaint', 'pleading', 'statement', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",abstraction,"['eine verleumderische Anschuldigung', 'ein Schicksalsschlag; ein unheilvolles Ereignis']",[],[],fluch,fluch,fluch,fluch,[],[],[],[],[],[],,,Counter({'Barbara Hendricks': 1}),"Counter({'Greenpeace': 1, 'ARTE': 1, 'EIKE': 1})",,['hemmungslos'],,0.0,,,0,2,,0.0156966951518003,[],[],negative
klimaflüsterer,flüsterer,"['flüsterer', 'flüsterern', 'flüsterers']",flüsterer,m,"['klimaflüsterer', 'klimaflüsterern', 'klimaflüsterers']",[],[],[],[],person,[],[],[],flu,flüsterer,flüsterer,flust,[],[],[],[],[],[],,,,Counter({'AFD': 1}),,[],,0.0,,Self,0,1,,0.0,[],[],neutral
klimafreund,freund,"['freund', 'freundes', 'freunden', 'freunde', 'freunds']",freund,m,"['klimafreund', 'klimafreundes', 'klimafreunden', 'klimafreunde', 'klimafreunds']","['Boyfriend', 'Getreuer', '...narr', '...freund', 'Galan', 'Buddy', '...fetischist', 'Kumpan', '...ratte', '...enthusiast', '...liebhaber', 'Freund', '...philer', 'Beschäler', '...fan', 'Intimus', 'Liebhaber', 'Sympathisant', 'Kollegin', 'Spezi', 'Genosse', '...freak', 'Anhänger', 'Kavalier', '...begeisterter', 'Partner', 'Mann an ihrer Seite', 'Gefährte', 'Tifoso', 'Kerl', 'Hausfreund', 'ständiger Begleiter', 'Gevatter', 'Stecher', 'Bettgenosse', 'Verhältnis', 'Lebensabschnittsgefährte', 'Mann ihres Herzens', 'Lebenspartner', 'Kumpel', 'Vertrauter', 'Gespiele', 'Lebensgefährte', 'Lover', 'Beziehung', 'Freak', 'Spezl', '...anhänger', 'Kollege', 'Fan', 'Günstling', 'Kamerad', 'Enthusiast', 'Geliebter']","['jeder beliebige', 'irgendjemand', 'jemand']","['jemand', 'irgendjemand', 'jeder beliebige']","['associate', 'match', 'compeer', 'equal', 'peer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'associate', 'match', 'compeer', 'equal', 'peer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Person, die mit ihm zusammenarbeitet oder ihn unterstützt', 'Mann, der in einer Liebesbeziehung mit einer Frau steht', 'eine Person, mit der man befreundet ist', 'eine Person, die einen Politiker oder eine Mannschaft usw. unterstützt.']",[],[],freu,freund,freund,freund,[],[],[],[],"['freund', 'freundin']","['freund', 'freundin']","Counter({'Armin Laschet': 1, 'Joachim Wille': 1})","Counter({'FFF': 2, 'Bundestag': 2, 'BDI': 1, 'INSM': 1, 'Instituts der deutsche Wirtschaft': 1, 'IW': 1, 'BDA': 1, 'NOAA': 1, 'BNE': 1, 'Lufthansa': 1, 'EU': 1, 'Parents for Future': 1, 'Bundesministerium für Wirtschaft und Energie': 1, 'Landtag': 1, 'AFD': 1, 'Commerzbank': 1, 'Greenpeace': 1})","Counter({'Emmanuel Macron': 1, 'Greta Thunberg': 1, 'Ursula von der Leyen': 1, 'Angela Merkel': 1, 'Donald Trump': 1})","Counter({'SPD': 1, 'BR': 1, 'Die Grünen': 1, 'EU': 1})","['jung', 'weit', 'natürlich']",['geschworen'],0.0,0.5,Self,External,3,1,0.0174906429981298,0.0,[],[],positive
klimafreundin,freundin,"['freundin', 'freundinnen']",freundin,f,"['klimafreundin', 'klimafreundinnen']","['Freundin', 'Ische', 'Herzdame', 'gute Freundin', 'Liebhaberin', 'Frau seines Herzens', 'Partnerin', 'enge Freundin', 'Lebensgefährtin', 'Frau an seiner Seite', 'Flamme', 'Gespielin', 'Liebste', 'Geliebte', 'Alte', 'beste Freundin', 'Auserwählte', 'Lebensabschnittsgefährtin', 'feste Beziehung', 'Mätresse', 'Lebenspartnerin', 'Kurtisane', 'Beziehung', 'Vertraute', 'seine Angebetete', 'Bettgenossin', 'Dame seines Herzens', 'Hetäre', 'Herzensdame']","['Kamerad', 'Kampfgenosse', 'Waffenbruder']","['jemand', 'irgendjemand', 'jeder beliebige']","['kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'female', 'female person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'female', 'female person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'woman', 'adult female', 'grownup', 'adult', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'lover', 'spouse equivalent', 'spousal equivalent', 'domestic partner', 'significant other', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'kept woman', 'mistress', 'fancy woman', 'lover', 'spouse equivalent', 'spousal equivalent', 'domestic partner', 'significant other', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Frau, die mit einem wichtigen Mann zusammenlebt', 'eine Partnerin, mit der man sein Leben teilt, mit der man aber nicht verheiratet ist', 'jede weibliche Freundin']",[],[],freundi,freundin,freundin,freundin,[],[],[],[],"['freundin', 'freund']","['freundin', 'freund']",Counter({'Joachim Wille': 1}),,,,"['weit', 'natürlich']",,0.0,,Self,,1,0,0.0,,[],[],positive
klimafreundlichkeit,freundlichkeit,"['freundlichkeiten', 'freundlichkeit']",freundlichkeit,f,"['klimafreundlichkeiten', 'klimafreundlichkeit']","['Verbindlichkeit', 'Milde', 'Liebenswürdigkeit', 'Höflichkeit', 'Aufmerksamkeit', 'Indulgenz', 'Wertschätzung', 'Entgegenkommen', 'Anteilnahme', 'Herzlichkeit', 'Umgänglichkeit', 'Güte', 'Kompliment', 'Gewogenheit', 'Wohlwollen', 'nette Worte', 'Zugewandtheit', 'freundliche Worte', 'Konzilianz', 'Herzensgüte', 'anerkennende Äußerung', 'Interesse', 'Gefälligkeit', 'Zuvorkommenheit', 'Mildtätigkeit', 'Courtoisie', 'Nettigkeit', 'Leutseligkeit', 'Gütigkeit', 'Warmherzigkeit', 'Freundlichkeit', 'Wärme']","['Operation', 'Wissensdurst', 'Entdeckerfreude', 'beachten', 'Handlung', 'Neugier', 'Integrität', 'bemerken', 'Behagen', 'Aktion', 'Unversehrtheit', 'Wissbegierde', 'wohliges Gefühl der Zufriedenheit', 'Tat', 'Neugierde', 'Unbescholtenheit', 'anmerken', 'stilles Vergnügen']","['Behagen', 'stilles Vergnügen', 'wohliges Gefühl der Zufriedenheit', 'Personalien', 'Ausweis', 'Lichtbildausweis', 'Ausweispapiere', 'Identifikationskarte', 'Papiere', 'Handlung', 'Operation', 'Aktion', 'Tat', 'Geistesverfassung', 'Geisteszustand', 'Integrität', 'Unbescholtenheit', 'Unversehrtheit']","['action', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,"['eine freundliche Handlung', 'Freundlichkeit, die sich in einer freundlichen und hilfsbereiten Haltung zeigt', 'die Neigung, freundlich und nachsichtig zu sein', 'die Eigenschaft der herzlichen Aufrichtigkeit', 'ein Ausdruck der Dankbarkeit', 'ein freundliches Gemüt']",[],[],freundlichkei,freundlichkeit,freundlichkeit,freundlich,[],[],[],[],[],[],Counter({'Armin Laschet': 1}),"Counter({'NOAA': 1, 'Landtag': 1, 'AFD': 1})",,,[],,0.0,,,,2,0,0.0082929243285437,,[],[],positive
